COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;;DÍAS DE HELADA;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;9;9;3;3;0;0;0;0;0;1;2;10;37
C056;Alegria;545;8;9;3;3;1;0;0;0;0;2;3;13;42
C035;Altube;618;5;4;0;3;1;0;0;0;0;0;0;6;19
C001;Arkaute;517;9;9;4;3;2;0;0;0;0;2;2;14;45
C025;Beluntza;687;3;6;3;2;0;0;0;0;0;0;0;5;19
C034;Espejo;504;10;12;2;3;2;0;0;0;0;3;5;9;46
C0AA;Etura;549;10;10;6;3;2;0;0;0;0;4;3;16;54
C067;Gardea;141;2;2;1;1;0;0;0;0;0;0;0;3;9
C040;Gasteiz;546;1;1;0;0;0;0;0;0;0;0;0;3;5
C044;Gorbea;662;3;4;2;3;0;0;0;0;0;0;0;5;17
C048;Herrera;1188;9;13;19;9;2;0;0;0;0;0;5;1;58
C068;Ilarduia;596;6;6;4;2;0;0;0;0;0;0;1;11;30
C024;Iturrieta;987;13;13;16;6;1;0;0;0;0;4;6;18;77
C00A;Kanpezu;550;10;11;4;2;1;0;0;0;0;3;1;11;43
C047;Kapildui;1173;11;13;20;10;2;0;0;0;0;0;7;3;66
C031;Moreda;490;0;2;0;0;0;0;0;0;0;0;0;3;5
C041;Navarrete;689;12;13;10;4;2;0;0;0;0;5;4;17;67
C055;Ozaeta;548;7;8;3;3;1;0;0;0;0;3;2;16;43
C060;Páganos;577;3;6;0;1;0;0;0;0;0;0;0;5;15
C021;Roitegi;980;8;9;7;3;0;0;0;0;0;2;1;6;36
C030;Salvatierra;589;13;16;10;3;3;0;0;0;0;2;3;18;68
C051;Saratxo;230;2;4;0;1;0;0;0;0;0;0;0;4;11
C0A0;Sarria;655;5;7;1;2;1;0;0;0;0;0;1;7;24
C049;Subijana;537;13;12;6;4;1;0;0;0;0;1;4;9;50
C020;Trebiño;578;12;14;11;6;4;0;0;0;0;4;7;15;73
C070;Zaldiaran;980;0;3;2;3;0;0;0;0;0;0;5;2;15
C050;Zambrana;470;5;7;2;3;0;0;0;0;0;1;2;4;24
C0B1;Abusu (La Peña);23;0;2;0;0;0;0;0;0;0;0;0;1;3
C079;Amorebieta;65;3;3;1;1;0;0;0;0;0;0;0;2;10
C0C1;Aranguren;92;0;1;0;0;0;0;0;0;0;0;0;1;2
C061;Arboleda;329;0;1;0;0;0;0;0;0;0;0;0;0;1
C032;Areta;122;3;3;1;1;0;0;0;0;0;0;0;4;12
C002;Arteaga;19;0;1;0;0;0;0;0;0;0;0;0;1;2
C0C2;Balmaseda;178;9;9;2;5;3;0;0;0;0;0;3;7;38
C069;Bermeo;106;0;0;0;0;0;0;0;0;0;0;0;0;0
C0B6;Berna;95;1;3;1;1;0;0;0;0;0;0;0;3;9
C0BE;Berriatua;25;0;0;0;0;0;0;0;0;0;0;0;0;0
C065;Cerroja;677;0;1;0;0;0;0;0;0;0;0;0;0;1
C003;Derio;30;0;2;0;0;0;0;0;0;0;0;0;2;4
C039;Deusto;3;0;0;0;0;0;0;0;0;0;0;0;0;0
C075;Eitzaga;270;0;1;0;0;0;0;0;0;0;0;0;0;1
C074;Elorrio;167;0;2;0;0;0;0;0;0;0;0;0;2;4
C038;Galindo;5;0;0;0;0;0;0;0;0;0;0;0;0;0
C033;Igorre;150;0;2;0;0;0;0;0;0;0;0;0;2;4
C0BD;Iruzubieta;110;0;1;1;0;0;0;0;0;0;0;0;2;4
C036;Iurreta;180;0;1;0;0;0;0;0;0;0;0;0;0;1
C045;La Garbea;717;0;1;0;0;0;0;0;0;0;0;0;0;1
C0B7;Mañaria;168;0;1;0;0;0;0;0;0;0;0;0;3;4
C019;Matxitxako;433;0;0;0;0;0;0;0;0;0;0;0;0;0
C057;Mungia;22;0;1;0;0;0;0;0;0;0;0;0;0;1
C063;Muxika;16;3;4;1;1;0;0;0;0;0;0;0;0;9
C046;Oiz;980;2;8;9;1;0;0;0;0;0;0;0;0;20
C0BA;Oleta;14;0;1;0;0;0;0;0;0;0;0;0;0;1
C059;Ordunte;300;3;3;0;1;0;0;0;0;0;0;0;4;11
