COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;;DÍAS DE HELADA;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;21;4;3;5;1;0;0;0;0;0;10;12;56
C0A4;Albaina;594;;;2;7;1;0;0;0;0;1;13;7;
C056;Alegria;545;21;4;2;5;1;0;0;0;0;0;9;9;51
C035;Altube;618;18;1;2;2;0;0;0;0;0;1;12;15;51
C0A3;Antoñana;556;24;13;9;10;1;0;0;0;0;1;14;16;88
C016;Arkauti;517;21;4;2;5;1;0;0;0;0;0;9;10;52
C025;Beluntza;687;15;2;1;1;0;0;0;0;0;0;7;8;34
C0A2;Egino;573;21;6;5;5;;0;0;0;0;1;13;16;67
C034;Espejo;504;19;6;4;6;1;0;0;0;0;1;10;10;57
C0AA;Etura;549;22;6;3;8;1;0;0;0;0;1;12;13;66
C067;Gardea;141;15;0;2;0;0;0;0;0;0;0;1;1;19
C040;Gasteiz;546;14;0;0;0;0;0;0;0;0;0;0;2;16
C044;Gorbea;662;19;1;2;2;0;0;0;0;0;0;8;13;45
C048;Herrera;1188;18;8;6;3;1;0;0;0;0;0;6;14;56
C068;Ilarduia;596;20;5;3;2;1;0;0;0;0;0;8;13;52
C024;Iturrieta;987;23;10;6;8;1;0;0;0;1;1;15;21;86
C00A;Kanpezu;550;18;7;5;5;1;0;0;0;0;0;6;9;51
C047;Kapildui;1173;18;6;5;3;1;0;0;0;0;0;6;15;54
C031;Moreda;490;10;0;0;0;0;0;0;0;0;0;0;1;11
C041;Navarrete;689;22;11;7;8;1;0;0;0;1;3;11;13;77
C055;Ozaeta;548;22;5;1;3;1;0;0;0;0;3;13;16;64
C060;Páganos;577;15;2;0;1;0;0;0;0;0;0;2;9;29
C0A1;Pagoeta;705;24;18;8;10;1;0;0;0;1;5;11;13;91
C021;Roitegi;980;19;8;5;5;1;0;0;0;0;1;10;16;65
C030;Salvatierra;589;23;6;3;9;1;0;0;0;0;1;12;17;72
C051;Saratxo;230;15;0;1;1;0;0;0;0;0;0;5;3;25
C0A0;Sarria;655;17;1;2;4;0;0;0;0;0;1;14;18;57
C049;Subijana;537;21;7;5;6;1;0;0;0;0;1;12;13;66
C00B;Tobillas;700;;;;;1;0;0;0;0;1;13;15;
C020;Trebiño;578;21;6;4;7;1;0;0;0;0;1;10;14;64
C070;Zaldiaran;980;18;5;5;3;1;0;0;0;0;0;5;18;55
C050;Zambrana;470;16;4;3;6;1;0;0;0;0;0;8;5;43
C0B1;Abusu (La Peña);23;13;0;0;0;0;0;0;0;0;0;0;1;14
C079;Amorebieta;65;16;0;1;0;0;0;0;0;0;0;0;2;19
C0C1;Aranguren;92;10;0;0;0;0;0;0;0;0;0;3;1;14
C061;Arboleda;329;9;0;0;0;0;0;0;0;0;0;0;1;10
C032;Areta;122;12;1;2;1;0;0;0;0;0;0;4;2;22
C002;Arteaga;19;14;0;0;0;0;0;0;0;0;0;0;2;16
C0C2;Balmaseda;178;18;6;4;6;1;0;0;0;0;0;6;5;46
C069;Bermeo;106;0;0;0;0;0;0;0;0;0;0;0;0;0
C0B6;Berna;95;16;0;2;2;0;0;0;0;0;0;4;4;28
C0BE;Berriatua;25;10;0;0;0;0;0;0;0;0;0;0;2;12
C065;Cerroja;677;5;0;0;0;0;0;0;0;0;0;0;2;7
C003;Derio;30;14;0;0;0;0;0;0;0;0;0;0;1;15
C039;Deusto;3;2;0;0;0;0;0;0;0;0;0;0;0;2
C075;Eitzaga;270;12;0;0;0;0;0;0;0;0;0;0;2;14
C074;Elorrio;167;15;0;0;0;0;0;0;0;0;0;0;2;17
C009;Galdakao;30;;;;;;;0;0;0;0;0;0;
C038;Galindo;5;5;0;0;0;0;0;0;0;0;0;0;0;5
C033;Igorre;150;13;0;0;0;0;0;0;0;0;0;1;3;17
C0BD;Iruzubieta;110;18;1;0;0;0;0;0;0;0;0;2;3;24
C036;Iurreta;180;12;0;0;0;0;0;0;0;0;0;0;2;14
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;;DÍAS DE HELADA;;;;;;;;;
