COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;;DÍAS DE HELADA;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;10;14;6;1;0;0;0;0;0;2;1;7;41
C0A4;Albaina;594;13;15;7;1;2;0;0;0;0;2;4;13;57
C056;Alegria;545;10;15;4;0;0;0;0;0;0;0;1;7;37
C035;Altube;618;14;19;8;1;0;0;0;0;0;3;1;9;55
C0A3;Antoñana;556;15;17;10;4;2;0;0;0;0;2;6;8;64
C016;Arkauti;517;9;14;4;0;0;0;0;0;0;0;1;8;36
C025;Beluntza;687;8;19;6;0;0;0;0;0;0;3;1;3;40
C0A2;Egino;573;16;17;8;3;1;0;0;0;0;3;1;8;57
C034;Espejo;504;9;12;4;0;3;0;0;0;0;2;2;13;45
C0AA;Etura;549;11;14;6;1;1;0;0;0;0;1;1;9;44
C067;Gardea;141;0;8;0;0;0;0;0;0;0;0;0;1;9
C040;Gasteiz;546;2;5;0;0;0;0;0;0;0;0;0;1;8
C044;Gorbea;662;12;14;9;1;0;0;0;0;0;2;1;6;45
C048;Herrera;1188;14;20;14;3;1;0;0;0;0;3;0;1;56
C068;Ilarduia;596;11;13;6;1;0;0;0;0;0;2;1;6;40
C024;Iturrieta;987;22;20;13;4;3;0;0;0;1;5;7;17;92
C00A;Kanpezu;550;12;13;4;1;1;0;0;0;0;1;5;5;42
C047;Kapildui;1173;13;20;14;4;1;0;0;0;0;4;0;0;56
C031;Moreda;490;1;7;0;0;0;0;0;0;0;0;0;0;8
C041;Navarrete;689;15;17;7;1;2;0;0;0;0;2;5;13;62
C055;Ozaeta;548;13;17;7;2;1;0;0;0;0;2;3;16;61
C060;Páganos;577;7;14;2;0;0;0;0;0;0;0;0;6;29
C0A1;Pagoeta;705;15;15;7;1;2;0;0;0;0;3;7;12;62
C021;Roitegi;980;15;20;10;3;1;0;0;0;0;4;2;10;65
C030;Salvatierra;589;14;16;6;3;1;0;0;0;0;2;1;12;55
C051;Saratxo;230;3;10;2;0;0;0;0;0;0;0;0;2;17
C0A0;Sarria;655;17;16;11;1;0;0;0;0;0;2;2;12;61
C049;Subijana;537;14;14;6;1;2;0;0;0;0;2;3;12;54
C00B;Tobillas;700;12;16;8;1;3;0;0;0;0;2;3;8;53
C020;Trebiño;578;12;15;6;2;2;0;0;0;0;2;2;14;55
C070;Zaldiaran;980;11;20;9;3;0;0;0;0;0;2;0;1;46
C050;Zambrana;470;5;11;2;0;0;0;0;0;0;0;1;3;22
C0B1;Abusu (La Peña);23;0;5;0;0;0;0;0;0;0;0;0;0;5
C079;Amorebieta;65;1;7;0;0;0;0;0;0;0;0;0;1;9
C0C1;Aranguren;92;1;2;0;0;0;0;0;0;0;0;0;0;3
C061;Arboleda;329;0;5;0;0;0;0;0;0;0;0;0;0;5
C032;Areta;122;3;10;1;0;0;0;0;0;0;0;0;1;15
C002;Arteaga;19;0;8;0;0;0;0;0;0;0;0;0;0;8
C0C2;Balmaseda;178;5;9;2;0;0;0;0;0;0;0;1;6;23
C069;Bermeo;106;0;2;0;0;0;0;0;0;0;0;0;0;2
C0B6;Berna;95;3;13;3;0;0;0;0;0;0;0;0;1;20
C0BE;Berriatua;25;0;3;0;0;0;0;0;0;0;0;0;0;3
C065;Cerroja;677;1;17;3;0;0;0;0;0;0;1;0;0;22
C003;Derio;30;0;8;0;0;0;0;0;0;0;0;0;0;8
C039;Deusto;3;0;2;0;0;0;0;0;0;0;0;0;0;2
C075;Eitzaga;270;0;10;1;0;0;0;0;0;0;0;0;0;11
C074;Elorrio;167;0;8;0;0;0;0;0;0;0;0;0;0;8
C009;Galdakao;30;0;3;0;0;0;0;0;0;0;0;0;0;3
C038;Galindo;5;0;2;0;0;0;0;0;0;0;0;0;0;2
C033;Igorre;150;1;9;0;0;0;0;0;0;0;0;0;0;10
C0BD;Iruzubieta;110;0;10;2;0;0;0;0;0;0;0;0;0;12
C036;Iurreta;180;0;9;0;0;0;0;0;0;0;0;0;1;10
C045;La Garbea;717;0;15;2;0;0;0;0;0;0;0;0;0;17
C0B7;Mañaria;168;0;10;1;0;0;0;0;0;0;0;0;1;12
