COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
C0C2;Balmaseda;178;-6.3;-1.6;-0.9;-1.5;-0.6;5.3;9.0;7.6;6.4;4.5;0.5;-3.5;-6.3
C069;Bermeo;106;2.3;4.5;6.5;3.4;6.7;10.0;13.1;13.8;11.9;9.9;5.6;3.3;2.3
C0B6;Berna;95;-3.4;-0.3;-0.1;0.4;1.7;6.1;9.7;9.7;7.5;6.0;1.7;-1.8;-3.4
C0BE;Berriatua;25;-1.1;1.3;2.3;2.4;3.6;8.6;12.0;12.3;10.8;7.7;3.3;0.8;-1.1
C065;Cerroja;677;0.0;0.0;2.4;-0.2;2.3;5.1;11.3;10.2;8.1;6.4;-0.3;1.6;-0.3
C003;Derio;30;-2.1;1.4;0.9;2.1;2.5;8.2;9.0;8.7;7.6;6.9;1.0;-0.4;-2.1
C039;Deusto;3;-0.5;2.3;5.3;4.9;6.1;10.7;14.3;14.5;12.1;8.9;4.4;3.1;-0.5
C075;Eitzaga;270;-2.9;0.6;0.7;1.2;1.2;6.1;9.9;10.2;8.8;6.7;1.0;-1.2;-2.9
C074;Elorrio;167;-3.3;0.3;1.6;1.9;2.5;7.0;11.2;11.0;8.2;6.3;1.0;-0.5;-3.3
C009;Galdakao;30;-2.2;1.3;2.7;2.1;3.6;9.0;12.4;12.6;10.3;7.7;2.2;0.3;-2.2
C038;Galindo;5;0.1;2.3;5.4;5.1;6.7;11.0;14.6;14.6;11.8;9.0;4.0;2.2;0.1
C033;Igorre;150;-3.3;-0.1;1.6;0.3;1.4;-3.5;10.5;10.5;8.2;5.6;1.4;-0.3;-3.5
C0BD;Iruzubieta;110;-3.5;-0.8;-0.1;-0.2;0.3;6.5;9.8;9.4;7.8;5.2;1.2;-0.4;-3.5
C036;Iurreta;180;-4.0;0.0;1.5;1.6;2.4;7.3;10.8;10.8;8.3;6.2;0.3;-0.5;-4.0
C045;La Garbea;717;0.2;-0.5;2.4;-0.4;1.2;5.4;11.5;11.0;8.0;6.0;0.8;1.1;-0.5
C0B7;Mañaria;168;-3.6;-0.5;0.9;1.2;1.9;6.8;9.8;9.7;7.2;5.1;0.5;-2.0;-3.6
C019;Matxitxako;433;1.7;1.9;4.7;1.1;5.1;8.4;13.9;14.8;12.1;10.2;4.8;5.2;1.1
C057;Mungia;22;-2.8;0.1;1.4;1.6;2.2;8.4;11.2;10.9;9.3;6.4;1.2;-0.6;-2.8
C063;Muxika;16;-3.8;-0.7;-0.5;-0.5;0.3;6.7;9.7;9.2;7.7;5.2;0.6;-1.4;-3.8
C046;Oiz;980;-2.6;-2.0;-0.2;-2.2;-0.4;4.5;8.9;9.3;6.0;4.8;-0.3;-0.4;-2.6
C0BA;Oleta;14;-1.1;0.9;2.7;2.7;3.4;8.5;11.8;12.1;10.8;7.8;4.0;1.2;-1.1
C059;Ordunte;300;-4.6;-0.9;0.6;-0.2;0.1;6.3;10.4;10.2;8.5;4.7;0.6;-0.8;-4.6
C072;Orduña;934;-2.6;-2.4;-0.1;-2.2;-0.5;4.3;9.7;9.2;7.2;3.3;-1.7;-0.8;-2.6
C0B4;Orozko;200;-3.4;-0.6;0.5;-0.3;1.1;6.0;10.2;9.5;7.0;5.0;1.3;-1.4;-3.4
C054;Otxandio;556;-7.8;-3.8;-2.2;-2.3;-1.6;2.7;6.4;6.1;4.1;2.6;-0.1;-4.1;-7.8
C042;Punta Galea;61;0.6;3.3;5.0;4.3;5.5;10.7;14.1;14.6;12.3;9.1;4.8;2.4;0.6
C0B9;Sangroniz;10;-3.9;0.1;0.5;1.1;1.7;7.5;10.6;10.5;8.4;5.7;1.5;-1.1;-3.9
C0C3;Sodupe;56;-4.2;0.0;0.7;0.4;1.1;7.4;11.0;9.7;8.5;7.4;3.1;-1.7;-4.2
C066;Untzueta;764;-0.8;-0.6;2.2;-0.8;1.0;5.6;11.4;10.6;7.7;5.7;0.8;1.3;-0.8
C022;Urkiola;709;-1.6;-2.2;-0.6;-1.8;0.7;2.5;8.4;7.9;4.7;2.3;-1.6;-4.0;-4.0
C0B3;Urkizu;75;-4.0;-0.6;0.3;0.1;1.4;6.9;10.5;10.3;7.8;5.9;1.6;-1.9;-4.0
C037;Venta Alta;162;;0.7;1.6;0.7;1.6;7.1;10.9;11.0;8.5;6.1;2.3;-0.9;
C0E5;Agauntza;180;-3.9;0.3;0.1;0.9;1.3;6.1;10.7;9.4;7.9;6.5;1.3;-2.0;-3.9
C0DB;Aitzu;312;-4.6;-1.2;-1.0;-0.4;0.2;4.6;9.2;8.1;5.8;3.8;-0.6;-2.7;-4.6
C0D3;Aixola;320;-2.9;-0.1;0.0;0.2;0.8;5.5;9.4;9.4;7.1;5.3;0.4;-0.7;-2.9
C0DD;Aizarnazabal;25;-2.2;1.0;1.4;1.9;2.4;7.4;11.8;11.2;9.3;6.5;2.5;-0.2;-2.2
C0E9;Alegia;90;-2.1;0.7;0.9;3.1;2.8;7.5;12.1;11.6;10.4;7.9;2.9;-1.1;-2.1
C078;Altzola;17;-2.1;1.7;2.0;2.3;2.7;7.4;11.6;11.2;10.1;7.9;2.7;-0.4;-2.1
C052;Ameraun;285;-3.7;0.1;-0.1;0.7;0.8;5.3;9.4;9.4;7.0;4.9;1.1;-0.8;-3.7
C0E1;Amundarain;111;-4.4;-0.5;-0.8;1.7;1.0;5.3;9.7;9.6;8.4;5.8;1.4;-2.5;-4.4
C077;Andoain;52;-3.1;0.1;1.1;2.1;1.9;6.8;11.0;10.8;8.2;6.3;1.8;-0.5;-3.1
C080;Añarbe;184;-3.6;0.0;0.0;0.6;0.2;5.7;9.4;9.4;6.7;5.3;1.9;-0.8;-3.6
C0E8;Araxes;141;-3.4;-0.1;0.7;2.4;1.7;6.4;10.7;10.1;8.5;6.3;2.3;-1.2;-3.4
C023;Arrasate;318;-5.4;-1.4;-0.7;0.3;-0.1;4.5;9.3;8.6;7.4;6.0;0.0;-3.2;-5.4
C084;Behobia;5;-1.5;1.1;2.1;3.9;2.8;8.9;12.5;12.8;10.2;8.4;3.7;1.7;-1.5
C0EA;Belauntza;105;-3.5;0.5;1.0;2.3;2.1;6.8;10.7;10.2;8.5;6.0;1.4;-1.9;-3.5
C026;Berastegi;379;-6.0;-2.5;-1.8;-1.3;-0.8;3.7;7.9;7.7;5.4;3.1;-1.1;-4.1;-6.0
C058;Bidania;592;-4.5;;2.6;-0.3;0.6;4.7;9.8;9.3;7.1;4.6;0.2;-0.2;-4.5
C0F0;Ereñozu;25;-1.5;0.9;1.7;2.5;2.1;7.7;11.6;11.4;9.1;7.0;3.3;0.1;-1.5
C0F1;Eskas;650;-3.1;-1.2;1.6;-0.4;0.6;6.3;10.8;10.7;8.2;6.0;0.1;0.3;-3.1
C0E7;Estanda;195;-3.8;0.2;0.0;2.4;1.6;6.2;11.5;10.3;8.9;7.1;1.6;-2.4;-3.8
C018;Higer;43;;;;;5.1;11.3;14.7;13.9;12.9;9.7;5.1;3.4;
C0DC;Ibai Eder;90;-2.7;1.1;1.1;1.9;2.0;6.8;11.9;10.8;9.4;7.1;1.1;-1.7;-2.7
C071;Jaizkibel;545;-1.2;-0.3;2.5;0.3;1.5;7.1;12.7;12.0;9.0;6.8;3.3;1.4;-1.2
C0EC;Lasarte;18;-1.0;1.7;2.8;3.4;2.2;8.4;12.8;12.4;10.1;7.8;3.2;1.8;-1.0
C0DE;Matxinbenta;250;-3.9;-0.7;-0.3;0.2;0.5;5.4;10.2;9.3;6.9;4.5;0.1;-1.7;-3.9
C017;Miramon;113;-1.3;1.5;2.9;3.1;3.2;8.3;12.4;12.2;10.1;7.7;3.1;1.4;-1.3
C0F4;Oiartzun;53;-2.9;0.1;2.5;3.2;3.5;9.3;12.3;12.1;9.9;7.5;2.6;0.1;-2.9
C0D1;Oñati;195;-3.9;-0.3;-0.3;1.3;0.7;5.2;10.0;9.2;8.2;6.5;2.0;-2.1;-3.9
C043;Ordizia;243;-3.8;0.0;0.4;1.7;1.4;6.0;10.7;9.8;8.0;6.9;1.0;-2.1;-3.8
C0D2;San Prudentzio;175;-3.6;0.4;0.5;1.4;1.0;5.9;10.3;9.7;8.3;7.2;2.4;-1.5;-3.6
C007;Santa Clara;48;;;;;9.0;9.6;14.0;13.4;11.4;8.9;4.9;2.7;2.7
C0D0;Urkulu;340;-4.0;-1.0;0.3;-0.5;0.3;5.3;9.7;8.5;7.3;5.5;0.9;-1.6;-4.0
C064;Zarautz;80;1.0;2.9;5.1;3.8;3.7;10.0;14.2;13.0;11.8;9.0;5.3;2.5;1.0
C028;Zegama;520;-4.5;-0.2;2.4;0.5;1.2;6.7;11.1;9.8;7.7;6.0;0.6;0.3;-4.5
C029;Zizurkil;149;-1.4;1.6;1.8;2.9;3.4;8.3;12.4;12.0;9.9;7.1;3.5;0.2;-1.4
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
;;;;;TEMPERATURA MÍNIMA ABSOLUTA (ºC);;;;;;;;;;
