COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
;;;;;TEMPERATURA MÍNIMA ABSOLUTA (ºC);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MIN
C076;Abetxuko;510;-7.6;-3.4;-2.4;-2.1;-1.8;2.4;7.0;7.2;4.2;2.6;-1.3;-2.5;-7.6
C0A4;Albaina;594;-8.3;-5.5;-3.8;-4.4;-3.2;0.4;5.5;6.0;2.9;0.5;-0.4;-5.1;-8.3
C056;Alegria;545;-7.3;-2.8;-2.8;-3.0;-2.1;2.2;7.1;7.1;3.9;2.2;-0.9;-3.7;-7.3
C035;Altube;618;-7.9;-2.6;-2.4;-3.8;-1.8;1.7;6.5;6.6;2.6;1.5;-1.9;-4.5;-7.9
C0A3;Antoñana;556;-5.3;-2.9;-3.3;-2.5;-2.1;1.2;6.6;7.0;4.3;1.9;-1.9;-3.7;-5.3
C016;Arkauti;517;-7.6;-3.0;-2.4;-4.0;-1.9;2.4;7.5;7.5;4.9;2.9;-0.8;-3.1;-7.6
C025;Beluntza;687;-1.8;-2.0;-0.4;-1.7;-0.4;4.0;8.2;7.7;4.8;2.4;-1.1;-3.1;-3.1
C0A2;Egino;573;-7.3;-2.7;-2.6;-3.5;-1.8;1.6;7.0;6.1;3.7;2.6;-0.2;-3.9;-7.3
C034;Espejo;504;-8.1;-3.8;-3.6;-3.4;-1.9;1.8;7.4;5.9;3.8;1.2;-1.0;-3.7;-8.1
C0AA;Etura;549;;;-3.4;-3.0;-2.9;1.1;6.1;6.2;3.8;1.7;-0.7;-3.5;
C067;Gardea;141;-3.9;-0.1;1.1;-0.1;1.1;7.0;11.6;10.3;7.9;6.0;2.2;-1.3;-3.9
C040;Gasteiz;546;-2.7;-0.4;1.5;0.6;2.5;6.9;10.5;10.7;7.0;5.7;1.2;-1.8;-2.7
C044;Gorbea;662;-4.4;-1.6;-1.0;-2.7;-0.3;2.4;7.6;6.6;4.5;2.1;-0.7;-4.7;-4.7
C048;Herrera;1188;-4.0;-2.8;-1.1;-3.0;-1.9;3.7;8.0;7.6;5.3;2.8;-1.2;-0.6;-4.0
C068;Ilarduia;596;-6.8;-2.8;-2.0;-2.6;-1.7;2.1;8.0;6.5;4.7;3.2;0.2;-3.4;-6.8
C024;Iturrieta;987;-7.4;-10.6;-3.6;-6.6;-4.6;-0.7;4.0;3.2;0.7;-0.4;-2.1;-5.2;-10.6
C00A;Kanpezu;550;-5.2;-3.4;-4.3;-1.0;-1.0;1.9;7.8;6.6;4.8;2.1;-1.8;-4.5;-5.2
C047;Kapildui;1173;-3.9;-2.4;-1.1;-3.0;-2.6;3.0;7.6;7.7;5.3;2.3;-1.9;-0.9;-3.9
C031;Moreda;490;0.3;0.2;2.4;1.3;2.6;7.1;11.9;13.0;8.9;5.0;1.4;-2.7;-2.7
C041;Navarrete;689;-6.3;-4.2;-3.9;-4.7;-3.2;1.0;5.4;5.1;2.1;0.6;-0.9;-4.5;-6.3
C055;Ozaeta;548;-8.7;-4.0;-3.8;-3.8;-2.5;1.8;6.7;6.4;3.1;1.5;-1.3;-4.5;-8.7
C060;Páganos;577;-2.8;-2.1;-1.2;-0.7;0.0;5.4;9.8;9.8;6.4;2.4;0.0;-3.0;-3.0
C0A1;Pagoeta;705;-8.6;-6.1;-4.0;-5.3;-3.3;0.2;4.1;4.8;1.1;0.0;-1.1;-4.5;-8.6
C021;Roitegi;980;-5.3;-5.8;-2.2;-3.8;-3.5;0.4;5.1;4.1;1.6;0.8;-1.8;-4.3;-5.8
C030;Salvatierra;589;-8.1;-3.9;-3.9;-4.6;-3.5;0.4;5.2;6.6;3.2;1.4;-0.9;-4.7;-8.1
C051;Saratxo;230;-5.7;-1.3;0.1;-1.6;-0.1;5.1;10.5;9.3;7.0;4.8;0.6;-2.8;-5.7
C0A0;Sarria;655;-7.7;-2.5;-2.6;-4.6;-2.8;1.3;6.3;6.0;3.6;1.7;-1.7;-5.1;-7.7
C049;Subijana;537;-7.7;-4.2;-3.6;-5.0;-2.8;0.8;7.2;6.7;3.8;0.9;-1.9;-3.1;-7.7
C00B;Tobillas;700;-5.9;-4.4;-2.6;-4.1;-2.6;2.7;7.1;6.0;4.0;0.2;-1.7;-4.8;-5.9
C020;Trebiño;578;-8.4;-4.3;-4.2;-4.5;-3.4;0.1;5.4;5.9;2.5;0.5;-1.2;-4.9;-8.4
C070;Zaldiaran;980;-2.6;-2.6;-0.1;-1.8;-1.0;4.4;9.4;9.0;6.4;3.4;-0.8;0.3;-2.6
C050;Zambrana;470;-6.4;-2.2;-1.4;-2.0;-0.8;3.7;8.9;13.5;5.4;4.6;0.2;-0.6;-6.4
C0B1;Abusu (La Peña);23;-2.3;0.9;2.3;1.3;2.6;8.3;11.6;11.6;9.2;6.6;2.3;-0.1;-2.3
C079;Amorebieta;65;-3.6;-0.1;0.6;0.4;1.9;7.1;10.5;10.2;8.2;6.9;1.4;-1.4;-3.6
C0C1;Aranguren;92;-3.8;0.6;1.7;2.7;1.6;8.4;11.9;12.8;;;;;-3.8
C061;Arboleda;329;-1.5;2.7;3.8;3.2;5.0;8.5;12.0;12.2;9.8;7.9;;;-1.5
C032;Areta;122;-4.2;-0.5;0.5;-0.8;0.5;6.3;10.9;10.0;7.3;5.3;1.7;-1.9;-4.2
C002;Arteaga;19;-2.8;-0.5;1.1;0.9;1.8;8.1;11.2;11.3;9.5;6.5;2.4;-0.3;-2.8
