COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
;;;;TEMPERATURA MÍNIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MIN
C076;Abetxuko;510;-3.2;-7.0;-3.2;-0.3;0.5;7.2;10.7;8.3;5.2;-0.7;-1.7;-3.4;-7.0
C0A4;Albaina;594;-6.6;-9.5;-3.4;-1.1;-0.7;5.6;8.9;6.9;2.7;-1.1;-1.7;-4.0;-9.5
C056;Alegria;545;-2.8;-7.2;-2.1;0.5;0.6;6.9;10.4;8.1;5.0;0.1;-0.9;-3.2;-7.2
C035;Altube;618;-3.2;-7.7;-2.8;-0.6;0.9;7.0;9.0;7.0;4.1;-0.7;-0.3;-3.2;-7.7
C0A3;Antoñana;556;-4.3;-9.2;-3.2;-1.8;-1.1;6.0;9.4;7.2;3.4;-1.4;-2.0;-2.5;-9.2
C016;Arkauti;517;-3.6;-6.5;-2.3;0.1;0.6;7.8;10.9;8.9;6.0;0.1;-1.3;-3.5;-6.5
C025;Beluntza;687;-1.3;-6.9;-2.3;0.4;1.0;7.7;9.9;8.7;6.2;-0.8;-0.1;-0.8;-6.9
C0A2;Egino;573;-5.7;-9.4;-2.4;-1.5;-0.1;6.0;9.8;8.8;3.1;-2.2;-1.7;-3.1;-9.4
C034;Espejo;504;-3.7;-6.4;-2.4;0.3;-1.5;7.0;9.8;7.6;3.1;-1.7;-2.6;-3.8;-6.4
C0AA;Etura;549;-4.0;-8.8;-3.0;-0.8;-0.4;4.6;9.5;7.5;4.2;-0.6;-1.4;-2.1;-8.8
C067;Gardea;141;0.4;-3.7;0.5;3.0;3.9;10.1;13.1;11.9;7.4;2.7;1.3;-1.2;-3.7
C040;Gasteiz;546;-0.3;-3.9;0.1;2.2;3.9;10.0;13.9;12.8;9.2;2.0;1.5;-0.6;-3.9
C044;Gorbea;662;-2.2;-6.0;-2.0;-0.2;1.8;5.5;9.8;8.4;4.1;-0.4;-0.1;-1.7;-6.0
C048;Herrera;1188;-2.2;-10.1;-3.9;-0.9;-0.1;7.2;10.0;8.6;5.6;-1.0;0.7;0.0;-10.1
C068;Ilarduia;596;-5.4;-8.4;-2.9;-0.5;0.2;6.3;10.2;9.8;4.4;-1.1;-1.3;-2.6;-8.4
C024;Iturrieta;987;-12.4;-13.8;-4.3;-2.8;-1.4;3.7;6.6;5.8;-0.4;-4.2;-2.5;-5.3;-13.8
C00A;Kanpezu;550;-4.1;-6.2;-0.6;-1.4;-0.6;7.8;11.3;9.6;6.3;-1.1;-1.8;-1.7;-6.2
C047;Kapildui;1173;-2.2;-10.1;-4.6;-0.9;-0.3;6.6;10.2;8.6;5.4;-1.1;0.6;0.3;-10.1
C031;Moreda;490;-1.1;-4.3;1.2;2.9;3.8;10.2;14.1;11.8;8.8;2.0;2.4;1.9;-4.3
C041;Navarrete;689;-6.5;-7.1;-2.1;-1.9;-0.9;5.7;8.7;6.3;2.3;-1.4;-2.5;-4.3;-7.1
C055;Ozaeta;548;-4.5;-8.6;-3.2;-1.2;-0.3;4.9;9.3;7.4;3.8;-1.2;-2.5;-4.6;-8.6
C060;Páganos;577;-1.9;-6.7;-0.4;1.7;1.0;8.2;11.9;9.8;6.1;0.8;0.8;-2.4;-6.7
C0A1;Pagoeta;705;-6.2;-9.7;-3.0;-1.2;-1.9;4.9;8.1;6.0;1.8;-0.6;-1.9;-4.4;-9.7
C021;Roitegi;980;-7.4;-11.1;-3.3;-2.1;-0.4;5.3;7.7;7.4;1.4;-2.1;-1.3;-3.3;-11.1
C030;Salvatierra;589;-5.2;-10.0;-3.5;-0.7;-1.2;4.8;9.3;7.3;2.4;-1.0;-1.5;-4.0;-10.0
C051;Saratxo;230;-0.6;-4.7;-0.4;2.3;4.2;9.2;12.4;10.8;6.9;2.0;0.8;-2.2;-4.7
C0A0;Sarria;655;-2.8;-9.3;-2.9;-1.0;0.2;5.5;7.5;6.8;2.6;-0.9;-1.2;-2.8;-9.3
C049;Subijana;537;-4.1;-7.3;-3.4;-0.4;-0.6;6.5;10.1;7.1;4.6;-1.5;-2.1;-3.8;-7.3
C00B;Tobillas;700;-2.9;-9.9;-2.6;-1.3;-0.8;5.1;8.5;6.4;3.7;0.0;-1.7;-3.9;-9.9
C020;Trebiño;578;-4.8;-9.6;-3.4;-1.3;-1.0;5.9;9.2;6.6;3.0;-1.2;-1.8;-4.4;-9.6
C070;Zaldiaran;980;-2.3;-8.9;-3.1;-0.9;0.8;7.8;10.9;9.4;6.1;-0.4;0.2;-0.3;-8.9
C050;Zambrana;470;-2.3;-6.7;-1.2;0.8;0.6;8.9;11.9;9.7;6.1;0.8;-0.3;-2.4;-6.7
C0B1;Abusu (La Peña);23;0.6;-2.7;1.4;4.2;6.0;9.7;13.7;11.6;8.4;3.4;2.9;0.5;-2.7
C079;Amorebieta;65;0.0;-4.3;0.5;3.3;4.1;10.6;13.8;12.6;8.2;2.6;2.0;-0.2;-4.3
C0C1;Aranguren;92;-0.1;-2.4;0.9;3.5;4.3;10.6;14.7;13.1;8.6;4.4;6.5;2.3;-2.4
C061;Arboleda;329;2.0;-4.0;0.5;5.6;5.7;9.1;13.3;12.1;8.5;3.5;5.0;1.9;-4.0
C032;Areta;122;-0.2;-4.3;-0.3;2.2;3.8;9.0;12.5;11.2;6.9;2.2;0.9;-1.1;-4.3
