COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
C002;Arteaga;19;0.2;-3.2;0.4;4.2;4.3;10.1;14.0;12.8;8.2;2.6;2.1;0.3;-3.2
C0C2;Balmaseda;178;-1.7;-4.9;-0.6;1.4;2.5;7.9;11.3;9.9;5.9;1.0;0.0;-3.0;-4.9
C069;Bermeo;106;3.1;-1.7;2.4;7.7;7.0;13.0;16.9;15.2;11.8;5.3;5.6;4.5;-1.7
C0B6;Berna;95;-1.2;-5.9;0.0;2.9;3.7;9.4;13.0;11.5;7.3;2.7;1.4;-0.9;-5.9
C0BE;Berriatua;25;1.3;-3.3;1.3;4.7;5.0;10.8;15.1;13.8;9.2;3.6;3.5;3.2;-3.3
C065;Cerroja;677;0.0;-5.9;-1.7;2.2;2.5;8.4;12.2;11.6;7.8;-0.3;2.2;2.1;-5.9
C003;Derio;30;1.5;-4.5;0.7;4.0;4.7;10.0;14.2;12.3;7.7;3.2;3.2;0.8;-4.5
C039;Deusto;3;2.2;-2.9;1.7;6.5;7.4;12.0;16.4;14.6;10.7;5.0;4.9;1.6;-2.9
C075;Eitzaga;270;0.9;-4.4;-0.7;3.0;4.1;8.7;13.0;11.4;6.7;2.0;2.2;1.5;-4.4
C074;Elorrio;167;0.5;-4.9;0.1;3.2;4.8;10.1;14.1;12.1;7.6;2.7;1.8;0.1;-4.9
C009;Galdakao;30;1.7;-2.3;2.0;4.9;6.1;11.3;14.9;12.9;9.7;4.2;3.1;2.0;-2.3
C038;Galindo;5;2.5;-1.9;2.0;6.9;7.2;11.7;16.2;13.9;10.6;5.6;5.8;2.6;-1.9
C033;Igorre;150;-0.2;-4.8;0.3;3.9;4.8;9.5;13.2;11.2;7.5;2.9;1.4;0.4;-4.8
C0BD;Iruzubieta;110;0.1;-5.4;-0.7;2.5;2.4;8.1;12.8;11.1;6.7;1.3;1.4;0.7;-5.4
C036;Iurreta;180;0.6;-4.4;0.4;3.8;5.0;10.6;14.7;13.4;8.8;7.9;1.6;0.0;-4.4
C045;La Garbea;717;0.5;-6.7;-1.7;2.8;2.5;8.2;12.1;11.8;8.6;0.2;1.9;2.0;-6.7
C0B7;Mañaria;168;0.4;-4.8;-0.1;2.6;4.3;9.7;12.9;11.4;6.9;2.5;1.5;-0.2;-4.8
C019;Matxitxako;433;1.9;-4.4;0.2;5.0;4.5;10.0;14.1;13.9;10.8;2.9;3.6;3.2;-4.4
C057;Mungia;22;0.1;-2.4;1.2;4.9;6.8;10.0;14.6;12.0;8.1;3.9;1.5;0.1;-2.4
C063;Muxika;16;-0.8;-5.1;-0.7;2.8;2.7;9.0;13.0;11.3;6.9;1.2;0.9;-0.7;-5.1
C046;Oiz;980;-1.5;-9.8;-3.9;-0.2;0.1;6.6;10.0;9.4;6.1;-1.6;-1.0;0.8;-9.8
C0BA;Oleta;14;1.5;-2.5;0.8;4.5;5.1;10.2;14.8;13.3;9.2;3.5;3.1;2.5;-2.5
C059;Ordunte;300;-1.4;-4.4;0.0;2.0;3.4;9.2;11.9;10.3;6.9;1.6;1.8;-1.3;-4.4
C072;Orduña;934;-2.1;-8.4;-3.5;0.0;1.2;7.5;10.3;9.7;6.7;-0.9;-0.2;0.0;-8.4
C0B4;Orozko;200;0.2;-4.1;0.6;3.1;4.1;8.8;12.7;10.8;7.4;2.1;1.7;-0.6;-4.1
C054;Otxandio;556;-3.1;-6.9;-3.5;-1.0;1.2;6.3;10.0;8.5;4.4;0.0;-1.5;-3.6;-6.9
C042;Punta Galea;61;3.3;-2.5;3.1;7.2;8.4;11.9;16.2;14.1;10.6;5.2;5.8;1.9;-2.5
C0B9;Sangroniz;10;-0.1;-4.2;0.4;3.3;5.0;8.8;13.6;10.9;7.0;3.3;1.8;-0.2;-4.2
C0C3;Sodupe;56;0.7;-3.1;0.8;3.2;4.7;10.5;13.7;12.4;7.7;2.5;2.3;-0.1;-3.1
C066;Untzueta;764;-1.2;-6.8;-2.2;2.0;2.3;8.7;11.8;11.4;8.0;0.1;1.6;1.5;-6.8
C022;Urkiola;709;-1.5;-7.2;-2.1;-0.2;2.2;6.5;10.3;8.6;5.9;-0.4;0.0;-1.2;-7.2
C0B3;Urkizu;75;0.0;-4.8;-0.1;2.8;4.0;9.9;13.2;11.4;7.9;2.5;1.3;-0.2;-4.8
C037;Venta Alta;162;0.6;-3.5;0.3;3.5;5.2;10.0;14.2;12.2;8.2;4.1;2.7;1.8;-3.5
C0E5;Agauntza;180;-1.8;-5.9;-1.2;2.5;3.8;8.8;13.7;11.9;6.3;2.3;0.5;-0.1;-5.9
C0DB;Aitzu;312;-1.7;-7.3;-2.0;1.5;2.6;7.7;11.5;10.3;4.9;-0.2;-0.1;-1.6;-7.3
C0D3;Aixola;320;-0.2;-6.3;-0.1;2.3;2.9;7.4;12.2;10.1;6.0;1.2;2.0;-1.1;-6.3
C0DD;Aizarnazabal;25;0.3;-5.1;1.1;4.3;4.8;10.0;13.9;12.7;7.4;4.1;1.9;2.1;-5.1
C0E9;Alegia;90;-0.6;-4.7;-0.6;3.0;5.0;10.8;14.5;12.9;8.9;3.1;3.5;1.8;-4.7
C078;Altzola;17;0.7;-3.7;0.0;3.8;4.8;10.4;14.3;13.5;9.2;3.0;2.5;1.9;-3.7
C052;Ameraun;285;-0.3;-6.9;-1.0;2.5;3.1;7.9;12.4;11.2;5.5;0.9;1.3;-1.5;-6.9
C0E1;Amundarain;111;-2.6;-6.5;-1.8;1.9;3.5;9.1;13.6;11.7;5.9;2.3;0.9;-0.2;-6.5
C077;Andoain;52;-0.2;-5.3;-0.2;3.2;4.2;9.4;13.7;12.6;7.0;2.2;1.0;1.7;-5.3
C080;Añarbe;184;-0.5;-6.5;-1.3;2.2;3.0;8.3;13.4;12.1;6.0;1.3;0.4;0.1;-6.5
C0E8;Araxes;141;-0.7;-5.4;-0.8;2.7;4.1;9.8;12.9;12.5;7.3;2.0;1.8;0.8;-5.4
C023;Arrasate;318;-1.1;-6.8;-1.9;1.6;2.5;8.0;12.9;10.4;6.4;0.4;0.1;-0.2;-6.8
C084;Behobia;5;1.9;-4.3;1.6;5.3;6.1;11.1;15.4;13.7;8.4;3.5;3.2;2.7;-4.3
C0EA;Belauntza;105;-1.1;-5.2;-0.8;2.8;4.2;9.3;14.3;13.0;7.5;1.7;1.0;0.5;-5.2
C026;Berastegi;379;-4.9;-8.2;-3.2;1.6;1.7;6.5;12.6;11.0;4.0;0.3;-1.5;-4.1;-8.2
C058;Bidania;592;-0.3;-7.1;-1.3;2.0;3.1;7.6;12.0;11.5;7.4;-0.2;1.1;-0.4;-7.1
C0F0;Ereñozu;25;0.4;-5.1;0.5;4.2;4.6;10.2;14.9;13.1;8.4;3.4;2.0;1.6;-5.1
C0F1;Eskas;650;-0.1;-8.4;-1.4;2.9;2.8;9.0;12.4;11.2;6.9;-0.2;0.3;-0.5;-8.4
C0E7;Estanda;195;-1.7;-5.8;-1.2;2.2;4.0;10.0;14.4;12.2;7.6;2.4;2.2;1.2;-5.8
C018;Higer;43;3.2;-2.9;3.1;7.2;6.8;13.9;17.0;15.7;15.5;;;;-2.9
C0DC;Ibai Eder;90;0.1;-4.5;0.2;3.6;4.9;11.5;14.7;13.6;8.5;2.2;1.8;1.0;-4.5
C071;Jaizkibel;545;-0.1;-7.3;-0.2;3.8;3.9;10.0;13.4;13.5;9.4;1.6;1.5;1.9;-7.3
C0EC;Lasarte;18;0.1;-4.9;2.0;4.7;5.6;10.9;15.0;13.8;8.6;3.3;4.0;3.1;-4.9
C0DE;Matxinbenta;250;-0.6;-6.3;-1.2;2.1;3.2;8.2;12.2;11.4;5.9;1.1;0.7;-0.5;-6.3
C017;Miramon;113;0.7;-5.2;2.0;5.4;6.0;11.3;15.1;13.4;8.4;3.3;3.6;2.9;-5.2
C0F4;Oiartzun;53;0.3;-3.5;0.6;4.0;5.0;11.0;15.0;13.7;8.8;3.4;1.7;1.6;-3.5
C0D1;Oñati;195;-0.9;-5.8;-1.0;2.2;3.2;8.3;13.8;11.8;7.5;1.4;1.1;-0.1;-5.8
C043;Ordizia;243;-2.0;-5.9;-1.4;2.4;3.9;10.0;13.8;12.0;6.8;1.9;1.8;0.8;-5.9
C0D2;San Prudentzio;175;-0.5;-4.9;-1.0;2.3;3.8;9.0;14.0;12.0;7.8;2.0;1.2;0.0;-4.9
C007;Santa Clara;48;2.7;-2.8;3.6;6.5;7.4;12.3;16.3;15.0;15.5;;;;-2.8
C0D0;Urkulu;340;-0.4;-5.7;-0.5;1.9;3.8;8.5;12.3;10.6;7.3;1.6;0.6;-0.6;-5.7
C064;Zarautz;80;1.3;-3.8;3.2;6.3;6.9;11.9;15.6;14.9;11.0;4.6;4.6;4.6;-3.8
C028;Zegama;520;0.2;-6.9;-0.4;0.6;3.5;8.7;13.9;11.8;7.6;1.5;2.3;-0.8;-6.9
C029;Zizurkil;149;0.5;-5.1;1.3;4.8;6.4;10.2;14.5;13.6;7.8;3.0;4.1;2.8;-5.1
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
;;;;TEMPERATURA MÍNIMA ABSOLUTA (ºC);;;;;;;;;;;
