COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
;;;;TEMPERATURA MÍNIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MIN
C065;Cerroja;677;1.4;-1.2;0.8;1.4;3.5;8.0;10.0;10.9;10.8;7.9;2.4;4.9;-1.2
C003;Derio;30;0.2;-2.0;1.8;1.8;2.0;10.3;9.8;11.0;10.5;4.2;3.0;-1.2;-2.0
C039;Deusto;3;3.6;1.4;5.3;4.7;6.8;13.1;13.4;14.8;13.6;8.4;6.0;3.3;1.4
C075;Eitzaga;270;1.9;-1.3;0.9;1.4;2.5;9.7;9.8;10.8;10.7;4.5;1.5;0.2;-1.3
C074;Elorrio;167;0.3;-1.5;0.6;1.2;1.9;9.5;9.1;10.6;9.4;3.3;1.1;-1.0;-1.5
C038;Galindo;5;3.6;0.8;4.4;4.5;6.2;12.1;12.7;14.1;13.1;7.6;5.7;1.5;0.8
C033;Igorre;150;0.3;-2.3;0.6;0.4;2.6;9.6;8.8;10.1;10.4;3.7;2.9;-0.1;-2.3
C0BD;Iruzubieta;110;0.6;-1.4;-0.4;0.2;1.5;8.4;8.3;9.7;9.1;2.6;1.1;-1.3;-1.4
C036;Iurreta;180;1.6;-1.3;1.7;1.8;3.2;10.4;10.3;11.4;11.2;4.3;3.2;0.2;-1.3
C045;La Garbea;717;1.8;-2.6;1.0;0.9;4.1;8.4;10.6;11.9;9.2;7.1;1.3;0.1;-2.6
C0B7;Mañaria;168;0.6;-1.5;2.3;1.5;2.6;9.7;9.3;10.4;10.0;3.5;1.2;-2.1;-2.1
C019;Matxitxako;433;3.6;1.6;3.0;4.4;6.3;10.1;13.0;13.9;11.7;8.5;3.8;3.5;1.6
C057;Mungia;22;1.5;-0.3;3.7;1.9;3.3;11.1;10.8;12.4;11.4;4.7;3.1;1.3;-0.3
C063;Muxika;16;-0.8;-2.2;-1.2;-0.5;1.2;8.5;9.1;10.3;9.7;3.7;1.1;0.2;-2.2
C046;Oiz;980;-0.9;-3.9;-1.3;0.0;1.3;6.2;8.2;8.8;6.9;3.9;0.1;1.9;-3.9
C0BA;Oleta;14;3.1;-0.2;1.6;2.2;4.5;10.5;10.9;12.0;11.0;5.1;2.9;1.2;-0.2
C059;Ordunte;300;-1.6;-3.6;0.4;-1.7;1.0;6.7;8.1;9.6;8.1;3.2;1.5;-2.1;-3.6
C072;Orduña;934;-0.6;-5.0;-0.5;-0.1;2.3;6.8;9.1;9.7;7.9;5.6;-0.6;-4.2;-5.0
C0B4;Orozko;200;0.1;-1.9;1.5;-0.2;2.6;6.9;8.0;9.6;9.2;3.3;2.4;-1.3;-1.9
