COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
C002;Arteaga;19;-3.4;0.9;0.8;2.1;3.8;11.6;11.7;10.7;6.6;5.5;0.6;-1.0;-3.4
C0C2;Balmaseda;178;-8.8;-1.6;-2.8;-2.2;-1.0;7.0;8.6;6.8;6.9;2.5;-1.5;-3.1;-8.8
C069;Bermeo;106;0.2;5.6;4.8;4.9;8.7;12.8;13.2;14.0;10.9;8.9;4.8;2.6;0.2
C0B6;Berna;95;-5.5;0.8;-1.1;-0.3;1.1;8.4;9.6;8.6;7.1;4.7;-0.9;-1.6;-5.5
C0BE;Berriatua;25;-2.7;2.9;2.6;2.8;4.6;11.7;11.1;10.5;7.7;5.6;1.4;-0.1;-2.7
C065;Cerroja;677;-2.4;1.4;0.7;0.1;3.8;8.6;9.0;10.3;6.6;6.4;0.2;-0.6;-2.4
C003;Derio;30;-3.9;1.5;0.5;0.5;2.1;10.5;11.5;10.8;8.8;7.3;1.4;-0.7;-3.9
C039;Deusto;3;-0.4;3.6;3.4;3.2;5.2;11.5;13.2;12.9;9.9;7.8;2.9;1.2;-0.4
C075;Eitzaga;270;-4.3;3.3;1.7;1.2;2.8;6.8;10.8;8.9;7.7;5.6;0.7;-0.5;-4.3
C074;Elorrio;167;-5.3;0.9;1.1;0.5;2.4;9.6;11.0;9.8;6.8;4.8;0.1;-1.0;-5.3
C009;Galdakao;30;;;;;;;;11.2;8.4;7.1;1.5;0.1;0.1
C038;Galindo;5;-1.4;4.4;4.3;3.4;5.1;11.4;13.1;13.2;10.6;8.1;3.3;0.8;-1.4
C033;Igorre;150;-4.8;1.3;1.1;1.8;2.9;10.7;10.7;9.4;6.0;5.4;-0.3;-1.2;-4.8
C0BD;Iruzubieta;110;-5.5;0.0;0.1;0.2;1.8;9.0;9.4;8.9;5.2;4.3;-0.3;-1.9;-5.5
C036;Iurreta;180;-4.0;2.1;2.0;0.8;2.6;10.3;10.7;9.3;7.1;5.4;0.3;-1.2;-4.0
C045;La Garbea;717;-1.9;0.6;-0.1;1.1;4.5;8.6;8.2;9.6;6.8;5.1;0.5;-0.4;-1.9
C0B7;Mañaria;168;-6.3;-0.3;0.3;-0.4;0.9;8.5;10.3;9.0;6.1;4.1;-0.3;-1.4;-6.3
C019;Matxitxako;433;-0.9;4.1;2.4;2.5;6.3;10.5;11.2;12.0;8.2;7.8;2.8;0.8;-0.9
C057;Mungia;22;-4.2;1.4;1.1;1.6;5.4;11.8;12.4;11.9;8.9;6.0;0.3;-1.2;-4.2
C063;Muxika;16;-4.5;0.9;0.1;1.2;2.0;9.8;10.3;8.6;5.7;4.3;-0.7;-2.1;-4.5
C046;Oiz;980;-6.1;-0.3;-2.4;-1.1;1.7;6.8;7.2;7.7;5.8;2.9;-0.7;-2.5;-6.1
C0BA;Oleta;14;-2.4;2.3;1.7;2.2;4.5;11.3;11.6;10.8;8.0;6.6;1.9;0.2;-2.4
C059;Ordunte;300;-5.4;-1.3;-1.2;-1.1;0.8;6.9;10.4;8.3;6.8;4.5;-0.9;-1.1;-5.4
C072;Orduña;934;-5.4;-0.7;-2.4;-1.4;0.9;6.3;7.0;8.8;5.5;3.6;-1.1;-2.3;-5.4
C0B4;Orozko;200;-4.7;0.5;0.2;0.1;1.6;8.8;10.6;9.1;6.2;4.4;-0.1;-0.5;-4.7
C054;Otxandio;556;-9.5;-1.9;-3.2;-3.0;-0.1;6.1;6.6;5.0;2.8;-0.1;-3.6;-4.2;-9.5
C042;Punta Galea;61;-0.7;4.8;5.0;4.2;9.9;12.8;14.6;13.0;10.6;8.4;3.7;1.4;-0.7
C0B9;Sangroniz;10;-5.5;0.6;-0.2;0.1;1.9;10.3;10.8;9.7;7.1;5.0;0.0;-1.0;-5.5
C0C3;Sodupe;56;-5.5;1.2;-0.8;0.8;1.6;9.8;11.9;9.6;8.6;5.1;0.0;-0.6;-5.5
C066;Untzueta;764;-4.7;0.1;-0.2;0.1;2.9;7.9;8.0;9.5;6.3;4.9;-0.1;-1.1;-4.7
C022;Urkiola;709;-6.3;-1.7;-2.6;-2.0;-1.7;5.2;7.7;6.9;3.6;3.1;-2.0;-3.9;-6.3
C0B3;Urkizu;75;-6.0;-0.2;-1.0;0.4;1.8;9.3;10.4;9.0;6.0;4.2;-0.6;-1.9;-6.0
C037;Venta Alta;162;-4.6;1.7;0.3;1.1;2.6;10.2;11.4;9.6;7.0;5.9;0.3;-0.3;-4.6
C0E5;Agauntza;180;-5.8;2.0;1.5;0.4;2.2;8.9;10.5;8.4;5.1;3.3;-0.6;-1.4;-5.8
C0DB;Aitzu;312;-7.2;-0.2;-0.4;-1.1;0.2;7.7;8.2;7.5;5.0;1.9;-1.6;-3.5;-7.2
C0D3;Aixola;320;-4.6;1.1;0.2;0.0;1.4;8.2;9.7;8.9;6.0;2.5;-0.5;-2.3;-4.6
C0DD;Aizarnazabal;25;-3.5;2.4;2.6;1.5;3.5;10.4;10.6;10.6;7.6;4.2;0.6;-1.1;-3.5
C0E9;Alegia;90;-5.5;-1.9;1.9;1.2;4.7;9.7;11.3;10.7;8.3;6.5;1.4;-0.1;-5.5
C078;Altzola;17;-4.0;2.3;2.0;2.4;3.1;10.4;10.5;10.3;9.3;6.7;1.6;0.2;-4.0
C052;Ameraun;285;-5.5;0.1;0.8;-0.5;2.0;8.7;9.4;8.6;5.4;2.5;-0.6;-2.6;-5.5
C0E1;Amundarain;111;-6.6;0.5;0.2;-1.0;2.4;8.3;10.0;8.5;5.6;4.0;-0.3;-1.6;-6.6
C077;Andoain;52;-4.7;0.8;2.1;0.8;2.6;9.8;10.9;9.8;7.1;3.7;-0.2;-1.2;-4.7
C080;Añarbe;184;-6.0;-0.5;0.9;-0.1;2.4;9.3;9.6;8.7;5.6;1.8;-0.6;-2.9;-6.0
C0E8;Araxes;141;-5.1;1.8;2.2;1.2;4.0;9.6;11.7;9.7;6.9;4.9;0.0;-0.8;-5.1
C023;Arrasate;318;-7.1;0.8;-0.6;-1.1;0.6;7.9;10.3;8.5;6.4;3.7;-1.3;-2.2;-7.1
C084;Behobia;5;-2.9;2.4;3.5;3.4;6.8;11.7;12.0;12.7;9.7;5.6;2.0;-1.2;-2.9
C0EA;Belauntza;105;-4.0;2.6;2.9;2.4;4.5;10.8;12.2;10.4;6.6;3.4;-0.2;-1.3;-4.0
C026;Berastegi;379;-8.1;-2.0;-0.9;-2.1;-0.2;6.9;7.7;6.8;3.5;0.3;-2.6;-7.5;-8.1
C058;Bidania;592;-5.6;-0.6;1.1;0.8;3.0;7.6;9.0;8.8;6.3;3.0;-0.5;-3.4;-5.6
C0F0;Ereñozu;25;-2.8;1.5;2.2;1.4;4.2;10.7;11.7;10.8;7.6;4.1;1.4;-0.9;-2.8
C0F1;Eskas;650;;;;;;;;;;;-0.8;-3.8;-3.8
C0E7;Estanda;195;-6.7;1.4;1.1;0.6;3.8;9.4;10.3;9.8;7.1;5.0;0.5;-0.6;-6.7
C018;Higer;43;-1.5;4.2;4.8;5.5;8.3;13.6;14.6;14.2;10.0;7.0;3.9;0.6;-1.5
C0DC;Ibai Eder;90;-4.7;2.6;2.4;2.1;3.4;10.5;11.5;10.5;9.1;6.1;1.5;-0.2;-4.7
C071;Jaizkibel;545;-5.7;2.8;1.8;3.6;5.1;10.0;10.8;11.5;9.7;5.7;0.6;-1.6;-5.7
C0EC;Lasarte;18;-2.7;3.0;2.7;2.6;4.5;10.9;12.0;11.7;9.1;5.6;1.7;-0.7;-2.7
C0DE;Matxinbenta;250;-3.2;2.6;3.2;2.2;3.7;10.7;11.9;10.8;5.6;2.5;-0.8;-1.9;-3.2
C017;Miramon;113;-2.6;2.9;3.4;3.6;5.4;11.2;12.3;11.6;8.9;5.2;2.2;-0.8;-2.6
C0F4;Oiartzun;53;-4.5;1.4;2.5;3.3;5.9;12.2;12.3;11.6;8.2;4.4;1.0;-2.4;-4.5
C0D1;Oñati;195;-6.0;0.8;0.0;-0.4;1.9;8.2;10.5;8.8;6.1;4.8;-0.1;-1.2;-6.0
C043;Ordizia;243;-4.3;2.8;1.4;1.2;3.1;9.9;11.0;10.0;8.2;5.1;0.5;-1.0;-4.3
C0D2;San Prudentzio;175;-4.9;2.2;1.6;1.0;3.7;9.8;11.9;9.3;7.1;4.6;0.4;-0.5;-4.9
C007;Santa Clara;48;-1.4;4.2;4.7;5.5;6.6;12.4;13.1;13.2;10.1;6.3;3.3;0.2;-1.4
C0D0;Urkulu;340;-6.1;0.2;0.4;0.0;1.4;7.8;9.4;8.6;4.5;3.8;-0.8;-1.9;-6.1
C064;Zarautz;80;-2.0;3.8;4.3;4.7;8.0;12.4;12.5;12.8;10.0;6.8;3.2;0.4;-2.0
C028;Zegama;520;-4.3;1.2;2.5;2.2;1.9;8.7;10.0;10.2;6.7;4.1;0.6;-2.9;-4.3
C029;Zizurkil;149;-3.4;2.3;3.7;2.6;4.2;10.8;11.7;11.1;8.9;4.8;0.0;-1.8;-3.4
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
;;;;TEMPERATURA MÍNIMA ABSOLUTA (ºC);;;;;;;;;;;
