COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
;;;;TEMPERATURA MÍNIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MIN
C076;Abetxuko;510;-8.5;-2.1;-3.2;-2.8;-1.5;5.2;7.6;6.7;4.1;0.9;-3.7;-5.7;-8.5
C0A4;Albaina;594;;;-2.0;-3.0;-0.6;5.0;7.3;4.2;0.9;-0.6;-4.0;-2.2;
C056;Alegria;545;-8.6;-1.5;-1.5;-3.0;-1.0;5.1;7.3;6.0;3.8;0.3;-2.8;-8.5;-8.6
C035;Altube;618;-7.5;-0.8;-1.9;-1.1;0.7;5.2;7.9;5.5;2.4;-0.4;-3.4;-4.2;-7.5
C0A3;Antoñana;556;-7.8;-3.0;-3.0;-3.9;-2.4;3.1;6.2;5.3;1.8;-0.1;-4.2;-6.1;-7.8
C016;Arkauti;517;-9.1;-2.1;-2.9;-2.9;-1.6;5.0;7.6;6.7;3.8;1.1;-3.4;-5.9;-9.1
C025;Beluntza;687;-4.7;-1.1;-0.4;-1.0;0.1;6.5;8.0;6.3;3.2;1.9;-1.4;-3.4;-4.7
C0A2;Egino;573;-7.8;-1.1;-2.1;-2.3;-2.1;4.4;7.0;5.6;1.2;-0.1;-3.8;-9.9;-9.9
C034;Espejo;504;-9.0;-2.5;-4.6;-3.6;-1.2;5.7;8.0;5.4;1.9;-1.3;-3.9;-3.5;-9.0
C0AA;Etura;549;-9.4;-1.6;-2.3;-3.0;-1.8;5.0;6.5;5.7;2.4;-0.5;-4.0;-7.5;-9.4
C067;Gardea;141;-5.1;0.5;-0.2;0.4;1.5;9.7;11.4;9.3;6.6;5.3;-0.1;-1.2;-5.1
C040;Gasteiz;546;-4.2;1.8;0.7;0.6;2.4;9.2;10.6;10.0;7.8;5.6;0.4;-1.9;-4.2
C044;Gorbea;662;-4.8;-0.2;-1.4;-0.7;0.3;6.0;8.3;5.6;2.5;1.7;-2.1;-2.8;-4.8
C048;Herrera;1188;-7.9;-1.6;-3.1;-1.9;-0.4;5.4;6.0;7.2;4.3;1.9;-1.5;-4.3;-7.9
C068;Ilarduia;596;-7.2;-0.9;-0.4;-1.1;-1.3;5.3;8.5;6.8;2.3;0.2;-3.0;-8.3;-8.3
C024;Iturrieta;987;-9.4;-2.6;-1.9;-3.6;-2.8;4.6;6.5;2.5;-0.1;-1.6;-5.7;-10.5;-10.5
C00A;Kanpezu;550;-5.9;-1.9;-1.9;-2.5;-0.7;5.8;9.6;7.7;2.3;1.7;-4.6;-6.1;-6.1
C047;Kapildui;1173;-8.8;-1.7;-3.2;-1.9;-0.2;5.4;5.9;7.5;4.2;1.5;-1.6;-5.2;-8.8
C031;Moreda;490;-3.8;1.7;1.2;1.4;3.8;10.4;11.6;11.2;7.4;5.3;1.2;-0.5;-3.8
C041;Navarrete;689;-8.5;-3.2;-2.7;-4.3;-1.4;4.2;6.5;3.5;-0.2;-1.3;-4.8;-9.0;-9.0
C055;Ozaeta;548;-9.7;-1.0;-0.6;-0.5;-0.1;6.4;6.7;4.9;0.6;-1.1;-4.6;-7.4;-9.7
C060;Páganos;577;-4.1;-0.3;0.3;-0.3;2.9;9.1;9.9;8.6;5.6;3.5;-0.3;-2.1;-4.1
C0A1;Pagoeta;705;-10.3;-4.4;-3.9;-3.5;-1.1;4.0;5.3;2.4;-0.5;-2.1;-4.5;-13.9;-13.9
C021;Roitegi;980;-7.6;-2.7;-1.7;-3.4;-1.2;5.2;7.0;3.5;0.5;-1.3;-3.9;-6.6;-7.6
C030;Salvatierra;589;-9.4;-2.1;-1.4;-3.9;-2.8;4.0;6.3;4.5;1.7;-0.9;-3.9;-8.6;-9.4
C051;Saratxo;230;-6.4;0.1;-0.4;0.0;0.6;8.6;11.1;8.4;6.1;3.8;-1.5;-3.0;-6.4
C0A0;Sarria;655;-6.2;-0.4;-1.6;-1.3;0.5;5.4;7.2;5.3;1.6;-0.6;-3.1;-5.0;-6.2
C049;Subijana;537;-8.6;-2.9;-4.6;-3.7;-1.9;4.8;8.5;5.9;2.2;-0.2;-4.5;-4.3;-8.6
C00B;Tobillas;700;;;;-3.4;-2.3;3.6;6.3;4.3;1.9;0.0;-3.4;-6.6;-6.6
C020;Trebiño;578;-9.5;-1.9;-3.8;-4.2;-2.1;4.2;6.9;4.5;0.8;-0.6;-4.3;-8.3;-9.5
C070;Zaldiaran;980;-6.5;-1.3;-2.5;-1.3;-0.6;6.1;6.5;8.2;5.0;2.4;-1.6;-4.7;-6.5
C050;Zambrana;470;-7.4;-2.0;-3.8;-2.7;-1.1;6.8;8.9;7.0;3.8;1.3;-2.8;-3.3;-7.4
C0B1;Abusu (La Peña);23;-3.5;2.7;1.5;1.5;2.8;10.6;11.6;10.6;7.9;6.6;1.1;0.0;-3.5
C079;Amorebieta;65;-5.8;1.6;-0.1;0.9;2.1;9.8;10.6;9.6;7.2;5.3;0.6;-0.7;-5.8
C0C1;Aranguren;92;-4.3;2.6;0.8;1.9;4.1;11.1;12.2;9.8;9.0;5.0;-0.4;-0.1;-4.3
C061;Arboleda;329;-3.1;2.6;2.4;1.6;6.8;9.1;11.3;10.6;7.5;6.4;2.1;-0.1;-3.1
C032;Areta;122;-5.7;-0.5;-1.1;0.0;0.4;9.2;10.0;8.4;6.0;4.5;-0.8;-1.9;-5.7
