COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;;VELOCIDAD DE LA RACHA MÁXIMA (km/h);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C056;Alegria;545;94.7;90.7;70.6;58.3;67.3;49.0;57.6;61.2;65.5;55.4;57.6;79.2;94.7
C035;Altube;618;79.2;71.3;63.0;60.5;61.9;43.2;38.5;44.6;56.5;41.4;55.4;52.6;79.2
C001;Arkaute;517;97.2;90.4;70.6;62.6;73.1;59.4;44.6;67.0;83.2;51.8;61.9;35.6;97.2
C025;Beluntza;687;108.0;102.2;91.4;90.0;95.4;61.2;53.3;79.2;91.8;68.4;78.1;74.9;108.0
C034;Espejo;504;85.0;86.4;61.9;64.8;68.8;65.9;44.6;45.0;71.3;45.0;61.2;30.2;86.4
C0AA;Etura;549;78.5;79.2;65.2;66.6;83.9;51.8;;54.7;87.5;67.0;60.1;69.8;87.5
C067;Gardea;141;78.5;79.9;76.3;76.7;62.6;63.4;53.6;43.9;54.4;65.2;81.0;79.2;81.0
C040;Gasteiz;546;114.5;92.2;81.0;75.2;82.1;63.7;48.6;70.2;79.9;51.8;74.5;50.0;114.5
C048;Herrera;1188;126.0;117.7;94.7;99.0;88.9;75.2;76.0;70.2;109.8;77.4;98.3;83.9;126.0
C068;Ilarduia;596;82.1;87.8;70.2;92.2;105.5;72.7;68.0;66.2;81.0;88.6;76.3;93.6;105.5
C024;Iturrieta;987;90.0;95.0;78.5;75.6;94.0;65.5;57.6;65.2;83.5;73.4;72.4;69.8;95.0
C00A;Kanpezu;550;85.7;92.5;78.5;67.7;100.1;57.2;61.9;49.3;70.2;81.4;64.4;68.8;100.1
C047;Kapildui;1173;118.1;115.9;95.8;79.9;98.3;76.7;70.2;81.4;84.6;74.5;93.2;88.6;118.1
