COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;;VELOCIDAD DE LA RACHA MÁXIMA (km/h);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C056;Alegria;545;70.2;79.9;92.9;84.6;74.5;68.8;57.2;56.2;47.2;59.0;91.4;85.0;92.9
C035;Altube;618;63.0;64.4;66.6;58.3;54.0;59.0;71.3;44.6;63.0;53.6;73.4;73.4;73.4
C016;Arkauti;517;72.4;75.2;79.9;68.4;71.3;65.9;67.7;49.3;51.5;65.2;74.9;90.7;90.7
C025;Beluntza;687;90.0;94.7;97.9;81.7;83.5;85.3;77.8;67.7;91.4;83.9;106.2;123.5;123.5
C034;Espejo;504;63.0;63.7;77.8;63.4;75.6;70.9;92.2;49.7;91.1;56.9;67.3;87.1;92.2
C0AA;Etura;549;84.6;73.4;76.3;76.3;69.8;60.1;65.9;56.9;52.6;68.4;88.2;86.4;88.2
C067;Gardea;141;57.2;55.8;86.0;67.3;49.3;58.3;44.6;62.6;60.1;58.3;83.9;84.6;86.0
C040;Gasteiz;546;78.5;80.3;114.5;81.0;82.8;72.7;80.3;61.9;62.6;70.6;89.3;97.2;114.5
C048;Herrera;1188;103.7;92.5;106.2;81.4;108.7;75.2;70.6;69.5;86.4;82.1;108.4;112.7;112.7
C068;Ilarduia;596;94.0;75.6;89.6;93.6;82.1;97.9;75.2;61.2;83.5;74.9;97.9;92.9;97.9
C024;Iturrieta;987;94.0;96.1;94.0;87.1;77.8;76.7;89.3;53.3;67.0;68.8;85.3;96.1;96.1
C00A;Kanpezu;550;74.2;81.4;80.3;92.9;73.4;65.2;49.7;58.3;57.2;72.0;81.0;89.6;92.9
C047;Kapildui;1173;92.5;92.2;116.3;100.1;88.9;85.0;76.7;69.8;85.3;80.3;102.2;119.2;119.2
