COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;;VELOCIDAD DE LA RACHA MÁXIMA (km/h);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C0C3;Sodupe;56;52.6;90.4;52.9;52.9;49.3;60.5;60.1;53.3;41.8;51.1;45.7;67.7;90.4
C066;Untzueta;764;105.5;134.3;79.9;106.6;77.0;85.0;101.5;69.1;70.2;72.0;99.7;137.2;137.2
C022;Urkiola;709;81.0;98.6;77.8;62.6;95.8;51.8;67.3;52.2;60.5;54.4;68.4;103.3;103.3
C037;Venta Alta;162;67.0;104.8;73.1;76.7;85.3;69.5;47.5;52.6;58.0;54.4;71.6;129.2;129.2
C023;Arrasate;318;85.7;122.0;89.6;68.8;68.4;76.0;65.9;64.1;70.9;54.7;67.0;98.3;122.0
C026;Berastegi;379;92.2;88.9;77.4;61.2;90.0;52.6;57.2;50.0;51.1;61.9;73.8;73.4;92.2
C058;Bidania;592;91.4;107.3;82.4;67.0;58.3;59.0;64.4;53.3;61.2;51.8;68.0;97.2;107.3
C018;Higer;43;95.4;109.8;96.5;83.2;76.0;113.4;68.4;67.7;85.7;72.4;78.1;125.6;125.6
C071;Jaizkibel;545;107.6;123.1;99.4;93.2;85.3;108.4;100.8;73.8;81.0;83.9;86.8;136.8;136.8
C0EC;Lasarte;18;79.2;79.2;58.7;64.1;48.2;47.2;55.4;47.9;40.3;59.8;49.7;72.4;79.2
C017;Miramon;113;83.2;96.5;86.8;72.7;59.8;70.2;49.7;48.6;62.6;70.6;59.8;95.0;96.5
C043;Ordizia;243;74.9;121.0;70.9;65.2;74.2;64.4;106.9;43.2;46.1;47.5;52.6;112.3;121.0
C007;Santa Clara;48;103.7;142.6;101.5;105.1;85.7;104.4;81.7;78.1;82.4;79.2;78.1;123.1;142.6
C064;Zarautz;80;89.6;118.4;89.6;74.2;71.6;72.4;60.5;78.5;77.0;79.2;87.8;141.5;141.5
C028;Zegama;520;102.6;118.8;77.8;63.4;71.3;93.2;104.4;59.8;55.1;79.2;67.3;97.2;118.8
C029;Zizurkil;149;110.5;99.4;76.3;66.2;77.8;57.2;83.2;59.8;58.3;58.7;68.4;113.0;113.0
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;;VELOCIDAD DE LA RACHA MÁXIMA (km/h);;;;;;;;;;
