COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;;VELOCIDAD DE LA RACHA MÁXIMA (km/h);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C056;Alegria;545;70.6;80.3;77.0;75.2;60.1;48.6;46.1;51.8;59.4;55.8;64.8;56.9;80.3
C035;Altube;618;52.9;50.0;67.0;65.5;45.4;51.5;64.8;72.0;46.1;55.1;51.1;49.0;72.0
C016;Arkauti;517;74.5;63.0;81.7;85.7;61.9;55.1;72.4;59.0;54.0;64.4;60.5;56.5;85.7
C025;Beluntza;687;91.4;73.1;109.8;91.1;63.7;70.2;110.9;101.5;65.5;104.0;84.6;99.7;110.9
C034;Espejo;504;78.1;49.0;85.0;67.7;42.1;44.6;65.2;67.3;39.6;45.7;59.4;58.3;85.0
C0AA;Etura;549;61.2;74.5;78.5;81.7;61.2;54.7;96.5;49.0;55.4;70.9;58.0;66.2;96.5
C067;Gardea;141;72.7;66.6;79.2;64.8;40.3;60.8;45.7;35.3;58.3;64.1;72.4;81.4;81.4
C040;Gasteiz;546;82.1;61.2;92.5;83.5;62.6;62.6;71.3;50.0;67.0;62.6;72.0;65.5;92.5
C048;Herrera;1188;103.0;93.6;105.8;101.5;71.3;70.9;69.1;62.6;87.8;78.5;90.4;104.8;105.8
C068;Ilarduia;596;72.0;99.7;94.7;110.5;58.3;63.0;81.4;69.5;80.3;77.4;89.6;78.1;110.5
C024;Iturrieta;987;81.4;76.0;85.0;92.9;61.2;63.4;61.9;58.0;59.4;77.4;68.8;79.2;92.9
C00A;Kanpezu;550;71.3;65.5;87.5;96.1;61.2;61.2;61.2;54.7;71.3;77.8;67.0;67.0;96.1
C047;Kapildui;1173;109.8;94.7;118.4;97.2;64.8;73.1;65.9;60.8;68.8;77.4;85.3;85.0;118.4
