code,year,month,temp_max_abs
C021,2016,2,13.5
C021,2016,3,17.5
C021,2016,4,17.7
C021,2016,5,23.2
C021,2016,6,29.5
C021,2016,7,34.9
C021,2016,8,33.7
C021,2016,9,33.9
C021,2016,10,24.7
C021,2016,11,21.0
C021,2016,12,15.0
C030,2016,1,16.9
C030,2016,2,16.0
C030,2016,3,20.4
C030,2016,4,19.4
C030,2016,5,26.8
C030,2016,6,32.6
C030,2016,7,37.2
C030,2016,8,37.0
C030,2016,9,36.5
C030,2016,10,29.2
C030,2016,11,23.7
C030,2016,12,15.3
C051,2016,1,19.7
C051,2016,2,19.9
C051,2016,3,23.9
C051,2016,4,23.1
C051,2016,5,30.6
C051,2016,6,36.4
C051,2016,7,39.1
C051,2016,8,38.3
C051,2016,9,39.5
C051,2016,10,29.1
C051,2016,11,24.3
C051,2016,12,19.4
C0A0,2016,1,16.1
C0A0,2016,2,17.2
C0A0,2016,3,20.8
C0A0,2016,4,21.2
C0A0,2016,5,28.4
C0A0,2016,6,33.2
C0A0,2016,7,37.1
C0A0,2016,8,37.3
C0A0,2016,9,37.7
C0A0,2016,10,26.8
C0A0,2016,11,22.9
C0A0,2016,12,15.9
C049,2016,1,16.2
C049,2016,2,16.0
C049,2016,3,20.8
C049,2016,4,20.0
C049,2016,5,28.2
C049,2016,6,33.6
C049,2016,7,37.9
C049,2016,8,36.8
C049,2016,9,36.4
C049,2016,10,27.6
C049,2016,11,21.7
C049,2016,12,15.2
C020,2016,1,16.2
C020,2016,2,15.4
C020,2016,3,20.4
C020,2016,4,19.6
C020,2016,5,27.4
C020,2016,6,32.9
C020,2016,7,37.5
C020,2016,8,35.7
C020,2016,9,35.5
C020,2016,10,27.1
C020,2016,11,22.0
C020,2016,12,14.0
C070,2016,1,14.4
C070,2016,2,13.8
C070,2016,3,19.2
C070,2016,4,16.5
C070,2016,5,24.8
C070,2016,6,27.6
C070,2016,7,32.5
C070,2016,8,33.8
C070,2016,9,34.3
C070,2016,10,23.8
C070,2016,11,19.6
C070,2016,12,13.9
C050,2016,1,17.8
C050,2016,2,17.3
C050,2016,3,21.9
C050,2016,4,21.2
C050,2016,5,28.8
C050,2016,6,35.3
C050,2016,7,38.3
C050,2016,8,37.3
C050,2016,9,37.2
C050,2016,10,28.7
C050,2016,11,23.2
C050,2016,12,17.0
C0B1,2016,1,19.3
C0B1,2016,2,18.7
C0B1,2016,3,23.1
C0B1,2016,4,21.6
C0B1,2016,5,27.1
C0B1,2016,6,34.2
C0B1,2016,7,40.2
C0B1,2016,8,37.5
C0B1,2016,9,36.3
C0B1,2016,10,28.6
C0B1,2016,11,21.9
C0B1,2016,12,18.9
C079,2016,1,20.3
C079,2016,2,20.1
C079,2016,3,23.7
C079,2016,4,21.0
C079,2016,5,29.6
C079,2016,6,37.0
C079,2016,7,40.3
C079,2016,8,38.8
C079,2016,9,37.9
C079,2016,10,27.0
C079,2016,11,24.8
C079,2016,12,20.1
C0C1,2016,1,22.9
C0C1,2016,2,22.2
C0C1,2016,3,25.7
C0C1,2016,4,24.0
C0C1,2016,5,31.0
C0C1,2016,6,39.0
C0C1,2016,7,42.4
C0C1,2016,8,41.1
C0C1,2016,9,41.1
C0C1,2016,10,32.1
C0C1,2016,11,27.5
C0C1,2016,12,22.6
C061,2016,1,18.8
C061,2016,2,18.5
C061,2016,3,22.1
C061,2016,4,19.8
C061,2016,5,26.5
C061,2016,6,31.2
C061,2016,7,37.4
C061,2016,8,37.4
C061,2016,9,35.4
C061,2016,10,24.8
C061,2016,11,22.4
C061,2016,12,18.3
C032,2016,1,19.4
C032,2016,2,20.0
C032,2016,3,23.0
C032,2016,4,21.0
C032,2016,5,29.8
C032,2016,6,36.2
C032,2016,7,38.6
C032,2016,8,37.6
C032,2016,9,38.3
C032,2016,10,28.9
C032,2016,11,23.0
C032,2016,12,19.0
C002,2016,1,23.0
C002,2016,2,20.5
C002,2016,3,25.6
C002,2016,4,23.0
C002,2016,5,28.6
C002,2016,6,30.1
C002,2016,7,39.6
C002,2016,8,36.4
C002,2016,9,38.2
C002,2016,10,25.9
C002,2016,11,24.9
C002,2016,12,21.2
C0C2,2016,1,17.9
C0C2,2016,2,18.6
C0C2,2016,3,21.0
C0C2,2016,4,18.4
C0C2,2016,5,28.1
C0C2,2016,6,34.2
C0C2,2016,7,37.3
C0C2,2016,8,36.8
C0C2,2016,9,38.7
C0C2,2016,10,26.9
C0C2,2016,11,20.8
C0C2,2016,12,17.6
C069,2016,1,21.4
C069,2016,2,18.8
C069,2016,3,24.4
C069,2016,4,21.9
C069,2016,5,25.8
C069,2016,6,27.5
C069,2016,7,36.5
C069,2016,8,34.4
C069,2016,9,33.9
C069,2016,10,24.6
C069,2016,11,23.5
C069,2016,12,19.2
C0B6,2016,1,19.5
C0B6,2016,2,20.8
C0B6,2016,3,23.7
C0B6,2016,4,21.3
C0B6,2016,5,29.3
C0B6,2016,6,36.0
C0B6,2016,7,38.3
C0B6,2016,8,38.1
C0B6,2016,9,37.7
C0B6,2016,10,27.9
C0B6,2016,11,23.7
C0B6,2016,12,19.1
C0BE,2016,1,23.2
C0BE,2016,2,20.3
C0BE,2016,3,25.4
C0BE,2016,4,23.5
C0BE,2016,5,28.0
C0BE,2016,6,35.4
C0BE,2016,7,39.4
C0BE,2016,8,35.2
C0BE,2016,9,38.3
C0BE,2016,10,25.6
C0BE,2016,11,25.1
C0BE,2016,12,21.2
C065,2016,1,18.6
C065,2016,2,16.8
C065,2016,3,18.5
C065,2016,4,16.4
C065,2016,5,24.6
C065,2016,6,30.8
C065,2016,7,34.6
C065,2016,8,34.8
C065,2016,9,36.5
