code,year,month,humedad_media_diaria
C021,2016,3,95.1
C021,2016,4,91.1
C021,2016,5,87.5
C021,2016,6,85.7
C021,2016,7,80.9
C021,2016,8,69.0
C021,2016,9,78.0
C021,2016,10,86.3
C021,2016,11,93.2
C021,2016,12,88.1
C030,2016,1,83.9
C030,2016,2,82.2
C030,2016,3,79.9
C030,2016,4,75.3
C030,2016,5,75.6
C030,2016,6,75.6
C030,2016,7,70.5
C030,2016,8,61.5
C030,2016,9,69.9
C030,2016,10,75.5
C030,2016,11,83.8
C030,2016,12,91.2
C051,2016,1,72.1
C051,2016,2,75.9
C051,2016,3,76.5
C051,2016,4,68.8
C051,2016,5,69.0
C051,2016,6,72.2
C051,2016,7,73.2
C051,2016,8,68.9
C051,2016,9,71.8
C051,2016,10,74.3
C051,2016,11,78.0
C051,2016,12,80.8
C0A0,2016,2,91.3
C0A0,2016,3,89.9
C0A0,2016,4,85.2
C0A0,2016,5,81.0
C0A0,2016,6,82.5
C0A0,2016,7,84.3
C0A0,2016,8,79.4
C0A0,2016,9,84.3
C0A0,2016,10,90.5
C0A0,2016,11,94.3
C0A0,2016,12,96.1
C049,2016,1,85.7
C049,2016,2,84.6
C049,2016,3,80.7
C049,2016,4,76.9
C049,2016,5,73.1
C049,2016,6,71.7
C049,2016,7,69.3
C049,2016,8,64.1
C049,2016,9,71.2
C049,2016,10,78.9
C049,2016,12,93.3
C020,2016,1,91.8
C020,2016,2,93.3
C020,2016,3,90.1
C020,2016,4,85.7
C020,2016,5,81.2
C020,2016,6,78.0
C020,2016,7,75.2
C020,2016,8,67.3
C020,2016,9,77.6
C020,2016,10,85.0
C020,2016,11,91.5
C070,2016,1,92.6
C070,2016,2,89.2
C070,2016,3,89.7
C070,2016,4,83.4
C070,2016,5,80.8
C070,2016,6,87.8
C070,2016,7,85.3
C070,2016,8,72.9
C070,2016,9,78.3
C070,2016,10,82.0
C070,2016,11,89.5
C070,2016,12,88.8
C050,2016,1,80.9
C050,2016,2,79.9
C050,2016,3,76.5
C050,2016,4,73.3
C050,2016,5,70.7
C050,2016,6,68.5
C050,2016,7,64.1
