code,year,month,viento_velocidad_racha_maxima
C020,2016,2,96.5
C020,2016,3,76.3
C020,2016,4,69.5
C020,2016,5,74.9
C020,2016,6,63.7
C020,2016,7,49.3
C020,2016,8,53.6
C020,2016,9,84.6
C020,2016,10,56.9
C020,2016,11,65.9
C020,2016,12,62.6
C050,2016,1,110.5
C050,2016,2,108.0
C050,2016,3,73.1
C050,2016,4,76.0
C050,2016,5,68.8
C050,2016,6,64.4
C050,2016,7,45.0
C050,2016,8,68.4
C050,2016,9,80.3
C050,2016,10,57.2
C050,2016,11,66.2
C050,2016,12,44.6
C061,2016,1,123.8
C061,2016,2,118.4
C061,2016,3,113.8
C061,2016,4,107.3
C061,2016,5,76.9
C061,2016,6,61.9
C061,2016,7,79.9
C061,2016,8,65.5
C061,2016,9,105.8
C061,2016,10,78.5
C061,2016,11,112.7
C061,2016,12,94.3
C032,2016,1,50.0
C032,2016,2,90.4
C032,2016,3,52.9
C032,2016,4,53.3
C032,2016,5,50.8
C032,2016,6,49.0
C032,2016,7,45.7
C032,2016,8,49.3
C032,2016,9,48.2
C032,2016,10,36.4
C032,2016,11,50.0
C032,2016,12,45.7
C002,2016,1,79.2
C002,2016,2,91.1
C002,2016,3,72.0
C002,2016,4,56.9
C002,2016,5,68.0
C002,2016,6,62.6
C002,2016,7,42.8
C002,2016,8,40.7
C002,2016,9,81.0
C002,2016,10,34.2
C002,2016,11,70.9
C002,2016,12,38.2
C069,2016,1,87.5
C069,2016,2,106.2
C069,2016,3,105.5
C069,2016,4,85.3
C069,2016,5,78.5
C069,2016,6,79.9
C069,2016,7,60.8
C069,2016,8,64.1
C069,2016,9,91.8
C069,2016,10,45.4
C069,2016,11,91.4
C069,2016,12,61.9
C065,2016,1,135.7
C065,2016,2,133.6
C065,2016,3,110.9
C065,2016,4,119.5
C065,2016,5,91.4
C065,2016,6,88.2
C065,2016,7,55.4
C065,2016,8,81.0
C065,2016,9,125.6
C065,2016,10,83.2
C065,2016,11,109.8
C065,2016,12,94.3
C003,2016,1,68.4
C003,2016,2,77.4
C003,2016,3,70.6
C003,2016,5,81.7
C003,2016,6,52.2
C003,2016,7,49.7
C003,2016,8,47.2
C003,2016,9,73.8
C003,2016,10,51.8
C003,2016,11,61.2
C003,2016,12,63.0
C039,2016,1,88.9
C039,2016,2,93.2
C039,2016,3,94.7
C039,2016,4,73.8
C039,2016,5,83.9
C039,2016,6,56.9
C039,2016,7,48.2
C039,2016,8,52.9
C039,2016,9,77.4
C039,2016,10,52.9
C039,2016,11,89.6
C039,2016,12,61.9
C075,2016,1,73.1
C075,2016,2,77.0
C075,2016,3,74.2
C075,2016,4,59.0
C075,2016,5,62.6
C075,2016,6,61.2
C075,2016,11,69.8
C038,2016,1,85.3
C038,2016,2,92.5
C038,2016,3,91.8
C038,2016,4,73.4
C038,2016,5,65.5
C038,2016,6,59.0
C038,2016,7,51.1
C038,2016,8,51.5
C038,2016,9,76.3
C038,2016,10,48.2
C038,2016,11,84.2
C038,2016,12,57.2
C033,2016,1,76.3
C033,2016,2,94.0
C033,2016,3,70.2
C033,2016,4,70.9
C033,2016,5,84.6
C033,2016,7,56.9
C033,2016,8,50.4
C033,2016,10,63.0
C033,2016,11,74.9
C033,2016,12,68.0
C036,2016,1,78.5
C036,2016,2,98.3
C036,2016,3,78.5
C036,2016,4,92.5
C036,2016,5,67.7
C036,2016,6,66.2
C036,2016,7,48.6
C036,2016,8,59.8
C036,2016,9,94.3
C036,2016,10,62.6
C036,2016,11,71.6
C036,2016,12,63.4
C045,2016,1,121.7
C045,2016,2,120.6
C045,2016,3,115.2
C045,2016,4,100.4
C045,2016,5,87.8
C045,2016,6,91.4
C045,2016,7,52.9
C045,2016,8,71.6
C045,2016,9,102.6
C045,2016,10,74.5
C045,2016,11,113.0
C045,2016,12,82.1
C019,2016,1,123.8
C019,2016,2,143.3
C019,2016,3,117.0
C019,2016,4,115.2
C019,2016,5,101.2
C019,2016,6,92.9
C019,2016,7,84.6
C019,2016,8,77.0
C019,2016,9,135.7
C019,2016,10,96.1
C019,2016,11,120.2
C019,2016,12,100.1
C057,2016,1,74.5
C057,2016,2,90.4
C057,2016,3,91.4
C057,2016,4,67.0
C057,2016,5,72.7
C057,2016,6,63.7
C057,2016,7,45.4
C057,2016,8,46.4
C057,2016,9,88.9
C057,2016,10,66.6
C057,2016,11,78.1
C057,2016,12,59.4
C046,2016,1,113.8
C046,2016,2,133.2
C046,2016,3,112.3
C046,2016,4,96.5
C046,2016,5,118.4
C046,2016,6,86.0
C046,2016,7,82.4
C046,2016,8,71.6
C046,2016,9,130.0
C046,2016,10,98.6
C046,2016,11,107.3
C046,2016,12,103.7
C059,2016,1,101.5
C059,2016,2,104.8
C059,2016,3,86.0
C059,2016,4,75.6
C059,2016,5,78.5
C059,2016,6,83.2
C059,2016,7,62.6
C059,2016,8,73.4
C059,2016,9,87.8
C059,2016,10,65.2
C059,2016,11,90.0
C059,2016,12,56.5
C072,2016,1,142.6
