code,year,month,precipitacion_acumulada
C0A0,2016,5,47.4
C0A0,2016,6,52.1
C0A0,2016,7,23.2
C0A0,2016,8,8.5
C0A0,2016,9,86.4
C0A0,2016,10,21.1
C0A0,2016,11,188.8
C0A0,2016,12,36.1
C049,2016,1,82.9
C049,2016,2,142.1
C049,2016,3,128.5
C049,2016,4,78.2
C049,2016,5,50.4
C049,2016,6,41.7
C049,2016,7,7.3
C049,2016,8,1.4
C049,2016,9,47.4
C049,2016,10,27.8
C049,2016,11,118.9
C049,2016,12,19.9
C020,2016,1,49.9
C020,2016,2,124.8
C020,2016,3,66
C020,2016,4,38.7
C020,2016,5,38.9
C020,2016,6,28.6
C020,2016,7,10.5
C020,2016,8,9.4
C020,2016,9,42.8
C020,2016,10,22.8
C020,2016,11,111.8
C020,2016,12,12.6
C070,2016,1,67.5
C070,2016,2,135.1
C070,2016,3,77.6
C070,2016,4,42.6
C070,2016,5,48.2
C070,2016,6,47.2
C070,2016,7,13.9
C070,2016,8,6.6
C070,2016,9,56.5
C070,2016,10,12.4
C070,2016,11,89.3
C070,2016,12,7.8
C050,2016,1,49.5
C050,2016,2,104.8
C050,2016,3,94.3
C050,2016,4,49.5
C050,2016,5,54.4
C050,2016,6,27.9
C050,2016,7,5.2
C050,2016,8,4.2
C050,2016,9,19.6
C050,2016,10,11.4
C050,2016,11,95.9
C050,2016,12,7.9
C0B1,2016,1,120.2
C0B1,2016,2,290.4
C0B1,2016,3,237.1
C0B1,2016,4,68.6
C0B1,2016,5,57.7
C0B1,2016,6,51.2
C0B1,2016,7,53.5
C0B1,2016,8,12.2
C0B1,2016,9,108.7
C0B1,2016,10,17
C0B1,2016,11,212.8
C0B1,2016,12,37
C079,2016,1,123.7
C079,2016,2,335
C079,2016,3,260.3
C079,2016,4,58.5
C079,2016,5,87.9
C079,2016,6,42.8
C079,2016,7,26.5
C079,2016,8,17.4
C079,2016,9,100.3
C079,2016,10,26
C079,2016,11,209.7
C079,2016,12,22.8
C0C1,2016,1,57.4
C0C1,2016,2,268.5
C0C1,2016,3,265.2
C0C1,2016,4,67.9
C0C1,2016,5,48.9
C0C1,2016,6,26
C0C1,2016,7,16.8
C0C1,2016,8,9.4
C0C1,2016,9,76.4
C0C1,2016,10,12.4
C0C1,2016,11,166.6
C0C1,2016,12,35.7
C061,2016,1,117
C061,2016,2,334.3
C061,2016,3,219.4
C061,2016,4,75.2
C061,2016,5,62.4
C061,2016,6,50.2
C061,2016,7,59.9
C061,2016,8,9.9
C061,2016,9,108.7
C061,2016,10,17.9
C061,2016,11,187.6
C061,2016,12,27.2
C032,2016,1,99
C032,2016,2,306
C032,2016,3,303.8
C032,2016,4,58.2
C032,2016,5,57.4
C032,2016,6,39.8
