code,year,month,temp_media
C021,2016,2,4.1
C021,2016,3,4.3
C021,2016,4,7.0
C021,2016,5,11.1
C021,2016,6,14.8
C021,2016,7,17.9
C021,2016,8,19.1
C021,2016,9,16.6
C021,2016,10,11.7
C021,2016,11,6.3
C021,2016,12,5.2
C030,2016,1,6.3
C030,2016,2,5.2
C030,2016,3,5.7
C030,2016,4,8.6
C030,2016,5,12.7
C030,2016,6,16.2
C030,2016,7,19.0
C030,2016,8,20.3
C030,2016,9,17.8
C030,2016,10,12.6
C030,2016,11,7.3
C030,2016,12,4.9
C051,2016,1,10.1
C051,2016,2,8.8
C051,2016,3,8.8
C051,2016,4,11.5
C051,2016,5,15.3
C051,2016,6,18.2
C051,2016,7,20.0
C051,2016,8,21.1
C051,2016,9,19.4
C051,2016,10,14.9
C051,2016,11,10.3
C051,2016,12,8.6
C0A0,2016,1,7.1
C0A0,2016,2,6.3
C0A0,2016,3,6.8
C0A0,2016,4,9.1
C0A0,2016,5,13.6
C0A0,2016,6,16.7
C0A0,2016,7,18.6
C0A0,2016,8,19.1
C0A0,2016,9,17.3
C0A0,2016,10,12.5
C0A0,2016,11,8.2
C0A0,2016,12,6.1
C049,2016,1,6.2
C049,2016,2,5.3
C049,2016,3,6.2
C049,2016,4,8.4
C049,2016,5,12.9
C049,2016,6,16.6
C049,2016,7,19.1
C049,2016,8,19.8
C049,2016,9,17.5
C049,2016,10,12.1
C049,2016,11,7.1
C049,2016,12,4.8
C020,2016,1,6.1
C020,2016,2,5.0
C020,2016,3,5.5
C020,2016,4,7.9
C020,2016,5,12.3
C020,2016,6,16.2
C020,2016,7,19.1
C020,2016,8,19.7
C020,2016,9,17.2
C020,2016,10,11.7
C020,2016,11,6.5
C020,2016,12,3.9
C070,2016,1,6.3
C070,2016,2,5.6
C070,2016,3,5.3
C070,2016,4,6.1
C070,2016,5,10.3
C070,2016,6,13.6
C070,2016,7,15.7
C070,2016,8,17.6
C070,2016,9,15.9
C070,2016,10,11.3
C070,2016,11,5.9
C070,2016,12,5.2
C050,2016,1,7.9
C050,2016,2,6.9
C050,2016,3,7.5
C050,2016,4,9.9
C050,2016,5,14.2
C050,2016,6,18.1
C050,2016,7,21.0
C050,2016,8,21.5
C050,2016,9,19.2
C050,2016,10,13.4
C050,2016,11,8.4
C050,2016,12,5.8
C0B1,2016,1,10.0
C0B1,2016,2,8.6
C0B1,2016,3,8.7
C0B1,2016,4,11.3
C0B1,2016,5,14.6
C0B1,2016,6,17.2
C0B1,2016,7,19.2
C0B1,2016,8,21.0
C0B1,2016,9,18.7
C0B1,2016,10,14.6
C0B1,2016,11,10.6
C0B1,2016,12,9.7
C079,2016,1,9.1
C079,2016,2,8.2
C079,2016,3,8.3
C079,2016,4,11.1
C079,2016,5,14.8
C079,2016,6,17.3
C079,2016,7,19.3
C079,2016,8,20.2
C079,2016,9,18.4
C079,2016,10,13.9
C079,2016,11,9.6
C079,2016,12,8.3
C0C1,2016,1,11.2
C0C1,2016,2,10.4
C0C1,2016,3,10.4
C0C1,2016,4,13.0
C0C1,2016,5,16.8
C0C1,2016,6,19.4
C0C1,2016,7,21.3
C0C1,2016,8,22.2
C0C1,2016,9,20.4
C0C1,2016,10,16.2
C0C1,2016,11,11.4
C0C1,2016,12,10.0
C061,2016,1,10.6
C061,2016,2,8.8
C061,2016,3,8.6
C061,2016,4,10.8
C061,2016,5,14.3
C061,2016,6,16.4
C061,2016,7,18.4
C061,2016,8,19.5
C061,2016,9,18.0
C061,2016,10,14.5
C061,2016,11,10.6
C061,2016,12,10.3
C032,2016,1,9.4
