code,year,month,viento_media_velocidades_maximas
C032,2016,9,30.4
C032,2016,10,25.5
C032,2016,11,25.2
C032,2016,12,22.3
C002,2016,1,36.6
C002,2016,2,42.9
C002,2016,3,38.0
C002,2016,4,35.1
C002,2016,5,35.1
C002,2016,6,32.7
C002,2016,7,26.4
C002,2016,8,29.2
C002,2016,9,31.6
C002,2016,10,24.1
C002,2016,11,30.8
C002,2016,12,19.1
C069,2016,1,48.8
C069,2016,2,52.9
C069,2016,3,42.4
C069,2016,4,34.4
C069,2016,5,33.5
C069,2016,6,28.3
C069,2016,7,23.8
C069,2016,8,25.7
C069,2016,9,31.3
C069,2016,10,23.6
C069,2016,11,39.3
C069,2016,12,28.8
C065,2016,1,75.8
C065,2016,2,67.6
C065,2016,3,58.5
C065,2016,4,57.6
C065,2016,5,49.9
C065,2016,6,36.3
C065,2016,7,31.1
C065,2016,8,34.5
C065,2016,9,41.6
C065,2016,10,35.8
C065,2016,11,51.4
C065,2016,12,37.3
C003,2016,1,39.9
C003,2016,2,40.5
C003,2016,3,37.7
C003,2016,4,36.2
C003,2016,5,37.5
C003,2016,6,29.6
C003,2016,7,26.8
C003,2016,8,29.8
C003,2016,9,31.0
C003,2016,10,26.4
C003,2016,11,31.6
C003,2016,12,26.1
C039,2016,1,56.3
C039,2016,2,50.1
C039,2016,3,45.1
C039,2016,4,44.5
C039,2016,5,41.1
C039,2016,6,35.3
C039,2016,7,31.5
C039,2016,8,35.0
C039,2016,9,35.5
C039,2016,10,30.4
C039,2016,11,41.4
C039,2016,12,35.0
C075,2016,1,38.5
C075,2016,2,41.6
C075,2016,3,38.8
C075,2016,4,37.1
C075,2016,5,34.9
C075,2016,6,30.0
C075,2016,7,25.4
C075,2016,8,27.9
C038,2016,1,49.3
C038,2016,2,44.7
C038,2016,3,39.8
C038,2016,4,39.7
C038,2016,5,36.6
C038,2016,6,31.9
C038,2016,7,28.8
C038,2016,8,32.8
C038,2016,9,32.2
C038,2016,10,27.6
C038,2016,11,37.2
C038,2016,12,28.1
C033,2016,1,41.2
C033,2016,2,39.6
C033,2016,4,42.2
C033,2016,5,39.1
C033,2016,12,27.1
C036,2016,1,42.6
C036,2016,2,46.5
C036,2016,3,43.5
C036,2016,4,44.8
C036,2016,5,39.9
C036,2016,6,35.0
C036,2016,7,30.1
C036,2016,8,35.1
C036,2016,9,36.0
C036,2016,10,28.9
C036,2016,11,33.5
C036,2016,12,24.7
C045,2016,1,77.2
C045,2016,4,54.7
C045,2016,5,51.0
C045,2016,6,42.1
C045,2016,7,36.4
C045,2016,8,40.4
C045,2016,9,44.8
C045,2016,10,40.9
C045,2016,11,57.5
C045,2016,12,47.4
C019,2016,1,85.9
C019,2016,2,81.7
C019,2016,3,66.6
C019,2016,4,60.8
C019,2016,5,56.5
C019,2016,6,45.2
C019,2016,7,39.0
C019,2016,8,41.8
C019,2016,9,52.1
C019,2016,10,46.7
C019,2016,11,67.0
C019,2016,12,56.3
C057,2016,1,45.0
C057,2016,2,47.7
C057,2016,3,44.0
C057,2016,4,40.2
C057,2016,5,40.7
C057,2016,6,33.0
C057,2016,7,28.2
C057,2016,8,31.5
C057,2016,9,34.1
C057,2016,10,26.9
C057,2016,11,33.6
C057,2016,12,25.8
C046,2016,1,72.7
C046,2016,2,73.5
C046,2016,3,64.5
C046,2016,4,59.8
C046,2016,5,57.6
C046,2016,6,44.3
C046,2016,7,42.8
C046,2016,8,43.4
C046,2016,9,51.5
C046,2016,10,44.5
C046,2016,11,62.8
C046,2016,12,55.9
C059,2016,1,58.5
C059,2016,2,55.3
C059,2016,3,49.7
C059,2016,4,47.5
C059,2016,5,45.5
C059,2016,6,40.0
C059,2016,7,32.9
C059,2016,8,37.1
C059,2016,9,42.0
C059,2016,10,29.6
C059,2016,11,39.7
C059,2016,12,27.7
C072,2016,1,81.4
C072,2016,2,68.1
C072,2016,3,63.0
C072,2016,4,63.7
C072,2016,5,52.2
C072,2016,6,41.9
C072,2016,7,43.1
C072,2016,8,44.8
C072,2016,9,50.2
C072,2016,10,46.9
C072,2016,11,63.0
C072,2016,12,57.4
C0B4,2016,1,34.5
C0B4,2016,2,30.8
C0B4,2016,3,30.3
C0B4,2016,4,32.8
C0B4,2016,5,30.9
C0B4,2016,6,28.5
C0B4,2016,7,27.3
C0B4,2016,8,31.0
C0B4,2016,9,27.2
C0B4,2016,10,23.4
C0B4,2016,11,25.4
C0B4,2016,12,26.8
C054,2016,1,35.8
C054,2016,2,37.4
C054,2016,3,34.4
C054,2016,4,34.1
C054,2016,5,33.0
C054,2016,6,28.6
C054,2016,7,26.8
C054,2016,8,27.7
C054,2016,9,28.6
C054,2016,10,23.5
C054,2016,11,27.6
C054,2016,12,24.3
C042,2016,1,71.1
C042,2016,2,67.9
C042,2016,3,62.2
C042,2016,4,59.0
C042,2016,5,48.9
C042,2016,6,43.2
C042,2016,7,39.1
C042,2016,8,38.4
C042,2016,9,45.1
C042,2016,10,37.2
C042,2016,11,55.7
C042,2016,12,42.7
C0C3,2016,1,33.3
C0C3,2016,2,35.5
C0C3,2016,3,33.5
C0C3,2016,4,38.4
C0C3,2016,5,36.2
C0C3,2016,6,34.7
C0C3,2016,7,32.1
C0C3,2016,8,37.0
C0C3,2016,9,33.0
C0C3,2016,10,29.6
C0C3,2016,11,27.6
C0C3,2016,12,22.6
C066,2016,1,68.6
C066,2016,2,62.7
C066,2016,3,56.2
C066,2016,4,53.8
C066,2016,5,49.0
C066,2016,6,39.7
C066,2016,7,37.9
C066,2016,8,39.1
C066,2016,9,43.0
C066,2016,10,37.7
C066,2016,11,51.5
C066,2016,12,46.4
C022,2016,1,48.8
C022,2016,2,48.1
C022,2016,3,48.9
C022,2016,4,44.5
C022,2016,5,37.9
C022,2016,6,28.7
C022,2016,7,27.2
C022,2016,8,29.1
C022,2016,9,32.0
C022,2016,10,29.2
C022,2016,11,40.3
C022,2016,12,38.9
C037,2016,1,56.4
C037,2016,2,50.6
C037,2016,3,46.2
C037,2016,4,46.5
C037,2016,5,39.7
C037,2016,6,34.8
C037,2016,7,31.3
C037,2016,9,37.9
C037,2016,10,30.4
C037,2016,11,40.9
C037,2016,12,35.0
C023,2016,1,47.2
C023,2016,2,47.0
C023,2016,3,43.7
C023,2016,4,44.1
C023,2016,5,42.8
C023,2016,6,36.3
C023,2016,9,38.3
C023,2016,10,27.2
C023,2016,11,34.9
C026,2016,1,39.6
C026,2016,2,40.6
C026,2016,3,38.5
C026,2016,4,41.3
C026,2016,5,37.5
C026,2016,6,29.4
C026,2016,7,27.3
C026,2016,8,29.3
C026,2016,9,30.6
C026,2016,10,28.7
C026,2016,11,33.4
C026,2016,12,31.0
C058,2016,1,45.6
C058,2016,2,50.3
C058,2016,3,47.1
C058,2016,4,45.2
C058,2016,5,38.5
C058,2016,6,31.5
C058,2016,7,28.2
C058,2016,8,30.7
C058,2016,9,33.3
C058,2016,10,29.4
C058,2016,11,39.0
C058,2016,12,31.1
C018,2016,1,55.2
C018,2016,2,56.2
C018,2016,3,50.3
C018,2016,4,43.4
C018,2016,5,41.7
C018,2016,6,38.1
C018,2016,7,29.2
C018,2016,8,34.4
C018,2016,9,35.3
C018,2016,10,29.3
C018,2016,11,42.6
C018,2016,12,29.1
C071,2016,1,67.0
C071,2016,2,66.4
C071,2016,3,56.6
C071,2016,4,54.7
C071,2016,5,51.2
C071,2016,6,41.8
C071,2016,7,35.3
C071,2016,8,37.7
C071,2016,9,44.9
C071,2016,10,41.1
