COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN 10 MINUTOS (l/m2);;;;;;;;;;;
C076;Abetxuko;510;3.5;1.1;3.5;4.2;1.8;0.5;2.2;8.3;4.6;2.1;2.6;1.3;8.3
C056;Alegria;545;1.1;1.5;2.5;4.2;1.1;0.9;1.6;6.6;1.4;2.2;1.9;1.7;6.6
C035;Altube;618;2.1;1.6;2.5;5;2.4;1.2;8.3;5.5;7.4;2;3.8;1.3;8.3
C016;Arkauti;517;1.4;0.7;1.5;4.6;1.5;1.2;2.1;5.4;3;2.6;2.2;2;5.4
C034;Espejo;504;1.4;1.2;1.6;2.1;1.2;0.8;12.4;2.3;11.3;1.8;2;1.6;12.4
C0AA;Etura;549;1.9;1.1;1.7;4.1;1.5;0.8;1.4;12.1;2.7;3;1.9;0.9;12.1
C067;Gardea;141;2.6;2.4;1.2;7.6;1.4;1.2;4.3;6.7;4.2;1.8;4.7;1.8;7.6
C044;Gorbea;662;2;1.7;1.9;5.9;2.5;0.8;4.9;11;2.3;1.5;3.4;1.4;11.0
C048;Herrera;1188;1.6;1.2;0.8;1.9;2;2.7;0.9;4.8;5.5;0.9;3;2.9;5.5
C068;Ilarduia;596;1.4;0.9;1.7;3.6;2.3;2.3;1;3.8;4.6;2.6;2.3;1.9;4.6
C024;Iturrieta;987;1.5;1.1;2.8;3.7;2.5;2.3;2.2;3.8;7.6;3.4;1.9;1.5;7.6
C0A0;Kanpezu;550;1.1;1.2;2;1.8;1.2;1.6;1.4;6.6;5.7;4.5;1.9;1.9;6.6
C047;Kapildui;1173;2.6;1.2;1.5;3;2.2;1.1;1.2;5.4;3.2;1.3;2.2;2.9;5.4
C031;Moreda;490;1;0.8;1.4;1.5;1.9;1;1;4.9;5.9;1.3;2.6;2.4;5.9
C041;Navarrete;689;1.4;1.3;2.5;10.5;2.4;1.5;4.1;3;2.9;1.7;3.3;2.9;10.5
C055;Ozaeta;548;1.9;1.1;1.4;7.7;2;0.6;2;13.9;2.5;1.6;4.1;0.8;13.9
C060;Páganos;577;1.3;1.3;0.8;6.8;1.4;1.2;3.6;4.1;3.7;1.4;1.8;2.6;6.8
C030;Salvatierra;589;0.9;0.6;1.9;4.1;1.4;0.9;9.1;3.6;4.9;1.3;2.3;1.2;9.1
C051;Saratxo;230;1.8;1.6;1.8;8.2;1.7;1.6;2.5;6.4;2.1;1.7;5.4;2.7;8.2
C0A0;Sarria;655;1.7;1.4;1.6;4.9;2.4;1.3;4.8;12.9;9.5;4.4;3.2;1.2;12.9
C049;Subijana;537;1.3;1.2;2;4.9;1.7;0.8;6.8;9.9;6.4;1.9;1.9;1.3;9.9
C00B;Tobillas;700;1.6;1.3;3.1;6.1;1.1;0.8;3.7;4.1;5.2;1.8;2.2;1.8;6.1
C020;Trebiño;578;1.3;2.3;1;2.8;2.1;1.4;1.6;7.5;1.7;1.9;2.6;2.4;7.5
C070;Zaldiaran;980;2.1;0.9;0.6;1.9;1.4;0.9;2.9;2.1;1.9;2.5;2.1;1.3;2.9
C050;Zambrana;470;1.2;1.5;0.7;4.9;2.2;0.6;5.7;2.7;6;1.6;2.4;1.5;6.0
C0B1;Abusu (La Peña);23;3.9;3.1;2.2;5.7;3.3;1.1;6.1;5.2;3.5;2;4.9;4.3;6.1
C079;Amorebieta;65;3.1;2.1;1.2;3;3;2.6;7.7;7.2;5.3;3.7;6.1;3.5;7.7
C0C1;Aranguren;92;3.2;3.6;1.4;2.7;1.3;1.5;3.2;1;1.8;2;3.7;3;3.7
C061;Arboleda;329;4.5;1.8;2.5;3.4;1.7;1;3.7;1.3;7.6;4.8;4.6;3.5;7.6
C032;Areta;122;1.9;1.6;0.9;8.1;1.1;2.1;5.1;7.6;2.3;2.5;3.3;2.1;8.1
C002;Arteaga;19;3;1.6;2.2;4.7;2;1.3;9.5;2.9;5.2;6;6.6;2.5;9.5
C0C2;Balmaseda;178;1.9;1.9;1;5.8;1;1.6;1;0.9;2.7;1.5;3.2;1.7;5.8
C069;Bermeo;106;4;2.3;1.9;5;2.7;1.8;4.4;7.3;6.6;4;6.4;3.7;7.3
