COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN 10 MINUTOS (l/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C076;Abetxuko;510;1.1;1.2;2.6;4.1;5.2;3.7;12;1.7;1.6;2.9;1.7;0.9;12.0
C056;Alegria;545;1.2;1;3;3.7;2.8;3.7;5.6;0.2;0.6;2.2;1.2;1.5;5.6
C035;Altube;618;2.4;2;1.6;6.2;3.6;2.5;19;0.6;1.9;4.8;1.1;1;19.0
C016;Arkauti;517;1.1;1.1;1.6;3.6;5.5;6.1;10.7;0.7;4.8;2;1.2;0.8;10.7
C034;Espejo;504;1.4;1;1.8;1.6;11;2.6;16.9;0.1;0.7;4.9;0.9;0.8;16.9
C0AA;Etura;549;1.1;0.9;1.4;3.3;5.6;6.4;10.5;0.1;3.6;1.9;1.5;0.8;10.5
C067;Gardea;141;1.7;1.6;1.8;7.5;5.9;11;19.3;0.5;5.8;6.4;1.1;0.9;19.3
C044;Gorbea;662;2.4;1.2;2;2.1;4.4;4.1;7.8;0.3;0.8;3.3;1.8;1;7.8
C048;Herrera;1188;0.9;2.4;2.5;5.5;7.5;5.8;12.3;0.4;4.5;1.4;1.4;0.7;12.3
C068;Ilarduia;596;1.5;1;2.2;4.2;7.8;4.8;8.4;1.1;2;1.8;2.5;0.9;8.4
C024;Iturrieta;987;1.7;1.1;4.2;4.8;7.3;3.6;7.9;2.5;1.2;1.9;4;0.9;7.9
C0A0;Kanpezu;550;1.2;1.4;2.1;3.2;4.6;3.2;10.2;0.2;2.2;2.4;2.9;1.2;10.2
C047;Kapildui;1173;1.6;0.9;2.9;2;9.9;3.4;7.3;0.5;11.1;1.7;2.2;0.7;11.1
C031;Moreda;490;1.3;1.2;1.1;3;5.1;1.5;11.1;0.2;6;0.8;0.7;0.9;11.1
C041;Navarrete;689;1.1;0.8;2.7;2.4;10;8;4.1;0.4;2.5;1.9;2.6;1.2;10.0
C055;Ozaeta;548;1;0.9;2;2.5;5.7;4.8;8.6;0.1;2.1;1.4;1.6;1.2;8.6
C060;Páganos;577;1.2;0.4;2.9;3.2;8.5;4.4;4.8;0.2;7;2;0.8;0.9;8.5
C030;Salvatierra;589;0.9;1.1;1.6;2;7.5;9.8;13.7;0.2;2.8;2.4;1.4;3.3;13.7
C051;Saratxo;230;1.5;1.5;2.8;9.2;4;13.2;5.5;0.7;0.5;4.1;1.2;1.9;13.2
C0A0;Sarria;655;1.5;1.2;2.1;5;4.5;4.3;9.8;0.4;3;5.3;1.4;1;9.8
C049;Subijana;537;1.1;1;1.2;1.9;2.7;1.1;6.9;0.4;3.1;3.4;0.8;1.4;6.9
C00B;Tobillas;700;1.4;1.1;1.5;4.5;5.2;10.1;13.2;0.2;1.9;3.2;1.5;0.7;13.2
C020;Trebiño;578;1.5;0.6;1.8;2.3;8;4.9;7;0.3;7.4;2.4;1;0.9;8.0
C070;Zaldiaran;980;0.9;0.7;1.5;1.7;4.4;5.1;9.6;0.9;8.9;4.5;3.1;0.6;9.6
C050;Zambrana;470;0.9;1.1;1.2;1.3;9.6;12.4;7.7;0.1;5.5;12.4;1.5;1.5;12.4
C0B1;Abusu (La Peña);23;3.8;4.4;1.8;4.2;3.6;7.2;7.7;4.6;1.3;4.2;1.6;2.2;7.7
C079;Amorebieta;65;2.8;1.9;1.9;3.5;1.8;2.3;11.2;9.1;1;7.3;1.4;1.9;11.2
C0C1;Aranguren;92;1.9;1.4;2.1;2.7;8.6;6.3;6.3;1.3;0.7;3.2;1.1;0.7;8.6
C061;Arboleda;329;1.5;2;1.6;9.3;12.3;1;1.2;2;4.6;3.6;3.1;1.7;12.3
C032;Areta;122;1.5;1.7;1.8;11.1;3.8;15.4;20.6;2.9;0.7;6.5;1.1;0.8;20.6
C002;Arteaga;19;3.3;1.9;2;2.1;3.6;4.1;5.2;10.1;0.9;3.4;1.6;1.2;10.1
C0C2;Balmaseda;178;2.6;1.8;1.7;4.8;5.8;4.1;7.9;0.5;3.8;2.5;1.4;1.1;7.9
C069;Bermeo;106;5.1;3.3;4.9;1.5;2.7;5.4;12.1;9.5;2.5;4;2.2;2.6;12.1
C0B6;Berna;95;3.2;1.8;1.5;5.9;4.7;5.6;11.9;2.2;3.7;6.5;1.3;3.5;11.9
C0BE;Berriatua;25;2.6;3.5;1.8;3.8;1.9;2.6;2.3;8.8;3.8;1.8;1.3;2.3;8.8
C065;Cerroja;677;2.4;2.2;1.9;10.1;4.6;2.6;2.4;0.9;3.1;2.3;1.4;2.4;10.1
C003;Derio;30;4;2.5;2.6;5.6;4.1;3.5;10.9;2.6;0.5;8.6;1.6;1.2;10.9
C039;Deusto;3;2.3;8.6;3;5.9;3.5;4;1.7;1.6;0.8;3.9;1.9;1.3;8.6
C075;Eitzaga;270;2.1;1.2;1.9;2.9;4;13.2;4.9;3.7;1.7;2.2;2.1;2;13.2
C074;Elorrio;167;1.6;2.5;1.7;1.4;3.7;4.2;8.1;5.1;1.7;3.5;3.1;1.4;8.1
C009;Galdakao;30;4.5;4.7;3.6;5;2.6;5.6;2.9;2.7;0.5;4;2.3;2;5.6
C038;Galindo;5;2.8;4;1.7;3.6;6.7;3.1;1.3;1.9;0.6;3.6;1.9;1.3;6.7
C033;Igorre;150;3.5;1.8;1.9;2.7;1.1;3.4;14.9;5.6;2.7;10.5;0.9;1.9;14.9
C0BD;Iruzubieta;110;2.3;1.6;2.3;2.6;2.9;2.4;10;3.9;2.6;5;2.7;1.8;10.0
C036;Iurreta;180;2.8;2.5;1.7;2.1;4.6;4.7;12.6;1.5;0.9;5.1;1.6;1.8;12.6
C045;La Garbea;717;1.8;1.7;1.9;2.7;4.3;3.3;2.4;1.1;1.8;2.1;1.2;0.9;4.3
C0B7;Mañaria;168;2.3;1.9;2.1;1.5;3.6;4.2;10.9;0.8;2.4;9;1.5;1.6;10.9
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN 10 MINUTOS (l/m2);;;;;;;;;;;
C019;Matxitxako;433;2.8;2.4;2.9;1.4;3;8.4;8;6.1;2.2;4.7;2.6;3.9;8.4
C057;Mungia;22;3.3;3;2.3;4.2;3.7;4;12.4;3.3;1.3;5.2;3.5;1.1;12.4
C063;Muxika;16;8.5;2.1;2.9;2;1.1;2.2;5.2;8.8;5;4.4;2.2;1.6;8.8
C046;Oiz;980;2.4;1.6;2.3;4;6.4;1.7;13.2;2;1.3;2.7;2.2;0.9;13.2
C0BA;Oleta;14;3.4;3;1.6;2.2;1.5;3.2;20.1;8.4;6.4;4;2.7;2.9;20.1
C059;Ordunte;300;2.1;1.6;1.8;3.7;4.6;4.3;5.1;0.6;2.1;2;1.3;1.2;5.1
C072;Orduña;934;1.4;1.2;1.5;4.9;6.3;3.1;11.4;0.7;1.2;2.6;2;1.2;11.4
C0B4;Orozko;200;1.1;1.8;1.9;8.4;2.2;8.7;5.8;2.6;1.1;6.1;1.7;0.9;8.7
C054;Otxandio;556;2.1;1.1;2.3;2.7;4.9;13.7;5.8;0.4;14.4;5.9;1.5;0.8;14.4
C042;Punta Galea;61;1.9;1.8;1.6;6.5;7.8;3;2.5;3.1;7.6;3.3;2.3;1.8;7.8
C0B9;Sangroniz;10;2.2;1.7;2.7;6.2;4.1;3.2;5.3;2.3;1.1;4.2;2.9;1.3;6.2
C0C3;Sodupe;55;2;1.5;2;4.7;6;2.9;2;1.8;0.5;4.4;1.4;0.8;6.0
C022;Urkiola;709;2.2;1.1;1.5;1.9;3.6;6.7;7.4;0.8;1.9;5.3;1.6;1.1;7.4
C0B3;Urkizu;75;2.5;2.5;1.8;2.9;1.2;4;12.5;4.2;1.8;6.9;2;2.3;12.5
C037;Venta Alta;162;2.1;2.7;2.4;6.6;2.1;7.2;6.1;1.3;1.4;3.6;1.7;1.4;7.2
C0E5;Agauntza;180;2.3;1.4;1.6;3.5;3.3;6.6;14.4;0.9;5;2.9;2.5;1.6;14.4
C0DB;Aitzu;312;1.9;1.6;2.4;2.8;1.5;3.9;6.2;0.8;6.5;3.4;1.6;1.6;6.5
C0D3;Aixola;320;1.9;1.6;1.9;2.4;3.3;11.1;6.5;2.8;1.2;3.9;2.5;1.3;11.1
C0DD;Aizarnazabal;25;2;3.7;2.2;3.6;2.4;5.9;8.3;4.9;1.4;4.3;2.3;2.5;8.3
C0E9;Alegia;90;3.3;1.5;1.3;1.6;7.1;5.4;7.9;0.9;2.4;4.2;2.8;1;7.9
C078;Altzola;17;1.5;3.4;1.9;2.8;2.2;5.9;7.6;8.7;2.5;2.2;1.6;1.5;8.7
C052;Ameraun;285;3.6;2.6;2.5;2.8;8;6.3;4.7;2.2;2.4;8.9;2.3;5.1;8.9
C0E1;Amundarain;111;2.1;1.1;1.9;2.9;4.7;5;9.2;2.3;1.9;3.1;5.7;1.6;9.2
C077;Andoain;52;1.4;4.1;3;3.6;8.9;2.6;2.3;0.8;3.7;6.9;2.6;2.1;8.9
C080;Añarbe;184;2.4;3.5;3;4.7;6.3;2.2;5.6;2.3;2.5;6.8;2.3;3;6.8
C0E8;Araxes;141;2.7;1.6;1.7;2.2;6.5;6.7;9.2;1.2;2.7;4.3;2.5;1.5;9.2
C023;Arrasate;318;2.2;2.8;1.6;2.2;3.8;8.9;7.7;1.2;5.3;3.5;1.7;2.3;8.9
C084;Behobia;5;2.5;3.4;2.8;2.9;4;5.2;6.2;3.8;4.4;5.8;2.3;1.5;6.2
C0EA;Belauntza;105;2.4;1.8;2.1;2.8;3.5;3.1;7.4;2.5;2.5;6;2.7;3.7;7.4
C026;Berastegi;379;4;2.2;2;3.7;7.7;10;6;1.6;2.9;4.1;1.6;4;10.0
C058;Bidania;592;2.1;1.8;2.8;2.8;4.2;3.6;8.8;1.8;2.4;5.2;2.1;1.6;8.8
