COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN 10 MINUTOS (l/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C076;Abetxuko;510;1.4;1.7;1.5;1.3;2.7;2.2;1.3;1.7;3.2;1.1;1.1;0.4;3.2
C056;Alegria;545;1.1;1.4;2.4;2.6;2.3;5.9;0.7;7.4;1.6;1.9;1.7;0.2;7.4
C035;Altube;618;1.5;2.2;1.6;6.2;3.1;3.7;2;1.1;6;1.3;1.4;1.3;6.2
C001;Arkaute;517;1.3;1.3;1.4;1.4;2;4.1;0.6;5.1;3.1;2.8;1.1;0.5;5.1
C034;Espejo;504;1.4;1.3;2.3;1.7;7.6;3.9;1.4;1.8;2.1;0.7;0.9;0.3;7.6
C0AA;Etura;549;1.1;2.2;2.1;1.5;1.6;3.1;0.5;2.5;3;1.6;1.5;0.3;3.1
C067;Gardea;141;2.1;2.9;2.5;2;6.5;7;2.3;1.1;4.3;3.3;2.3;0.8;7.0
C044;Gorbea;662;1.5;3.5;1.9;2;2.9;4;6.9;2;3;1.2;1.9;1;6.9
C048;Herrera;1188;0.7;2.8;3.7;2.6;2.3;1.1;2.8;0.5;3.1;2.8;1.2;0.4;3.7
C068;Ilarduia;596;1.2;3.8;2.3;2.8;1.3;4.1;0.8;0.6;10.9;4.8;1.8;0.5;10.9
C024;Iturrieta;987;1;3;2;3.1;3;1.4;1.1;0.4;3.1;1.5;1.3;0.3;3.1
C00A;Kanpezu;550;1.7;2.8;2.8;3;3.2;1.5;7.6;0.3;1.7;1.3;2.1;0.7;7.6
C047;Kapildui;1173;1.8;3.3;2.1;4.1;1.5;2.1;1.2;2.9;1.1;4.7;1.6;0.4;4.7
C031;Moreda;490;0.9;1;4.2;0.8;0.8;1.5;2.1;0.3;0.6;1.2;1.5;0.5;4.2
C041;Navarrete;689;1;3.5;3.2;3;2.8;1.5;3.3;0.6;1.3;1.6;1.1;0.3;3.5
C055;Ozaeta;548;1.1;2.7;1.6;2.8;2.4;2.1;0.4;3;6.4;2;2;0.5;6.4
C060;Páganos;577;0.7;1.8;2;1.9;1.8;2;2.3;1.3;0.9;0.5;1.2;0.3;2.3
C030;Salvatierra;589;1;1.8;4.4;3.4;2.3;6.9;0.4;0.8;3.8;3.2;2.5;0.3;6.9
C051;Saratxo;230;2.6;4.9;1.9;2.8;5.8;1.6;4.9;1.8;3.4;4.3;1.3;1.1;5.8
C0A0;Sarria;655;1.6;3.9;1.5;6.1;5.4;3.3;3;2.2;6;0.8;1.8;1;6.1
C049;Subijana;537;1.1;1.5;1.5;2.1;2.2;5.5;0.8;0.3;3.2;5.8;1.4;0.7;5.8
C020;Trebiño;578;1.1;2;1.8;2.1;3.1;2.5;1.8;1.9;3;1.5;2.1;0.4;3.1
C070;Zaldiaran;980;1.3;2.5;2;1.2;3.1;3.5;1.4;1.4;2.9;0.8;2.6;0.2;3.5
C050;Zambrana;470;1;1.7;2.3;3.2;4.2;5.8;0.6;1.1;1.3;2;2.4;0.3;5.8
C0B1;Abusu (La Peña);23;3.1;2.4;2.2;2.7;6.8;1.7;2.7;2;3.6;2.8;3.7;1.5;6.8
C079;Amorebieta;65;2;2.8;2.8;3;4.3;3.4;1.5;4.7;14.6;1.9;2;0.9;14.6
C0C1;Aranguren;92;1.4;3.6;3.7;2.1;4.7;2.2;1.3;0.7;6.4;1.9;1.5;1.5;6.4
C061;Arboleda;329;2.3;3.2;4.2;3;3;3.6;1.6;0.5;4.5;2.7;3.1;1.6;4.5
C032;Areta;122;2.1;3;2.7;2;3.5;5.5;1.1;0.5;6.3;0.8;1.4;1.1;6.3
C002;Arteaga;19;1.6;2.5;2.3;3.2;7.7;4.1;2;1;14.2;4.2;3.5;0.5;14.2
C0C2;Balmaseda;178;1.4;2.8;4;2.4;5.7;9.2;3.1;1.6;2;2.4;1.6;5;9.2
C069;Bermeo;106;2.7;5.2;3.1;1.8;3.2;4.2;2.8;0.7;10.7;2.6;2.7;4.2;10.7
C0B6;Berna;95;2.2;3.4;2.3;1.6;2.6;2.4;2.7;1.9;8.6;3.5;1.4;0.5;8.6
C0BE;Berriatua;25;1.6;3.7;2.6;1.9;3.6;2.1;2.4;1.2;6.9;3.7;2;1.5;6.9
C065;Cerroja;677;1.7;2.9;2.7;2.9;1.7;3.9;2.9;0.5;4.9;6.3;1.6;1.1;6.3
C003;Derio;30;1.5;2.7;2.3;3.4;4.5;1.4;3.3;1.2;7.9;1.6;2.8;1.3;7.9
C039;Deusto;3;1.4;2.2;2.8;2.4;3.5;2.8;2.6;0.5;5.4;2.1;2.2;1.2;5.4
C075;Eitzaga;270;1.5;2.6;2;1.9;3.7;3;1.7;3.8;4.9;1.7;1.3;0.6;4.9
C074;Elorrio;167;1.9;3.3;3;2.6;6.1;2.6;2;1.8;3.4;3.6;1.8;0.6;6.1
C038;Galindo;5;2.1;2.1;2.7;3.4;5;3.1;2.8;0.8;6;4.3;3.1;1.1;6.0
C033;Igorre;150;1.6;3.4;3.5;1.4;3.9;3.1;3.1;1.6;3.9;2;2.3;0.9;3.9
C0BD;Iruzubieta;110;1.6;3.2;2;1.7;4.8;1.8;1.9;1.4;3.8;3.2;1.9;0.9;4.8
C036;Iurreta;180;1.7;2.6;1.9;2.5;2.2;4.6;2.3;1.9;5.6;1.7;1.5;0.9;5.6
C045;La Garbea;717;1.3;1.4;2.6;2;3.5;2;0.8;1.7;3.1;2.8;1.6;1;3.5
C0B7;Mañaria;168;2.1;5.2;2.7;1.8;2.5;3.8;2.4;1.1;4.4;2.1;1.9;0.6;5.2
C019;Matxitxako;433;2.6;5.3;3.5;1.3;4.7;3;6.5;1.5;6.5;4.3;6.2;1;6.5
C057;Mungia;22;2.1;2.7;2.8;1.7;5.8;2.8;2.2;0.7;6.4;4.5;3.4;0.9;6.4
C063;Muxika;16;2.3;2.5;2.5;1.9;9.2;5.2;4;1;13.7;8;1.7;0.8;13.7
C046;Oiz;980;1;1.7;2.4;1.7;4.6;2;1.4;1.2;4;2.6;0.9;0.5;4.6
C0BA;Oleta;14;1.7;4.7;2.2;2.8;5;3.4;6.1;2;14.3;1.9;5.2;0.8;14.3
C059;Ordunte;300;1.6;3.2;2.8;1.6;3.5;5.6;1.6;1.4;2;3.2;1.6;0.9;5.6
C072;Orduña;934;1.9;2.5;2.5;3.7;7.3;2.6;3.4;1;6;2.1;0.9;0.7;7.3
C0B4;Orozko;200;2.3;2.6;3.3;1.7;5.2;2.4;2.2;0.4;4;2.5;1.8;0.8;5.2
C054;Otxandio;556;1.3;2.8;2.2;1.8;1.9;2.3;4.2;2.7;2.4;4.8;1.4;0.5;4.8
C042;Punta Galea;61;2.2;3.4;2.5;1.1;3.7;2.5;3;1;7.1;2.2;3;1.4;7.1
C0B9;Sangroniz;10;1.5;2.1;2.6;2.7;4.7;2.1;4.8;1;5.6;1.7;2.4;1.7;5.6
C0C3;Sodupe;56;1.8;2.3;2.9;1.6;7;3.4;0.7;0.6;7.4;1.1;2.3;1.1;7.4
C022;Urkiola;709;2.3;5.6;2;1.6;2.9;3.6;2;1.1;2.8;1.7;1.3;0.5;5.6
C0B3;Urkizu;75;1.4;3.1;3.2;3.2;4.4;3.3;1.8;1.7;6.5;2;2.8;0.8;6.5
C037;Venta Alta;162;1.9;2.3;2.4;2;6.4;3.1;2.1;1.9;4.3;3.1;2.5;1.4;6.4
C0E5;Agauntza;180;1.3;3.5;3.2;2;2.1;6.5;1;1.9;1.7;2.2;5.1;0.7;6.5
C0DB;Aitzu;312;1.7;2.8;2.1;1.8;5.5;2.2;5.6;5.3;7.9;1.1;1.3;0.4;7.9
C0D3;Aixola;320;1.8;3;1.6;2.2;12.9;4.5;2;7;3.5;1.4;1.2;0.7;12.9
C0DD;Aizarnazabal;25;1.9;3;2.8;3.8;4.1;4.2;3.8;9.8;5.8;6.2;2.4;1.2;9.8
C0E9;Alegia;90;2.6;3.2;2.4;3.7;2;5.9;1;1.4;3.8;2.3;1.4;0.4;5.9
C078;Altzola;17;1.6;2.5;2.1;4.4;2.6;2.1;1.5;2.7;2.9;2.3;1.2;0.9;4.4
C052;Ameraun;285;2.9;2.8;3.4;4;9.4;8.6;2.1;2.4;4.4;2.9;5.3;1.4;9.4
C0E1;Amundarain;111;1.4;4.7;3.2;6.1;2.8;9.3;0.8;1.5;2.3;2.7;2.7;0.7;9.3
C077;Andoain;52;1.5;4.3;2.6;3.2;4;4.9;2.5;1.7;2.9;6;3.3;0.9;6.0
C080;Añarbe;184;3;4.3;3.6;4.1;6.2;4.7;1.8;1.1;8;3.8;2.3;0.5;8.0
C0E8;Araxes;141;2.6;4.2;3.6;2.3;2.8;3.6;2.2;1.7;4.6;3.5;2.1;0.5;4.6
C023;Arrasate;318;1.6;2.5;2.9;4;3.3;3.4;6.8;1;2.5;1.8;1.7;0.8;6.8
C084;Behobia;5;2.9;3.2;2.1;2.4;6.6;3.4;1.6;2.3;4.9;5;3.4;0.8;6.6
C0EA;Belauntza;105;2.1;4.3;3.3;3.4;2.9;6.8;2.2;2.8;2.5;4.1;2.9;1.3;6.8
C026;Berastegi;379;2.7;3.6;2.9;4.4;6;5.1;2.4;1.3;3.7;4;3;0.8;6.0
C058;Bidania;592;2;2.8;2.1;3;6.1;4.4;2.1;9.2;5.9;1.9;2;0.9;9.2
C0F0;Ereñozu;25;3.9;2.5;3.3;2.7;3.8;2.5;4.4;1.7;4.1;6.2;4.6;1.1;6.2
C0E7;Estanda;195;1.3;5.1;2.2;5.3;7.2;4.6;4.6;1.8;4;1.7;1.6;0.6;7.2
C0DC;Ibai Eder;90;3.1;3.9;3.6;3.7;6.7;4.4;3.4;7.5;5.4;5;2.1;0.8;7.5
C0EC;Lasarte;18;2.1;2.4;2.2;3.8;4.6;2.3;3.3;3.3;4.4;7;5.6;1.6;7.0
