COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;DÍAS DE PRECIPITACIÓN IGUAL O SUPERIOR A 1 mm;;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;14;17;20;13;11;9;7;1;2;10;12;3;119
C056;Alegria;545;14;13;20;13;13;9;7;0;3;9;12;4;117
C035;Altube;618;17;19;17;15;14;12;9;6;2;13;12;4;140
C016;Arkauti;517;13;16;20;13;13;9;8;2;4;9;11;3;121
C034;Espejo;504;10;14;15;12;9;10;8;0;1;8;15;3;105
C0AA;Etura;549;14;15;18;11;12;6;7;0;5;9;12;4;113
C067;Gardea;141;18;19;19;13;13;12;6;4;2;8;13;6;133
C044;Gorbea;662;17;20;20;14;15;11;7;1;5;11;15;4;140
C048;Herrera;1188;12;18;19;14;14;5;6;2;7;9;15;3;124
C068;Ilarduia;596;19;19;19;14;15;8;7;3;4;8;13;6;135
C024;Iturrieta;987;19;19;22;14;15;10;7;5;6;9;13;3;142
C0A0;Kanpezu;550;13;11;21;12;9;9;6;0;4;8;13;3;109
C047;Kapildui;1173;16;18;18;15;14;8;10;3;6;10;15;2;135
C031;Moreda;490;7;5;13;11;9;6;5;0;5;4;12;2;79
C041;Navarrete;689;14;16;22;15;14;8;6;0;5;8;12;4;124
C055;Ozaeta;548;18;19;20;14;11;6;8;0;4;10;12;4;126
C060;Páganos;577;10;7;14;11;11;6;7;0;5;7;14;3;95
C030;Salvatierra;589;16;19;18;13;13;6;7;0;5;8;12;4;121
C051;Saratxo;230;19;18;19;13;13;13;7;5;1;10;10;5;133
C0A0;Sarria;655;20;19;18;13;13;10;9;4;2;13;15;5;141
C049;Subijana;537;13;18;18;13;14;9;9;1;1;8;14;3;121
C00B;Tobillas;700;12;14;19;14;11;11;7;0;2;10;15;3;118
C020;Trebiño;578;13;14;17;13;6;7;6;0;4;8;10;2;100
C070;Zaldiaran;980;13;17;18;13;13;6;6;3;4;11;13;3;120
C050;Zambrana;470;10;7;12;11;10;7;7;0;3;8;11;3;89
C0B1;Abusu (La Peña);23;20;19;20;14;13;11;9;7;3;10;14;6;146
C079;Amorebieta;65;19;20;19;14;11;13;11;9;3;10;15;7;151
C0C1;Aranguren;92;19;18;19;11;10;7;5;4;3;10;11;6;123
C061;Arboleda;329;19;19;17;16;14;16;10;7;6;10;13;6;153
C032;Areta;122;19;19;20;13;12;10;7;5;2;9;12;6;134
C002;Arteaga;19;22;20;22;12;8;12;11;9;6;9;13;6;150
C0C2;Balmaseda;178;18;18;17;13;10;7;7;4;3;10;11;5;123
C069;Bermeo;106;23;18;20;10;10;13;7;10;6;9;14;7;147
C0B6;Berna;95;20;20;20;14;13;13;12;8;7;10;16;7;160
C0BE;Berriatua;25;19;20;20;13;13;12;11;10;9;9;13;5;154
C065;Cerroja;677;18;18;18;15;14;14;10;8;5;11;11;6;148
C003;Derio;30;20;20;19;14;9;9;10;10;4;8;14;6;143
C039;Deusto;3;18;19;17;12;10;10;8;7;2;9;12;5;129
C075;Eitzaga;270;20;20;19;13;16;10;12;9;6;11;14;9;159
C074;Elorrio;167;20;20;19;13;14;10;10;8;5;12;15;7;153
C009;Galdakao;30;21;20;20;14;12;9;9;10;2;9;14;6;146
C038;Galindo;5;19;19;18;12;11;14;6;7;4;9;14;6;139
C033;Igorre;150;16;20;19;13;13;15;11;10;5;10;12;8;152
C0BD;Iruzubieta;110;23;20;21;14;14;10;13;12;5;9;16;7;164
C036;Iurreta;180;19;20;20;12;14;10;11;6;4;10;15;7;148
C045;La Garbea;717;21;17;16;14;13;10;9;7;3;10;11;5;136
C0B7;Mañaria;168;19;20;19;13;14;10;10;7;6;10;16;7;151
C019;Matxitxako;433;21;19;21;15;11;16;10;9;6;9;14;7;158
C057;Mungia;22;20;20;16;13;11;9;9;9;5;7;14;7;140
