COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;DÍAS DE PRECIPITACIÓN IGUAL O SUPERIOR A 1 mm;;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;14;5;6;15;10;3;6;6;5;9;22;10;111
C056;Alegria;545;15;5;6;12;10;4;7;4;6;11;21;9;110
C035;Altube;618;17;5;9;12;13;8;9;7;9;11;24;12;136
C016;Arkauti;517;16;5;6;16;7;4;8;4;5;8;21;10;110
C034;Espejo;504;13;4;5;9;6;7;9;4;5;9;21;10;102
C0AA;Etura;549;16;5;5;15;8;3;5;3;6;12;23;9;110
C067;Gardea;141;15;5;8;12;11;6;7;6;8;11;26;11;126
C044;Gorbea;662;17;5;8;14;13;5;9;6;8;9;23;11;128
C048;Herrera;1188;15;5;8;12;8;5;7;6;8;7;23;9;113
C068;Ilarduia;596;15;5;8;11;10;6;6;5;8;10;24;13;121
C024;Iturrieta;987;15;5;6;13;12;6;6;6;10;12;24;12;127
C0A0;Kanpezu;550;11;4;4;11;8;4;4;4;7;8;21;10;96
C047;Kapildui;1173;17;5;6;14;15;6;5;6;9;11;22;13;129
C031;Moreda;490;8;3;2;9;4;4;4;3;4;4;20;6;71
C041;Navarrete;689;12;5;4;12;9;5;6;4;6;7;22;8;100
C055;Ozaeta;548;16;5;6;13;9;3;5;4;6;12;23;11;113
C060;Páganos;577;9;3;3;9;5;5;3;4;4;6;21;7;79
C030;Salvatierra;589;15;5;7;12;9;4;4;5;7;11;24;9;112
C051;Saratxo;230;14;5;8;9;11;8;8;7;6;8;23;11;118
C0A0;Sarria;655;18;5;8;12;14;7;8;5;9;11;25;12;134
C049;Subijana;537;15;5;4;8;8;4;10;4;7;9;22;12;108
C00B;Tobillas;700;13;4;4;11;7;5;5;4;7;9;23;11;103
C020;Trebiño;578;12;4;3;11;7;4;5;5;6;8;21;8;94
C070;Zaldiaran;980;11;4;4;14;10;3;7;5;5;9;20;7;99
C050;Zambrana;470;8;4;3;8;7;4;6;4;6;5;18;9;82
C0B1;Abusu (La Peña);23;17;5;10;13;14;6;6;8;10;13;24;11;137
C079;Amorebieta;65;18;6;10;13;12;7;10;7;9;14;24;13;143
C0C1;Aranguren;92;15;5;9;12;12;5;4;4;8;11;23;11;119
C061;Arboleda;329;17;6;11;14;13;7;7;7;10;10;23;10;135
C032;Areta;122;16;5;9;13;9;5;7;6;9;10;25;12;126
C002;Arteaga;19;17;5;7;12;12;4;11;6;9;14;24;13;134
C0C2;Balmaseda;178;14;5;8;11;12;4;2;4;7;10;23;10;110
C069;Bermeo;106;16;5;9;13;14;7;9;7;10;14;24;12;140
C0B6;Berna;95;18;6;10;12;12;6;8;8;9;14;24;13;140
C0BE;Berriatua;25;16;5;8;13;11;5;7;10;10;12;23;13;133
C065;Cerroja;677;14;5;9;14;13;7;9;7;6;13;25;11;133
C003;Derio;30;17;6;9;12;14;6;7;7;10;11;23;12;134
C039;Deusto;3;16;5;10;10;14;6;5;6;9;12;23;11;127
C075;Eitzaga;270;18;5;8;14;14;6;6;9;10;12;23;13;138
C074;Elorrio;167;19;5;11;14;12;4;7;8;9;13;24;13;139
C009;Galdakao;30;17;5;10;12;14;6;9;7;10;13;24;12;139
C038;Galindo;5;17;5;9;11;12;6;5;7;10;12;23;10;127
C033;Igorre;150;17;6;11;14;13;8;10;8;9;13;26;13;148
C0BD;Iruzubieta;110;16;5;9;14;16;6;7;9;7;13;24;13;139
C036;Iurreta;180;18;5;10;11;12;7;9;7;8;12;22;11;132
C045;La Garbea;717;15;6;11;12;16;8;5;6;7;13;24;11;134
C0B7;Mañaria;168;17;5;10;13;13;7;10;8;9;13;24;11;140
C019;Matxitxako;433;20;8;8;13;13;9;9;7;11;13;25;10;146
C057;Mungia;22;19;7;8;15;14;5;9;9;11;14;23;10;144
