COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
C063;Muxika;16;17;5;8;11;12;5;10;7;9;15;25;13;137
C046;Oiz;980;19;5;11;14;16;8;10;11;10;15;23;13;155
C0BA;Oleta;14;18;5;8;14;11;6;9;8;9;14;23;12;137
C059;Ordunte;300;15;5;9;14;11;4;3;3;6;10;23;12;115
C072;Orduña;934;14;5;8;11;15;9;10;10;9;13;22;8;134
C0B4;Orozko;200;17;5;10;15;11;7;9;8;8;12;24;10;136
C054;Otxandio;556;19;5;10;15;13;7;9;8;8;12;26;13;145
C042;Punta Galea;61;17;6;7;10;11;5;7;6;10;11;24;10;124
C0B9;Sangroniz;10;16;7;9;12;13;6;4;6;11;13;23;10;130
C0C3;Sodupe;55;17;6;8;11;13;5;6;4;9;11;24;11;125
C022;Urkiola;709;16;5;10;16;13;8;12;9;9;13;26;13;150
C0B3;Urkizu;75;17;5;11;13;15;7;11;7;8;13;25;13;145
C037;Venta Alta;162;17;5;10;12;14;6;10;9;11;13;24;12;143
C0E5;Agauntza;180;14;5;9;11;13;10;6;10;5;12;24;10;129
C0DB;Aitzu;312;16;6;10;15;14;5;8;10;7;13;23;13;140
C0D3;Aixola;320;18;5;9;14;14;6;9;10;11;16;24;13;149
C0DD;Aizarnazabal;25;13;5;9;16;14;5;9;10;10;15;23;12;141
C0E9;Alegia;90;16;7;10;14;14;7;8;8;8;9;23;11;135
C078;Altzola;17;17;6;9;15;14;6;6;10;9;14;23;13;142
C052;Ameraun;285;19;7;10;16;18;9;10;12;8;15;25;10;159
C0E1;Amundarain;111;14;5;10;12;14;8;5;10;5;12;24;10;129
C077;Andoain;52;17;7;10;15;14;8;12;12;8;15;25;11;154
C080;Añarbe;184;18;7;10;17;17;11;11;13;10;16;26;12;168
C0E8;Araxes;141;15;6;11;15;14;7;8;12;7;12;24;10;141
C023;Arrasate;318;19;5;10;15;15;6;7;7;8;10;25;12;139
C084;Behobia;5;18;6;9;15;15;9;8;11;8;17;24;11;151
C0EA;Belauntza;105;16;8;11;14;14;8;9;11;11;13;22;11;148
C026;Berastegi;379;19;7;11;15;17;9;10;11;8;14;25;14;160
C058;Bidania;592;18;7;10;15;15;8;10;11;11;16;25;12;158
C0F0;Ereñozu;25;18;7;11;16;16;9;9;14;11;16;24;10;161
C0F1;Eskas;650;19;8;12;16;17;11;13;16;11;17;25;11;176
C0E7;Estanda;195;16;5;8;14;13;4;5;8;6;9;24;12;124
C0DC;Ibai Eder;90;15;6;11;13;12;6;7;8;7;11;23;11;130
C0EC;Lasarte;18;16;7;10;17;15;7;10;13;10;14;24;11;154
C0DE;Matxinbenta;250;15;6;11;14;14;7;7;10;6;13;24;10;137
C017;Miramon;113;19;7;10;16;13;8;8;12;10;15;24;11;153
C0F4;Oiartzun;53;14;7;10;15;18;8;8;10;8;14;23;11;146
C0D1;Oñati;195;17;5;9;14;13;5;7;8;10;9;24;12;133
C043;Ordizia;243;14;5;9;11;15;5;6;10;6;10;23;10;124
C0D2;San Prudentzio;175;19;5;10;15;15;5;6;7;9;11;23;13;138
C0D0;Urkulu;340;19;5;7;16;14;6;8;7;11;12;25;13;143
C064;Zarautz;80;14;5;9;16;12;6;8;10;8;14;23;11;136
C028;Zegama;520;14;5;12;13;13;5;11;9;7;15;25;12;141
C029;Zizurkil;149;15;6;10;13;13;7;8;10;6;14;24;12;138
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;DÍAS DE PRECIPITACIÓN IGUAL O SUPERIOR A 1 mm;;;;;;;;;;;
