COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;DÍAS DE PRECIPITACIÓN IGUAL O SUPERIOR A 1 mm;;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;11;16;16;14;9;7;2;1;8;4;12;4;104
C056;Alegria;545;12;16;14;14;9;7;2;4;7;5;12;3;105
C035;Altube;618;15;17;19;16;12;5;8;6;10;5;13;5;131
C001;Arkaute;517;13;17;17;14;9;8;3;3;9;7;11;3;114
C034;Espejo;504;15;12;14;14;10;4;2;2;5;2;12;4;96
C0AA;Etura;549;12;18;16;14;9;7;2;2;8;6;13;3;110
C067;Gardea;141;14;16;17;11;11;6;9;4;9;4;12;5;118
C044;Gorbea;662;20;17;18;17;11;8;8;3;8;5;13;5;133
C048;Herrera;1188;11;18;14;16;11;6;2;2;8;5;11;4;108
C068;Ilarduia;596;16;19;18;11;12;8;3;3;8;6;14;4;122
C024;Iturrieta;987;16;19;19;15;12;8;6;3;9;6;15;7;135
C00A;Kanpezu;550;12;15;14;9;11;3;3;;4;5;10;4;90
C047;Kapildui;1173;14;16;19;14;12;8;6;7;9;8;12;4;129
C031;Moreda;490;9;9;7;4;4;2;3;;3;3;7;4;55
C041;Navarrete;689;13;12;9;11;10;5;4;;7;6;12;2;91
C055;Ozaeta;548;13;18;17;15;10;5;2;2;9;7;13;3;114
C060;Páganos;577;10;13;7;9;8;3;3;1;4;3;9;1;71
C030;Salvatierra;589;13;18;18;12;8;7;2;3;6;4;12;2;105
C051;Saratxo;230;14;16;17;14;10;7;7;3;9;3;12;5;117
C0A0;Sarria;655;18;18;18;18;12;8;5;3;8;4;13;7;132
C049;Subijana;537;12;15;15;14;9;6;1;;6;2;11;4;95
C020;Trebiño;578;11;11;10;13;10;4;4;4;8;6;12;4;97
C070;Zaldiaran;980;10;12;16;13;9;7;4;2;10;5;10;2;100
C050;Zambrana;470;12;12;10;12;8;5;2;3;5;5;9;3;86
C0B1;Abusu (La Peña);23;14;15;17;11;12;6;10;2;9;4;14;6;120
C079;Amorebieta;65;14;15;17;12;14;7;9;4;9;6;13;4;124
C0C1;Aranguren;92;13;16;17;12;11;5;5;3;8;3;12;5;110
C061;Arboleda;329;13;16;17;13;10;8;11;4;9;5;13;4;123
C032;Areta;122;15;16;17;11;11;6;9;3;10;6;11;5;120
C002;Arteaga;19;16;19;13;11;11;7;9;3;9;5;14;4;121
C0C2;Balmaseda;178;13;15;16;10;7;4;6;4;6;4;11;5;101
C069;Bermeo;106;17;19;16;12;11;6;9;4;10;6;14;5;129
C0B6;Berna;95;15;16;18;12;13;7;10;6;9;6;13;5;130
C0BE;Berriatua;25;16;17;16;14;12;6;9;5;9;6;14;6;130
C065;Cerroja;677;14;16;16;16;14;7;9;7;8;5;11;6;129
C003;Derio;30;15;16;14;12;12;8;9;5;9;3;13;6;122
C039;Deusto;3;14;16;14;11;10;7;9;1;8;3;12;7;112
C075;Eitzaga;270;18;18;16;15;13;6;12;7;10;6;14;5;140
C074;Elorrio;167;17;18;18;15;11;9;14;8;10;5;13;6;144
C038;Galindo;5;15;17;14;12;13;8;8;5;8;4;13;6;123
C033;Igorre;150;14;16;18;11;13;9;12;5;8;5;13;5;129
C0BD;Iruzubieta;110;17;19;18;15;14;9;11;4;9;6;15;6;143
C036;Iurreta;180;15;16;16;14;12;8;7;5;8;4;13;6;124
C045;La Garbea;717;14;17;14;15;10;7;9;6;9;3;12;6;122
C0B7;Mañaria;168;16;18;17;14;12;11;11;5;10;4;14;5;137
C019;Matxitxako;433;16;16;16;12;12;8;12;7;8;6;14;6;133
C057;Mungia;22;16;18;16;12;11;7;8;4;8;6;13;4;123
C063;Muxika;16;15;17;16;12;14;6;9;4;9;4;14;5;125
C046;Oiz;980;13;16;16;12;14;11;15;8;11;6;13;6;141
