COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;TEMPERATURA MÍNIMA MEDIA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;-1.6;2.1;3.3;2.7;8.3;12.6;13.0;13.0;8.8;7.2;2.2;1.0;6.1
C0A4;Albaina;594;;;4.2;2.6;8.1;13.1;12.6;12.0;7.6;5.9;1.9;1.1;
C056;Alegria;545;-1.4;2.7;3.8;3.0;8.4;12.6;12.8;12.7;9.0;7.7;3.1;0.9;6.3
C035;Altube;618;-0.1;3.6;4.9;4.4;9.9;12.1;12.3;12.3;9.0;7.4;2.9;0.9;6.6
C0A3;Antoñana;556;-2.7;0.3;1.9;1.4;6.2;10.8;11.4;11.4;7.5;6.0;1.5;-0.1;4.6
C016;Arkauti;517;-1.7;2.6;3.7;3.0;8.5;12.6;13.1;13.0;9.0;7.5;2.6;1.3;6.3
C025;Beluntza;687;0.7;3.7;5.2;5.2;9.5;12.2;12.3;12.2;9.4;8.9;3.8;1.6;7.1
C0A2;Egino;573;-1.3;2.8;3.2;3.2;;12.4;12.9;12.4;8.9;7.8;2.6;-0.1;
C034;Espejo;504;-1.3;2.1;3.0;2.0;8.1;12.5;12.7;12.7;8.6;6.3;2.2;1.7;5.9
C0AA;Etura;549;-1.8;2.1;3.1;1.8;7.5;12.2;12.4;12.1;8.4;6.8;2.5;0.2;5.6
C067;Gardea;141;1.3;5.2;6.3;5.8;11.2;14.8;15.2;15.1;11.7;10.7;5.6;3.8;8.9
C040;Gasteiz;546;1.5;5.4;6.8;7.0;11.7;15.1;15.5;15.5;12.3;10.9;5.8;4.0;9.3
C044;Gorbea;662;-0.1;2.5;3.9;4.0;8.6;12.5;12.1;11.7;8.5;7.2;2.4;1.0;6.2
C048;Herrera;1188;-0.3;2.3;3.6;4.2;9.4;12.1;12.4;12.5;9.5;9.9;3.5;0.7;6.6
C068;Ilarduia;596;-1.2;3.1;4.7;4.5;8.9;13.0;13.7;13.1;9.7;8.7;3.6;0.4;6.9
C024;Iturrieta;987;-2.8;1.1;1.9;2.2;6.6;11.1;11.2;10.4;7.6;6.2;1.4;-1.1;4.7
C00A;Kanpezu;550;-0.4;1.9;3.3;3.5;8.1;13.1;14.3;13.9;9.2;7.6;2.9;1.2;6.6
C047;Kapildui;1173;-1.1;2.5;3.7;3.8;8.7;11.7;12.1;12.1;9.1;9.3;3.3;0.4;6.3
C031;Moreda;490;2.1;4.9;6.6;7.2;12.1;16.2;16.4;16.3;12.9;11.6;5.8;3.4;9.6
C041;Navarrete;689;-1.8;1.2;2.5;2.1;7.2;11.9;12.3;11.8;7.8;5.9;1.9;0.5;5.3
