COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;TEMPERATURA MÍNIMA MEDIA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;3.0;1.7;2.4;3.5;7.7;10.5;13.1;12.1;11.1;6.5;3.2;1.4;6.4
C056;Alegria;545;3.2;1.7;2.3;3.7;7.9;10.4;13.0;12.6;11.5;6.8;3.8;1.2;6.5
C035;Altube;618;4.0;3.1;3.6;4.9;8.5;11.1;13.4;13.2;12.2;8.1;4.5;2.8;7.4
C001;Arkaute;517;3.0;1.8;2.6;3.5;7.4;10.4;13.1;11.8;11.0;6.3;3.5;1.0;6.3
C025;Beluntza;687;3.7;2.4;2.6;4.4;7.8;10.6;13.0;13.5;12.1;8.6;4.7;2.9;7.2
C034;Espejo;504;3.3;2.0;2.8;3.9;6.5;10.0;12.8;11.5;10.0;5.7;2.5;1.7;6.0
C0AA;Etura;549;2.5;1.5;2.1;3.4;7.2;10.0;12.6;11.6;10.8;6.0;3.5;0.7;6.0
C067;Gardea;141;5.2;4.8;5.1;6.7;9.9;12.6;14.8;14.9;13.6;9.4;6.4;4.9;9.0
C040;Gasteiz;546;6.1;4.5;5.1;6.9;10.7;13.5;16.0;15.9;14.4;10.4;6.6;4.4;9.5
C044;Gorbea;662;3.2;2.2;3.0;3.8;7.4;10.1;13.0;12.7;10.9;7.2;3.8;2.1;6.6
C048;Herrera;1188;2.1;0.6;0.3;2.1;6.3;9.9;12.1;12.9;12.0;8.5;3.7;4.0;6.2
C068;Ilarduia;596;3.0;2.0;2.4;4.2;8.2;10.9;14.0;14.0;12.3;7.8;4.3;1.7;7.1
C024;Iturrieta;987;0.9;-0.2;0.4;2.4;6.2;8.6;11.8;12.2;9.8;5.4;1.8;0.0;4.9
C00A;Kanpezu;550;2.9;1.6;2.2;3.4;7.4;11.2;14.2;13.9;11.9;6.8;3.7;1.3;6.7
C047;Kapildui;1173;1.7;0.3;-0.2;1.7;5.7;9.0;11.3;12.1;10.9;7.5;2.9;2.9;5.5
C031;Moreda;490;5.2;4.1;4.8;6.4;10.1;13.8;16.1;16.7;15.0;10.8;6.4;3.9;9.4
C041;Navarrete;689;2.0;0.9;1.1;3.0;6.6;9.5;12.5;11.8;10.4;5.4;2.4;-0.1;5.5
C055;Ozaeta;548;3.1;2.2;3.0;4.3;8.3;11.2;13.8;12.5;11.4;6.3;4.2;0.7;6.7
C060;Páganos;577;4.1;3.2;3.4;5.3;8.9;12.1;14.5;15.0;13.1;9.1;4.9;2.8;8.0
C021;Roitegi;980;2.1;0.9;1.5;3.2;7.0;9.4;12.6;13.1;10.9;6.8;3.0;1.5;6.0
