COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;TEMPERATURA MÍNIMA MEDIA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;0.5;0.0;1.4;4.1;5.2;9.7;12.9;12.8;10.4;8.1;4.6;2.3;6.0
C0A4;Albaina;594;-0.1;-0.5;0.0;2.8;3.9;8.7;11.9;11.8;9.1;7.3;4.4;1.4;5.0
C056;Alegria;545;0.4;1.1;1.7;3.9;4.8;10.0;12.9;12.5;10.3;8.7;5.0;2.4;6.1
C035;Altube;618;0.1;0.7;1.2;3.1;4.2;8.6;12.2;11.6;9.7;8.2;3.7;1.7;5.4
C0A3;Antoñana;556;0.2;-0.1;0.7;3.1;4.6;9.6;12.6;11.6;9.6;7.5;3.7;1.9;5.4
C016;Arkauti;517;0.7;0.5;1.8;4.2;5.4;10.0;13.2;13.0;10.9;8.8;5.2;2.9;6.4
C025;Beluntza;687;1.4;2.8;3.1;4.3;5.6;9.4;12.9;12.7;10.6;8.7;4.1;3.1;6.6
C0A2;Egino;573;0.0;1.7;1.1;3.6;4.6;10.0;13.2;12.7;10.9;8.6;4.3;2.0;6.1
C034;Espejo;504;0.2;-0.6;0.7;4.0;5.1;9.4;13.1;12.6;10.2;7.7;4.7;2.0;5.8
C0AA;Etura;549;;;0.9;3.4;4.0;8.8;12.4;11.9;10.1;8.3;4.5;1.9;
C067;Gardea;141;3.2;3.7;4.4;6.3;7.4;12.0;15.7;15.3;13.1;10.9;6.8;5.1;8.7
C040;Gasteiz;546;3.5;4.4;5.3;7.1;8.4;12.7;15.1;14.8;12.7;10.6;6.2;4.3;8.8
C044;Gorbea;662;0.8;0.6;1.9;3.3;4.8;9.0;12.1;11.9;10.0;7.5;3.4;1.6;5.6
C048;Herrera;1188;-0.3;3.5;2.7;3.4;5.0;10.5;13.1;12.9;10.4;8.6;2.8;4.4;6.4
C068;Ilarduia;596;0.6;2.4;2.0;4.3;5.1;10.7;13.9;13.1;11.5;9.2;4.9;2.5;6.7
C024;Iturrieta;987;-1.5;-0.4;-0.2;1.3;3.0;8.5;11.1;10.3;8.6;6.5;2.5;0.6;4.2
C00A;Kanpezu;550;1.4;0.2;1.3;4.1;6.0;10.9;14.5;13.3;11.2;8.2;4.1;2.0;6.4
C047;Kapildui;1173;0.0;3.0;2.6;2.9;4.6;9.8;12.7;12.4;10.1;7.8;2.2;3.7;6.0
C031;Moreda;490;3.5;4.4;5.5;7.3;9.2;14.3;17.3;16.4;13.9;10.6;6.6;5.4;9.5
C041;Navarrete;689;0.0;-0.5;0.4;2.8;4.3;9.5;12.4;11.4;9.4;7.5;4.0;1.7;5.2
