COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;MEDIA DE LAS VELOCIDADES MÁXIMAS (km/h);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C056;Alegria;545;43.7;40.3;38.1;;35.1;;;;;26.0;32.7;24.4;
C035;Altube;618;35.8;35.9;36.0;37.2;33.8;29.4;28.7;29.1;30.3;24.4;28.9;24.0;31.1
C001;Arkaute;517;40.8;38.4;37.4;39.8;33.9;32.8;33.7;34.8;32.5;23.4;28.3;15.8;32.6
C025;Beluntza;687;57.1;53.7;53.4;53.4;49.6;41.6;40.1;43.1;45.2;37.0;47.5;41.8;46.9
C034;Espejo;504;37.7;38.2;35.9;38.3;33.3;31.3;32.7;32.2;30.4;24.6;31.1;18.3;32.0
C0AA;Etura;549;37.1;39.8;40.5;42.2;40.1;;;;;;32.9;23.9;
C067;Gardea;141;41.6;37.5;34.0;38.0;34.3;29.2;27.5;31.3;29.7;28.1;32.9;33.7;33.1
C040;Gasteiz;546;48.1;46.7;45.1;47.2;44.3;38.9;40.0;40.0;39.2;29.1;35.8;22.8;39.8
C048;Herrera;1188;73.4;65.1;63.5;59.6;52.0;45.1;43.8;47.4;44.8;39.4;57.3;40.7;52.7
C068;Ilarduia;596;46.4;50.1;46.4;52.3;50.8;48.2;51.1;51.8;48.4;43.8;41.3;36.6;47.3
C024;Iturrieta;987;48.8;51.2;50.0;45.9;45.9;38.3;35.1;38.7;38.7;34.3;42.2;34.0;41.9
C00A;Kanpezu;550;42.6;47.1;43.9;42.9;43.5;35.0;36.4;36.1;36.3;32.8;38.1;32.6;39.0
C047;Kapildui;1173;70.3;63.6;58.7;55.8;50.8;43.7;42.0;45.5;43.8;39.5;54.3;41.5;50.8
C031;Moreda;490;41.9;52.0;45.8;48.6;45.9;45.6;46.1;45.5;40.9;36.6;39.8;29.2;43.2
C041;Navarrete;689;49.6;46.1;38.7;41.4;42.4;31.7;28.7;31.8;34.1;30.0;37.7;28.5;36.7
C060;Páganos;577;48.8;54.2;53.1;48.1;44.0;39.7;36.2;37.2;35.3;29.6;39.1;28.6;41.2
C021;Roitegi;980;52.6;57.7;55.9;50.2;48.5;39.3;38.1;42.3;40.4;38.1;45.8;37.1;45.5
C030;Salvatierra;589;37.5;38.9;38.4;40.5;37.4;34.2;36.3;37.9;34.4;28.9;30.2;23.0;34.8
C051;Saratxo;230;49.2;37.6;34.7;39.3;35.1;29.2;27.5;30.1;30.6;24.8;31.6;25.6;32.9
C020;Trebiño;546;50.9;46.2;42.0;45.9;41.5;38.6;37.2;37.7;37.2;30.5;35.3;22.5;38.8
C050;Zambrana;470;48.3;43.5;39.0;42.2;38.8;38.0;37.4;38.0;34.8;29.4;33.5;24.0;37.2
C061;Arboleda;329;76.6;63.6;50.3;51.2;41.7;30.3;28.6;32.6;36.9;32.4;51.5;47.4;45.3
