COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;MEDIA DE LAS VELOCIDADES MÁXIMAS (km/h);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C042;Punta Galea;61;53.3;55.4;50.0;51.9;47.7;48.3;38.4;37.0;43.3;51.7;72.5;62.2;51.0
C0C3;Sodupe;56;26.8;30.3;37.9;35.1;32.8;39.5;35.3;34.2;34.2;29.8;33.3;30.7;33.3
C066;Untzueta;764;52.8;53.3;50.9;50.7;43.6;47.3;40.9;41.3;45.7;52.4;69.4;62.8;50.9
C022;Urkiola;709;44.0;43.7;40.4;40.0;35.0;31.8;27.2;27.5;31.2;34.4;46.1;45.2;37.2
C037;Venta Alta;162;;43.9;43.7;43.2;38.0;41.4;35.7;34.5;37.6;42.8;54.1;50.0;
C023;Arrasate;318;39.4;36.2;43.7;42.8;39.5;35.0;34.4;31.6;33.5;36.9;49.1;41.6;38.6
C026;Berastegi;379;34.6;36.6;38.3;37.0;33.0;31.7;27.9;27.2;31.3;31.7;41.5;38.0;34.1
C058;Bidania;592;44.3;39.0;42.5;39.7;37.0;33.7;30.0;29.3;34.0;37.1;49.7;47.8;38.7
C018;Higer;43;50.6;40.9;42.8;43.3;41.2;42.4;41.1;30.3;36.7;42.4;66.0;52.9;44.2
C071;Jaizkibel;545;55.1;53.5;47.2;42.6;;;40.7;38.0;42.9;51.9;;68.1;
C0EC;Lasarte;18;30.6;35.2;32.2;34.3;27.0;26.7;23.9;22.2;27.5;28.4;37.8;39.7;30.4
C017;Miramon;113;41.5;38.6;38.9;39.5;35.0;33.7;29.5;28.6;31.8;34.6;50.4;48.7;37.6
C043;Ordizia;243;29.9;34.9;40.2;38.1;32.4;34.1;29.5;28.9;30.7;32.1;41.7;36.9;34.1
C007;Santa Clara;48;52.1;45.3;44.3;47.4;42.9;43.4;41.5;30.6;36.9;42.2;67.0;59.5;46.1
C064;Zarautz;80;51.3;46.9;47.2;42.9;41.3;37.3;32.3;31.7;37.2;41.5;63.2;55.6;44.0
C028;Zegama;520;41.1;44.6;43.2;46.3;37.7;36.6;30.8;28.8;35.1;44.2;60.5;52.5;41.8
C029;Zizurkil;149;38.3;44.4;41.3;41.5;34.5;31.4;26.2;27.4;34.2;37.8;50.8;51.8;38.3
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;MEDIA DE LAS VELOCIDADES MÁXIMAS (km/h);;;;;;;;;;;
