COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;MEDIA DE LAS VELOCIDADES MÁXIMAS (km/h);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C056;Alegria;545;30.6;46.6;38.9;32.3;35.1;32.0;35.2;33.2;29.2;27.5;29.4;34.5;33.7
C035;Altube;618;29.4;41.5;33.7;31.9;32.2;30.2;31.0;31.1;25.8;24.7;28.0;33.4;31.1
C016;Arkauti;517;28.4;41.9;41.2;36.7;36.5;36.6;43.1;39.9;33.6;26.5;30.4;36.4;35.9
C025;Beluntza;687;40.4;61.8;49.7;43.1;38.2;43.8;46.9;44.3;39.3;37.3;45.6;54.2;45.4
C034;Espejo;504;26.9;38.6;34.2;;31.6;33.3;35.6;32.8;29.5;24.7;28.8;35.6;
C0AA;Etura;549;33.5;45.6;39.2;35.7;37.1;35.6;39.2;36.8;31.8;28.6;31.4;35.5;35.8
C067;Gardea;141;28.5;40.5;35.3;32.5;33.2;28.1;28.9;30.0;25.4;28.3;28.7;31.7;30.9
C040;Gasteiz;546;34.9;50.8;44.8;39.5;40.3;39.9;44.1;40.9;35.2;28.8;32.7;44.3;39.7
C048;Herrera;1188;57.6;65.2;58.0;51.3;50.4;47.8;46.7;49.6;43.2;45.6;53.4;66.0;52.9
C068;Ilarduia;596;41.9;57.2;50.7;49.5;51.4;51.1;56.1;52.7;42.3;39.6;39.3;41.1;47.7
C024;Iturrieta;987;42.7;54.4;46.3;40.3;41.0;38.3;42.0;39.9;35.2;35.6;40.8;47.3;42.0
C00A;Kanpezu;550;40.8;48.7;43.0;36.2;37.1;36.0;40.3;36.3;33.9;33.8;36.3;39.9;38.5
C047;Kapildui;1173;54.7;66.4;57.0;45.9;49.7;47.4;46.0;45.3;41.8;43.3;51.7;64.8;51.2
C031;Moreda;490;41.5;51.6;46.0;44.2;43.0;44.3;47.1;45.2;39.8;35.9;37.1;44.3;43.3
C041;Navarrete;689;34.8;49.3;41.2;34.2;37.7;33.7;36.3;35.3;28.3;30.1;30.9;38.3;35.8
C060;Páganos;577;46.2;50.5;46.3;43.9;41.5;37.3;37.8;38.1;34.7;33.3;41.1;46.2;41.4
C021;Roitegi;980;47.6;58.4;50.2;44.5;45.4;41.8;45.2;43.6;38.5;40.2;47.4;53.5;46.4
C030;Salvatierra;589;31.3;47.5;39.2;35.6;37.5;34.2;39.8;38.5;31.3;29.4;29.1;32.8;35.5
C051;Saratxo;230;27.1;43.6;34.6;30.1;30.7;28.1;27.9;30.5;26.5;25.0;27.7;37.4;30.8
C00B;Tobillas;700;;;;;35.5;31.4;32.7;35.4;29.7;29.0;34.4;40.1;
C020;Trebiño;546;35.5;51.0;44.6;37.0;40.8;38.3;43.2;40.0;33.7;30.1;33.3;39.6;38.9
