COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;MEDIA DE LAS VELOCIDADES MÁXIMAS (km/h);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C056;Alegria;545;31.3;33.7;50.8;41.3;32.1;28.6;29.8;28.6;28.8;33.6;41.0;28.1;34.0
C035;Altube;618;29.5;33.6;43.8;34.2;29.7;27.9;30.7;29.9;29.3;30.4;32.5;28.0;31.6
C016;Arkauti;517;32.5;36.7;49.9;41.3;35.5;33.2;37.8;34.5;34.9;36.8;36.5;29.4;36.6
C025;Beluntza;687;49.3;50.5;68.3;49.9;42.4;38.3;44.6;40.6;41.0;47.9;51.8;44.5;47.4
C034;Espejo;504;29.9;32.8;47.9;32.6;30.8;28.1;33.2;33.2;29.2;29.6;32.8;24.2;32.0
C0AA;Etura;549;30.4;36.5;51.2;39.3;33.7;31.8;36.1;33.3;32.7;37.7;39.5;27.0;35.8
C067;Gardea;141;32.3;29.8;45.7;35.0;27.2;27.1;27.0;25.9;30.8;30.4;40.8;30.1;31.8
C040;Gasteiz;546;38.4;40.6;58.3;43.1;37.7;38.0;39.3;38.1;38.0;39.0;41.4;35.1;40.6
C048;Herrera;1188;63.2;60.3;70.9;58.3;45.1;42.1;41.2;41.0;43.7;50.9;61.3;63.2;53.4
C068;Ilarduia;596;38.0;43.8;57.4;54.6;43.7;44.3;50.8;47.8;49.1;48.0;51.8;37.3;47.2
C024;Iturrieta;987;41.7;45.2;57.3;47.3;37.6;36.1;35.3;35.0;34.6;44.0;48.9;40.9;42.0
C00A;Kanpezu;550;38.9;39.8;51.3;43.4;34.2;32.9;36.0;32.8;33.9;39.2;41.4;34.2;38.2
C047;Kapildui;1173;60.3;57.3;70.7;57.7;44.1;41.6;39.1;39.7;40.8;50.7;60.8;58.4;51.8
C031;Moreda;490;44.5;44.7;55.8;45.4;40.2;39.0;43.4;43.5;40.0;41.1;40.0;39.5;43.1
C041;Navarrete;689;33.9;33.9;55.1;44.8;31.8;30.2;27.9;26.8;31.2;35.5;43.9;31.5;35.5
C060;Páganos;577;47.5;49.7;55.4;45.3;40.5;35.6;35.5;34.2;33.2;40.4;41.1;42.8;41.8
C021;Roitegi;980;47.2;54.1;62.9;48.2;40.1;36.8;38.5;38.3;38.5;46.6;52.7;43.4;45.6
C030;Salvatierra;589;29.2;35.5;48.3;41.0;32.0;31.5;35.2;34.3;33.0;35.9;39.5;26.1;35.1
C051;Saratxo;230;33.4;30.0;51.8;35.2;27.9;25.5;26.9;27.0;29.1;30.7;38.2;31.9;32.3
C00B;Tobillas;700;38.2;35.7;60.1;37.1;32.4;29.5;31.9;31.0;29.4;35.8;49.0;32.1;36.9
C020;Trebiño;546;38.2;41.1;55.8;43.5;34.1;34.0;38.2;35.6;35.4;36.3;43.4;31.8;39.0
