COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;TEMPERATURA MÁXIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C076;Abetxuko;510;13.4;22.6;23.8;22.1;30.9;39.4;37.9;34.3;29.1;27.9;22.1;16.6;39.4
C0A4;Albaina;594;13.4;22.3;23.3;21.8;29.0;39.4;36.8;34.5;28.9;28.8;19.8;16.9;39.4
C056;Alegria;545;13.0;22.4;23.2;20.6;28.0;39.2;36.9;32.8;28.9;26.1;22.5;16.0;39.2
C035;Altube;618;12.8;22.7;23.6;22.0;28.1;34.3;36.4;31.2;27.5;25.7;20.0;17.4;36.4
C0A3;Antoñana;556;13.6;23.3;21.8;22.1;29.3;39.4;36.8;33.8;29.3;29.1;21.0;18.0;39.4
C016;Arkauti;517;13.4;22.2;23.4;21.4;29.7;38.8;37.6;34.3;29.1;27.1;20.6;16.8;38.8
C025;Beluntza;687;11.7;21.9;22.2;20.5;27.2;33.3;36.5;32.3;27.0;24.5;18.7;16.6;36.5
C0A2;Egino;573;12.6;23.1;22.6;19.6;26.3;36.6;35.4;32.3;27.7;27.0;19.6;16.2;36.6
C034;Espejo;504;14.3;23.1;23.7;23.2;30.2;39.9;37.7;35.9;30.0;29.1;20.7;17.3;39.9
C0AA;Etura;549;;;22.6;20.8;28.5;39.2;38.0;34.0;28.9;26.7;20.8;16.4;39.2
C067;Gardea;141;17.4;26.2;26.8;26.5;31.3;39.2;40.4;35.3;31.1;30.7;23.7;21.6;40.4
C040;Gasteiz;546;14.5;22.8;23.7;22.5;29.7;38.6;35.8;33.0;28.3;25.9;20.1;16.8;38.6
C044;Gorbea;662;11.6;21.6;22.6;19.9;27.0;35.6;34.8;30.6;26.0;23.5;18.5;15.9;35.6
C048;Herrera;1188;14.2;19.4;19.1;19.0;26.1;35.9;32.3;32.0;25.2;25.6;14.4;17.4;35.9
C068;Ilarduia;596;12.8;23.3;23.4;20.4;27.9;39.2;36.5;32.9;28.7;27.2;20.6;16.5;39.2
C024;Iturrieta;987;10.9;20.0;20.2;17.6;25.1;35.6;33.0;30.7;25.0;24.4;17.3;17.3;35.6
C00A;Kanpezu;550;14.2;22.0;21.5;22.5;29.3;40.2;37.2;35.2;28.9;27.6;20.2;18.0;40.2
