COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;TEMPERATURA MÁXIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C076;Abetxuko;510;14.3;18.9;27.0;27.0;33.5;35.4;35.0;35.6;29.7;29.0;19.1;16.0;35.6
C0A4;Albaina;594;;;28.3;27.6;34.4;36.4;34.4;34.7;28.9;27.7;18.9;14.8;36.4
C056;Alegria;545;14.2;17.2;25.6;25.9;31.8;34.1;34.2;34.4;28.8;27.2;18.8;15.2;34.4
C035;Altube;618;14.7;19.2;27.6;27.4;31.7;33.0;33.5;34.2;27.8;26.8;18.3;15.3;34.2
C0A3;Antoñana;556;12.3;17.1;26.0;24.1;32.1;34.7;33.2;33.6;29.0;27.8;20.3;15.3;34.7
C016;Arkauti;517;18.2;17.8;25.5;25.8;31.5;34.3;34.4;34.6;29.2;28.4;19.0;15.4;34.6
C025;Beluntza;687;15.2;21.2;27.8;27.6;33.8;34.4;36.3;35.9;28.6;28.0;19.3;15.7;36.3
C0A2;Egino;573;14.1;18.0;24.4;23.6;23.4;32.9;31.4;32.8;28.0;26.1;17.9;14.5;32.9
C034;Espejo;504;14.5;19.2;27.2;26.0;32.8;35.8;35.8;35.7;30.2;27.8;19.3;16.7;35.8
C0AA;Etura;549;14.7;17.2;26.3;25.9;31.8;34.9;35.0;35.0;28.9;27.8;18.5;14.8;35.0
C067;Gardea;141;17.9;20.5;28.2;28.9;35.9;38.3;37.9;37.8;31.7;30.0;22.4;19.7;38.3
C040;Gasteiz;546;14.7;18.9;27.4;27.4;33.1;34.8;34.1;34.8;29.6;29.4;19.3;16.0;34.8
C044;Gorbea;662;14.0;17.4;25.4;24.7;31.0;33.6;32.7;33.1;26.5;26.2;17.2;14.5;33.6
C048;Herrera;1188;10.4;15.2;22.2;21.7;27.9;30.6;30.8;30.4;25.2;23.4;16.9;11.3;30.8
C068;Ilarduia;596;13.9;18.4;25.8;25.1;32.9;33.8;34.0;34.5;28.8;26.9;18.2;14.7;34.5
C024;Iturrieta;987;11.6;15.9;22.4;21.6;28.5;30.7;30.6;31.2;25.2;23.9;17.1;11.1;31.2
C00A;Kanpezu;550;14.4;19.0;26.9;25.6;32.0;35.8;35.1;34.7;30.0;27.7;20.7;15.1;35.8
