COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;TEMPERATURA MÁXIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C076;Abetxuko;510;16.8;17.1;22.3;21.4;29.5;33.9;38.7;38.3;37.7;28.1;23.0;15.9;38.7
C056;Alegria;545;17.6;17.2;20.8;20.8;27.4;32.8;37.3;36.2;35.5;26.4;22.3;14.9;37.3
C035;Altube;618;18.3;17.6;21.5;22.2;28.3;33.1;37.1;36.4;37.1;26.5;23.1;16.5;37.1
C001;Arkaute;517;17.6;17.1;21.6;21.4;27.7;33.4;37.2;36.7;37.4;27.1;22.7;16.8;37.4
C025;Beluntza;687;16.6;15.6;19.3;19.8;26.0;31.1;36.1;36.5;36.7;25.4;22.8;14.9;36.7
C034;Espejo;504;16.8;17.2;19.8;20.3;27.5;33.8;38.1;36.6;37.3;28.6;22.6;16.7;38.1
C0AA;Etura;549;16.7;15.5;20.4;19.6;26.7;33.4;37.1;36.8;36.0;26.3;21.9;15.1;37.1
C067;Gardea;141;19.7;20.3;23.5;21.2;30.7;37.4;39.4;38.9;38.8;29.8;23.9;19.3;39.4
C040;Gasteiz;546;17.6;17.2;22.1;20.1;28.3;33.4;37.5;36.3;36.5;27.8;23.3;16.4;37.5
C044;Gorbea;662;15.6;16.1;19.1;18.4;26.6;31.9;35.3;33.9;35.5;25.3;21.4;14.8;35.5
C048;Herrera;1188;14.6;10.9;15.9;15.7;23.2;28.2;30.9;29.7;32.3;23.6;20.2;15.2;32.3
C068;Ilarduia;596;16.3;17.4;20.2;21.0;25.9;31.9;35.8;35.2;36.3;26.7;22.7;15.4;36.3
C024;Iturrieta;987;14.7;13.5;16.9;16.8;23.0;29.3;33.4;32.6;32.6;24.0;20.0;15.2;33.4
C00A;Kanpezu;550;15.9;16.3;20.2;20.8;26.5;33.8;37.0;34.9;36.0;28.2;24.0;16.1;37.0
C047;Kapildui;1173;13.5;10.7;16.2;16.2;22.0;26.2;31.1;29.0;31.0;22.6;18.7;13.6;31.1
C031;Moreda;490;17.7;17.7;24.1;22.3;30.0;35.3;38.4;37.4;37.6;29.0;25.3;16.3;38.4
C041;Navarrete;689;16.0;15.5;20.5;20.3;26.6;32.5;36.0;34.4;34.6;26.4;23.1;15.7;36.0
