COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
C055;Ozaeta;548;17.3;17.0;21.4;21.0;27.8;34.1;37.0;36.8;36.0;27.2;24.5;17.1;37.0
C060;Páganos;577;17.1;16.2;21.1;20.9;27.5;33.0;35.7;34.1;35.1;27.4;23.7;16.1;35.7
C021;Roitegi;980;15.6;13.5;17.5;17.7;23.2;29.5;34.9;33.7;33.9;24.7;21.0;15.0;34.9
C030;Salvatierra;589;16.9;16.0;20.4;19.4;26.8;32.6;37.2;37.0;36.5;29.2;23.7;15.3;37.2
C051;Saratxo;230;19.7;19.9;23.9;23.1;30.6;36.4;39.1;38.3;39.5;29.1;24.3;19.4;39.5
C0A0;Sarria;655;16.1;17.2;20.8;21.2;28.4;33.2;37.1;37.3;37.7;26.8;22.9;15.9;37.7
C049;Subijana;537;16.2;16.0;20.8;20.0;28.2;33.6;37.9;36.8;36.4;27.6;21.7;15.2;37.9
C020;Trebiño;578;16.2;15.4;20.4;19.6;27.4;32.9;37.5;35.7;35.5;27.1;22.0;14.0;37.5
C070;Zaldiaran;980;14.4;13.8;19.2;16.5;24.8;27.6;32.5;33.8;34.3;23.8;19.6;13.9;34.3
C050;Zambrana;470;17.8;17.3;21.9;21.2;28.8;35.3;38.3;37.3;37.2;28.7;23.2;17.0;38.3
C0B1;Abusu (La Peña);23;19.3;18.7;23.1;21.6;27.1;34.2;40.2;37.5;36.3;28.6;21.9;18.9;40.2
C079;Amorebieta;65;20.3;20.1;23.7;21.0;29.6;37.0;40.3;38.8;37.9;27.0;24.8;20.1;40.3
C0C1;Aranguren;92;22.9;22.2;25.7;24.0;31.0;39.0;42.4;41.1;41.1;32.1;27.5;22.6;42.4
C061;Arboleda;329;18.8;18.5;22.1;19.8;26.5;31.2;37.4;37.4;35.4;24.8;22.4;18.3;37.4
C032;Areta;122;19.4;20.0;23.0;21.0;29.8;36.2;38.6;37.6;38.3;28.9;23.0;19.0;38.6
C002;Arteaga;19;23.0;20.5;25.6;23.0;28.6;30.1;39.6;36.4;38.2;25.9;24.9;21.2;39.6
C0C2;Balmaseda;178;17.9;18.6;21.0;18.4;28.1;34.2;37.3;36.8;38.7;26.9;20.8;17.6;38.7
C069;Bermeo;106;21.4;18.8;24.4;21.9;25.8;27.5;36.5;34.4;33.9;24.6;23.5;19.2;36.5
C0B6;Berna;95;19.5;20.8;23.7;21.3;29.3;36.0;38.3;38.1;37.7;27.9;23.7;19.1;38.3
C0BE;Berriatua;25;23.2;20.3;25.4;23.5;28.0;35.4;39.4;35.2;38.3;25.6;25.1;21.2;39.4
C065;Cerroja;677;18.6;16.8;18.5;16.4;24.6;30.8;34.6;34.8;36.5;26.3;24.2;19.1;36.5
C003;Derio;30;20.7;20.3;24.0;22.3;28.4;33.6;39.7;38.8;37.6;28.8;24.0;20.0;39.7
C039;Deusto;3;21.3;20.6;25.2;22.1;28.2;32.7;40.4;39.0;38.3;29.0;24.6;20.7;40.4
C075;Eitzaga;270;21.0;21.7;24.8;25.7;33.2;37.3;41.0;41.0;42.6;30.0;25.8;20.7;42.6
C074;Elorrio;167;19.9;20.2;24.9;23.9;31.1;36.4;38.5;38.2;38.4;27.6;22.2;19.7;38.5
C038;Galindo;5;21.1;21.3;25.6;22.1;29.0;31.9;40.7;38.7;38.3;27.5;24.2;20.4;40.7
C033;Igorre;150;20.5;21.1;24.5;24.1;29.9;37.2;39.1;38.8;38.9;30.0;24.5;18.6;39.1
C0BD;Iruzubieta;110;21.5;20.0;23.5;21.0;29.4;35.5;38.2;37.0;38.2;25.3;23.0;19.7;38.2
C036;Iurreta;180;21.0;21.2;24.5;21.8;30.5;37.9;40.4;39.2;39.5;30.0;25.0;20.3;40.4
C045;La Garbea;717;16.2;16.7;18.8;15.8;26.3;31.7;36.1;35.5;35.6;25.8;21.6;15.9;36.1
C0B7;Mañaria;168;19.7;20.0;23.8;22.6;30.5;36.9;39.4;39.3;39.1;27.5;22.7;17.8;39.4
C019;Matxitxako;433;20.1;16.8;21.9;19.7;24.6;32.9;35.0;33.6;33.9;23.1;21.8;17.3;35.0
C057;Mungia;22;22.4;22.1;25.7;22.4;30.3;35.7;40.6;39.4;38.9;28.1;25.6;20.8;40.6
C063;Muxika;16;21.4;19.4;24.3;21.6;29.8;35.2;39.6;38.0;38.6;25.8;24.9;20.9;39.6
C046;Oiz;980;13.9;13.2;16.6;15.6;23.6;30.9;31.8;30.9;32.2;23.6;18.5;15.6;32.2
C0BA;Oleta;14;23.5;20.3;26.0;23.2;26.7;32.9;39.7;35.2;35.9;25.6;25.2;21.9;39.7
C059;Ordunte;300;17.1;17.7;19.7;18.1;27.4;33.5;37.0;36.8;36.2;27.6;24.9;17.6;37.0
C072;Orduña;934;13.8;13.8;16.5;15.8;25.4;31.4;33.8;34.1;34.6;24.1;21.0;14.6;34.6
C0B4;Orozko;200;18.7;18.6;22.6;20.9;30.1;37.5;39.8;38.9;39.5;29.0;22.6;18.3;39.8
C054;Otxandio;556;15.7;17.6;19.9;21.2;26.9;32.6;36.1;35.2;35.6;25.5;20.7;15.2;36.1
C042;Punta Galea;61;21.4;19.5;23.2;21.9;27.6;28.8;39.6;35.9;36.2;25.2;22.7;20.6;39.6
C0B9;Sangroniz;10;20.7;19.8;23.6;21.3;27.6;32.2;39.2;37.2;36.9;26.9;21.8;19.4;39.2
C0C3;Sodupe;56;21.0;20.1;25.3;22.1;30.2;36.5;40.8;39.9;39.4;28.5;24.5;19.9;40.8
C066;Untzueta;764;14.8;15.0;17.9;15.7;25.0;31.7;34.7;33.6;34.4;25.2;21.4;14.6;34.7
C022;Urkiola;709;14.5;16.8;17.4;17.5;24.3;30.4;32.8;32.6;33.8;23.2;20.0;13.5;33.8
C0B3;Urkizu;75;19.6;20.1;23.7;23.2;29.9;36.1;37.9;37.5;38.1;27.4;23.5;18.3;38.1
C037;Venta Alta;162;19.5;19.3;22.5;22.2;28.7;34.1;39.0;37.8;37.2;27.1;23.2;18.7;39.0
C0E5;Agauntza;180;20.2;19.7;23.1;23.3;29.3;34.6;37.1;36.0;36.7;26.4;21.4;18.8;37.1
C0DB;Aitzu;312;17.2;18.2;20.9;22.6;29.0;35.3;38.1;37.3;37.3;27.2;21.8;18.1;38.1
C0D3;Aixola;320;19.5;20.1;21.7;22.2;29.0;34.7;36.8;35.7;37.1;26.3;20.8;16.8;37.1
C0DD;Aizarnazabal;25;19.4;17.7;24.2;22.6;28.9;35.7;38.4;37.0;36.7;23.6;20.4;18.1;38.4
C0E9;Alegia;90;21.3;21.8;25.3;24.3;31.2;37.2;39.3;37.9;38.0;28.0;22.0;18.4;39.3
C078;Altzola;17;20.8;18.2;23.3;21.7;28.1;34.6;37.9;36.9;38.2;24.0;23.3;18.8;38.2
C052;Ameraun;285;18.6;18.4;21.8;21.4;27.6;33.4;36.1;34.5;34.2;25.2;21.2;17.2;36.1
C0E1;Amundarain;111;20.1;20.1;23.7;22.5;29.4;35.5;38.2;37.3;37.9;27.5;21.4;19.6;38.2
C077;Andoain;52;19.7;20.2;24.3;23.3;33.0;35.6;37.6;36.2;36.3;25.7;22.5;19.5;37.6
C080;Añarbe;184;20.3;21.8;24.4;22.8;30.8;35.8;37.6;36.5;36.1;26.5;21.8;19.9;37.6
C0E8;Araxes;141;19.0;19.7;23.9;21.6;29.9;35.7;38.3;36.7;37.4;27.4;24.4;20.4;38.3
C023;Arrasate;318;20.7;20.8;23.1;22.1;29.5;34.8;39.2;39.0;39.0;28.4;23.7;19.7;39.2
C084;Behobia;5;22.4;20.0;24.6;24.0;29.1;34.6;39.3;35.7;37.4;25.7;22.2;20.1;39.3
C0EA;Belauntza;105;19.1;20.7;23.9;21.0;31.0;37.2;39.7;37.6;38.6;27.9;22.4;19.7;39.7
C026;Berastegi;379;18.7;17.9;21.5;21.4;27.4;34.9;36.4;35.2;34.8;28.8;21.4;18.6;36.4
C058;Bidania;592;17.9;18.8;20.8;20.5;26.7;32.5;35.0;35.2;36.3;26.0;23.3;20.6;36.3
C0F0;Ereñozu;25;20.2;18.8;25.1;23.6;30.2;33.8;34.5;34.3;33.0;24.0;17.8;19.8;34.5
C0E7;Estanda;195;20.1;20.4;23.5;24.5;29.5;36.1;38.1;38.2;38.2;27.9;22.3;19.4;38.2
C018;Higer;43;24.3;19.4;25.5;24.2;29.4;30.7;34.7;31.4;32.3;24.5;19.0;20.0;34.7
C0DC;Ibai Eder;90;22.4;22.1;25.0;23.4;32.0;38.2;40.3;39.4;39.5;29.7;24.5;22.1;40.3
C071;Jaizkibel;545;18.4;17.6;21.6;20.5;26.3;33.7;35.4;33.1;34.6;24.8;22.2;18.3;35.4
C0EC;Lasarte;18;20.6;20.8;24.0;23.1;29.4;36.7;38.5;37.1;37.1;26.6;22.6;20.0;38.5
C0DE;Matxinbenta;250;20.9;20.0;24.4;24.4;31.2;36.2;38.8;36.3;36.2;26.2;21.9;19.3;38.8
C017;Miramon;113;21.4;19.0;24.6;23.8;29.3;36.4;39.7;37.6;38.4;26.8;23.6;21.1;39.7
C0F4;Oiartzun;53;22.2;19.4;25.1;23.2;28.5;36.4;38.8;36.2;37.6;25.8;24.9;21.3;38.8
C0D1;Oñati;195;20.1;20.0;22.7;23.0;30.0;35.5;38.4;37.1;38.3;27.6;22.7;18.8;38.4
C043;Ordizia;243;20.7;20.6;24.7;23.1;30.4;36.0;39.1;37.1;38.9;28.1;22.5;21.0;39.1
C0D2;San Prudentzio;175;19.8;20.7;23.2;23.1;29.9;36.2;39.7;38.3;38.6;28.5;23.1;19.2;39.7
C007;Santa Clara;48;20.8;19.5;24.7;22.5;27.5;34.3;37.0;33.0;35.9;24.0;23.4;19.4;37.0
C0D0;Urkulu;340;18.3;18.3;21.4;22.2;28.5;33.9;37.1;37.0;37.9;27.0;22.6;17.5;37.9
C064;Zarautz;80;20.3;18.2;24.3;22.2;25.4;34.4;36.9;33.2;37.0;24.2;22.8;20.4;37.0
C028;Zegama;520;19.2;18.1;22.5;21.4;28.7;35.0;37.2;37.6;38.3;26.4;21.7;17.1;38.3
C029;Zizurkil;149;20.8;21.1;24.6;22.7;30.9;37.5;39.8;38.1;37.5;28.9;22.7;20.6;39.8
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;TEMPERATURA MÁXIMA ABSOLUTA (ºC);;;;;;;;;;;
