COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;TEMPERATURA MÁXIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C009;Galdakao;30;20.3;21.1;20.6;29.7;25.4;30.7;31.7;38.4;34.8;29.3;22.1;20.0;38.4
C038;Galindo;5;20.5;20.9;21.3;31.3;26.0;30.1;30.1;36.7;35.5;29.6;23.2;20.7;36.7
C033;Igorre;150;19.5;20.6;19.7;28.3;26.4;30.1;31.0;36.5;34.0;29.8;21.7;20.7;36.5
C0BD;Iruzubieta;110;18.5;20.6;18.9;28.9;25.4;30.8;28.4;34.7;32.8;28.3;21.1;19.0;34.7
C036;Iurreta;180;18.9;21.3;19.2;29.7;26.5;31.2;31.8;37.6;34.6;30.7;21.9;21.5;37.6
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;TEMPERATURA MÁXIMA ABSOLUTA (ºC);;;;;;;;;;;
C045;La Garbea;717;14.8;15.0;14.6;24.9;23.2;27.1;27.4;33.6;31.2;26.2;17.2;16.7;33.6
C0B7;Mañaria;168;16.7;19.6;18.6;28.5;26.3;30.8;31.4;37.0;32.6;27.9;20.4;19.2;37.0
C019;Matxitxako;433;17.7;17.6;17.1;27.8;22.2;25.9;24.8;29.7;31.0;25.1;20.4;17.4;31.0
C057;Mungia;22;21.0;21.2;21.1;30.2;24.0;28.0;28.7;37.9;35.2;28.7;23.4;20.0;37.9
C063;Muxika;16;20.5;20.3;20.6;30.4;25.5;30.3;29.8;36.3;34.0;29.6;23.3;19.6;36.3
C046;Oiz;980;11.3;12.0;11.0;22.1;18.2;25.5;23.9;29.5;25.8;21.6;14.7;14.8;29.5
C0BA;Oleta;14;21.4;21.1;21.0;31.5;26.4;29.3;28.6;32.5;31.7;28.7;23.6;19.4;32.5
C059;Ordunte;300;17.2;16.1;17.4;28.1;25.0;29.2;29.8;35.3;32.1;29.7;19.8;20.0;35.3
C072;Orduña;934;12.8;13.6;13.9;22.9;21.6;26.7;24.4;31.5;29.1;22.7;14.6;15.6;31.5
C0B4;Orozko;200;19.3;19.6;19.4;28.9;26.5;30.5;31.3;37.5;34.7;30.2;21.8;21.3;37.5
C054;Otxandio;556;15.9;16.0;16.4;25.8;24.0;29.5;29.3;34.5;30.0;25.2;17.7;16.0;34.5
C042;Punta Galea;61;19.6;20.2;20.1;29.6;23.0;25.1;26.5;32.7;34.3;29.2;22.6;19.8;34.3
C0B9;Sangroniz;10;19.8;20.5;20.7;30.1;24.1;30.0;30.1;37.0;34.7;28.6;22.3;19.6;37.0
C0C3;Sodupe;56;20.1;20.7;20.4;30.6;26.4;30.1;31.5;38.9;36.1;31.0;23.0;19.6;38.9
C066;Untzueta;764;14.0;14.8;16.5;24.0;22.0;26.7;27.5;33.7;30.1;26.0;17.3;17.8;33.7
C022;Urkiola;709;14.5;14.2;13.9;23.3;21.6;25.8;25.5;31.5;28.9;23.5;16.2;14.7;31.5
C0B3;Urkizu;75;19.8;20.6;19.8;28.6;26.5;30.0;30.5;36.9;33.8;29.7;22.0;20.1;36.9
C037;Venta Alta;162;19.3;19.6;19.0;28.9;24.5;29.9;30.7;37.9;34.5;28.9;21.7;24.4;37.9
C0E5;Agauntza;180;17.1;20.0;18.8;27.7;26.4;32.2;29.8;34.9;31.7;27.3;19.6;20.5;34.9
C0DB;Aitzu;312;17.3;19.3;18.2;28.8;26.2;31.5;30.8;36.2;32.7;26.9;20.1;16.8;36.2
C0D3;Aixola;320;16.2;18.4;17.6;27.2;24.2;28.3;27.6;33.9;31.2;26.7;19.2;19.2;33.9
C0DD;Aizarnazabal;25;18.2;18.8;19.8;28.7;25.5;29.6;27.3;33.4;31.7;26.8;19.9;18.5;33.4
C0E9;Alegia;90;19.9;23.2;20.6;29.8;27.6;31.8;32.0;37.9;35.0;30.4;22.6;19.2;37.9
C078;Altzola;17;18.1;20.7;20.3;29.3;25.0;30.4;27.7;33.1;34.0;28.8;22.3;18.9;34.0
C052;Ameraun;285;17.6;19.3;17.3;28.0;24.6;30.4;29.1;34.1;31.4;27.6;19.8;22.0;34.1
C0E1;Amundarain;111;18.3;20.4;18.8;28.5;26.8;31.8;29.3;35.7;32.6;28.3;20.3;21.8;35.7
C077;Andoain;52;19.1;20.6;19.1;28.2;25.7;30.6;27.9;35.2;32.4;28.3;21.6;18.4;35.2
C080;Añarbe;184;19.4;21.3;19.1;28.8;25.7;29.4;30.0;35.7;32.4;27.6;21.2;19.2;35.7
C0E8;Araxes;141;17.3;21.1;19.3;27.9;25.7;30.5;29.4;35.6;33.2;28.8;20.6;17.1;35.6
C023;Arrasate;318;19.0;18.6;18.6;28.5;26.8;31.1;31.0;36.9;34.4;29.3;20.8;19.4;36.9
C084;Behobia;5;19.8;19.2;19.7;29.4;25.1;30.7;29.8;34.8;33.8;27.9;21.6;18.8;34.8
C0EA;Belauntza;105;18.3;21.0;19.3;28.0;26.0;30.3;29.8;36.4;33.6;28.7;20.9;17.1;36.4
C026;Berastegi;379;16.5;19.1;16.7;26.4;24.0;30.2;28.3;34.4;31.6;26.2;19.5;21.6;34.4
C058;Bidania;592;15.0;17.0;14.7;24.2;22.2;28.1;26.6;32.3;29.4;24.6;16.9;19.2;32.3
C0F0;Ereñozu;25;18.4;19.4;20.0;28.6;25.3;28.6;27.4;31.4;29.0;26.9;20.5;17.9;31.4
C0F1;Eskas;650;14.9;17.1;15.1;24.7;22.6;29.1;27.8;33.4;30.1;25.1;19.4;20.3;33.4
C0E7;Estanda;195;18.4;21.2;19.4;28.5;27.2;33.0;31.2;37.2;34.1;28.8;21.2;21.0;37.2
C018;Higer;43;19.8;19.4;20.2;28.6;24.0;28.4;28.3;30.9;27.6;;;;30.9
C0DC;Ibai Eder;90;20.0;23.2;20.6;30.4;27.7;33.2;30.9;39.4;35.6;31.6;23.7;22.7;39.4
C071;Jaizkibel;545;16.1;18.7;15.8;27.2;22.5;29.1;25.1;32.4;31.6;27.0;19.2;16.8;32.4
C0EC;Lasarte;18;19.6;19.3;19.7;28.8;25.8;31.1;28.0;34.8;34.3;28.9;22.0;19.7;34.8
C0DE;Matxinbenta;250;15.7;18.8;18.3;26.3;23.7;28.3;27.2;33.5;31.0;26.2;18.8;18.2;33.5
C017;Miramon;113;20.4;20.5;20.0;29.4;26.4;31.4;28.2;34.5;32.5;28.9;22.3;18.6;34.5
C0F4;Oiartzun;53;20.2;20.5;20.2;29.3;25.9;31.3;29.1;33.8;33.8;29.6;22.8;18.4;33.8
C0D1;Oñati;195;18.4;19.4;19.6;28.6;26.3;32.3;31.4;36.4;33.0;28.2;20.9;21.0;36.4
C043;Ordizia;243;18.8;22.0;19.3;29.4;27.5;31.9;31.0;37.3;33.2;29.4;21.9;21.8;37.3
C0D2;San Prudentzio;175;18.4;19.2;19.6;29.3;27.3;31.5;31.7;37.8;33.9;29.2;21.1;20.2;37.8
C007;Santa Clara;48;20.5;19.7;19.9;28.3;25.5;27.6;25.9;30.1;23.7;;;;30.1
C0D0;Urkulu;340;18.2;19.0;18.5;28.0;26.9;32.0;31.7;35.0;32.4;27.3;20.3;19.0;35.0
C064;Zarautz;80;19.7;19.8;19.4;28.4;25.3;28.5;26.0;30.8;33.5;28.1;21.6;19.6;33.5
C028;Zegama;520;16.5;17.8;16.5;25.3;24.4;30.6;29.9;33.8;30.7;24.5;17.2;19.2;33.8
C029;Zizurkil;149;19.6;22.8;19.5;28.4;27.0;30.6;29.5;36.9;33.8;29.4;21.8;19.3;36.9
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;TEMPERATURA MÁXIMA ABSOLUTA (ºC);;;;;;;;;;;
