COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;IRRADIACIÓN MEDIA DIARIA (MJ/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C035;Altube;618;4.6;6.1;11.3;14.9;16.3;19.3;21.4;20.1;16.9;9.4;5.7;5.0;12.6
C016;Arkauti;517;4.4;6.7;11.4;15.6;16.5;20.9;21.9;20.8;16.5;9.5;6.1;5.0;12.9
C0AA;Etura;549;4.6;6.3;11.1;15.5;16.2;21.1;22.5;20.6;17.1;9.8;5.7;4.8;12.9
C040;Gasteiz;546;4.8;6.7;12.1;16.0;17.0;20.5;22.3;20.4;16.8;9.8;6.3;5.4;13.2
C048;Herrera;1188;4.6;4.7;9.9;14.6;14.9;18.7;21.0;20.3;15.6;9.3;5.4;5.2;12.0
C024;Iturrieta;987;4.6;6.0;10.1;15.1;15.0;22.4;22.5;21.3;17.3;9.5;5.1;4.8;12.8
C00A;Kanpezu;550;4.8;6.2;11.4;15.4;17.2;21.3;23.5;21.3;17.2;10.0;5.4;4.7;13.2
C031;Moreda;490;5.6;7.0;12.8;16.8;19.4;22.4;25.2;23.0;17.1;10.1;5.7;5.0;14.2
C041;Navarrete;689;4.7;6.1;10.8;15.1;15.6;20.8;21.8;20.4;16.5;9.5;5.4;4.7;12.6
C060;Páganos;577;5.7;6.7;12.2;16.9;19.8;22.4;24.1;23.3;17.6;10.2;6.0;5.2;14.2
C030;Salvatierra;589;4.7;6.9;11.2;15.7;15.9;20.7;21.2;20.3;17.5;10.0;6.0;4.9;12.9
C051;Saratxo;230;;;;;;;18.8;18.9;15.5;9.2;6.8;4.7;
C00B;Tobillas;700;5.0;6.8;11.3;14.5;15.8;20.0;19.8;20.7;16.5;9.2;5.7;4.6;12.5
C020;Trebiño;578;5.2;6.2;11.7;15.6;16.9;20.2;22.2;20.9;16.3;9.8;6.1;4.9;13.0
C050;Zambrana;470;5.0;6.7;11.6;15.8;17.5;20.0;21.6;20.2;16.4;9.0;6.0;4.7;12.9
C061;Arboleda;329;4.2;5.5;10.7;12.8;15.2;15.7;15.5;18.1;13.9;8.7;;;
C002;Arteaga;19;4.5;6.1;11.2;14.0;16.3;17.5;18.2;18.0;15.8;9.6;5.9;4.4;11.8
C069;Bermeo;106;4.5;6.1;11.5;14.7;17.3;18.5;19.3;18.9;15.9;9.6;6.1;4.2;12.2
C065;Cerroja;677;4.2;5.7;10.3;13.5;15.7;17.9;15.7;19.1;15.0;9.6;6.4;4.7;11.5
C003;Derio;30;;;;;;16.8;16.5;18.3;14.5;9.2;6.0;4.3;
C039;Deusto;3;4.5;5.9;11.4;14.5;16.4;18.7;17.8;18.6;15.0;9.8;6.4;4.7;12.0
C033;Igorre;150;4.1;5.5;10.6;13.4;14.4;;;;;;;;
C036;Iurreta;180;4.2;6.2;10.4;14.1;15.0;17.1;18.1;18.3;15.7;9.2;6.2;4.6;11.6
C019;Matxitxako;433;4.0;5.3;10.6;14.1;15.8;16.7;16.3;18.3;14.8;8.7;6.2;4.0;11.2
C057;Mungia;22;4.0;5.9;10.8;14.1;15.6;17.7;18.4;18.5;15.4;9.3;5.9;4.2;11.7
G059;Ordunte;300;4.5;6.2;10.9;14.5;16.7;18.6;19.4;19.3;16.3;9.5;6.3;4.6;12.2
C054;Otxandio;556;4.1;6.1;10.6;13.5;14.1;18.0;18.7;18.7;15.6;9.1;6.1;4.3;11.6
C022;Urkiola;709;4.1;5.7;9.3;12.9;13.2;15.6;16.4;17.8;15.5;8.7;5.9;4.4;10.8
C037;Venta Alta;162;4.3;5.9;10.7;13.3;16.6;17.7;18.0;18.3;15.4;9.0;6.1;4.5;11.7
C023;Arrasate;318;4.1;5.8;10.5;13.0;13.6;17.0;18.0;18.3;15.5;9.3;6.3;4.8;11.4
C058;Bidania;592;4.2;6.0;10.0;13.8;13.7;16.8;18.3;18.4;16.1;9.2;5.9;4.5;11.4
C018;Higer;43;;;;;;16.5;21.8;19.4;16.3;9.3;5.6;4.0;
C0DC;Ibai Eder;90;3.7;5.8;10.2;13.8;14.7;16.6;19.0;17.0;15.4;8.6;5.1;3.5;11.1
C0EC;Lasarte;18;4.0;5.8;9.6;12.5;13.7;15.5;17.7;17.0;14.5;8.2;5.6;3.8;10.7
C043;Ordizia;243;3.9;6.0;10.4;13.8;13.8;16.5;18.5;18.0;15.6;9.1;5.7;4.3;11.3
C007;Santa Clara;48;4.3;5.9;10.4;13.1;15.6;17.9;20.5;18.9;16.1;8.9;5.8;4.2;11.8
C029;Zizurkil;149;4.1;6.0;10.1;13.3;14.0;15.3;16.8;16.9;15.0;8.7;6.0;4.2;10.9
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;IRRADIACIÓN MEDIA DIARIA (MJ/m2);;;;;;;;;;;
