COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;IRRADIACIÓN MEDIA DIARIA (MJ/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C035;Altube;618;4.0;11.5;14.7;16.7;19.1;23.3;21.7;20.7;15.6;10.0;4.4;4.4;13.8
C016;Arkauti;517;4.4;11.3;15.4;15.9;19.5;24.4;22.2;21.4;15.7;10.0;4.6;4.2;14.1
C0AA;Etura;549;4.5;11.0;15.3;16.2;19.2;24.4;22.6;21.5;15.7;10.3;4.6;4.7;14.2
C040;Gasteiz;546;4.6;11.5;15.7;16.5;19.8;24.2;22.1;21.1;16.0;10.6;5.0;4.6;14.3
C048;Herrera;1188;3.9;11.3;14.5;15.6;18.0;23.1;21.2;20.3;15.3;10.2;4.1;4.8;13.5
C024;Iturrieta;987;4.0;12.0;14.7;16.2;18.3;25.1;24.5;;;;;;
C00A;Kanpezu;550;4.3;11.7;15.6;16.8;19.5;25.4;23.6;22.4;16.9;10.2;4.6;4.5;14.6
C031;Moreda;490;5.0;11.9;16.4;17.5;21.3;26.3;24.4;23.3;17.6;11.0;5.6;4.7;15.4
C041;Navarrete;689;3.7;11.9;16.7;17.6;21.5;26.7;25.5;22.5;17.4;9.8;5.1;5.1;15.3
C060;Páganos;577;5.4;12.2;16.6;17.8;20.4;24.7;23.7;22.4;17.0;11.4;5.4;4.8;15.1
C030;Salvatierra;589;4.5;11.6;15.2;16.4;19.1;23.4;22.7;21.1;16.2;10.3;4.3;4.7;14.1
C051;Saratxo;230;4.0;11.0;14.4;16.1;19.0;21.2;18.7;13.4;;;;;
C00B;Tobillas;700;3.9;10.8;15.0;15.8;20.2;22.7;20.7;19.9;14.8;9.9;4.5;3.8;13.5
C020;Trebiño;578;4.0;10.8;14.8;15.5;18.9;24.1;22.1;20.8;15.6;11.1;5.0;4.5;13.9
C050;Zambrana;470;4.5;11.4;15.8;16.4;20.2;24.6;22.2;21.3;15.7;10.8;5.1;3.9;14.3
C002;Arteaga;19;4.0;10.0;14.5;15.4;19.4;20.5;19.2;17.4;15.5;9.2;4.1;4.5;12.8
C069;Bermeo;106;3.7;10.5;14.6;16.1;19.8;21.1;19.1;17.8;15.6;9.1;4.0;4.1;13.0
C065;Cerroja;677;3.9;11.0;15.1;15.9;18.8;19.4;19.0;16.9;14.9;9.6;4.3;4.8;12.8
C003;Derio;30;3.6;10.4;13.9;14.7;18.7;18.5;18.6;16.8;14.3;9.0;1.7;0.9;11.8
C039;Deusto;3;3.9;10.7;14.6;15.7;19.6;18.9;19.7;17.5;15.1;9.1;4.0;4.7;12.8
C036;Iurreta;180;4.0;10.6;14.3;15.4;18.1;21.1;19.5;17.7;15.5;9.5;4.1;4.6;12.9
C019;Matxitxako;433;3.4;10.4;14.4;14.4;17.8;19.4;18.0;16.8;14.7;8.5;3.6;4.1;12.1
C057;Mungia;22;3.9;10.4;14.0;15.2;19.2;19.9;18.7;17.4;15.0;9.1;3.6;4.2;12.6
G059;Ordunte;300;4.0;10.8;15.0;16.1;18.5;21.7;20.9;19.3;14.9;9.5;4.3;4.8;13.3
C054;Otxandio;556;3.9;11.5;14.1;15.4;17.3;20.6;18.7;17.9;15.6;9.1;3.9;4.4;12.7
C022;Urkiola;709;3.7;10.9;13.8;14.5;17.2;20.5;18.8;17.4;14.4;9.3;3.8;4.4;12.4
C037;Venta Alta;162;3.9;10.4;14.0;15.1;19.6;20.6;19.1;17.7;14.7;9.2;4.1;4.4;12.7
C023;Arrasate;318;4.0;10.8;14.1;14.7;17.6;20.4;19.0;17.7;15.2;9.5;4.0;4.8;12.7
C058;Bidania;592;3.6;11.1;13.7;15.1;18.1;21.9;18.7;18.0;15.3;9.7;3.7;4.6;12.8
C018;Higer;43;4.0;10.3;14.4;15.9;20.3;21.3;19.9;18.8;16.5;9.4;4.2;4.4;13.3
C0DC;Ibai Eder;90;3.0;9.4;13.5;14.2;17.7;20.6;18.8;16.7;15.0;9.1;3.7;3.7;12.1
C0EC;Lasarte;18;3.7;9.9;13.4;14.5;17.7;18.7;16.8;16.3;14.1;8.7;3.6;4.1;11.8
C043;Ordizia;243;3.7;10.2;13.8;15.1;17.9;21.0;19.3;17.4;15.0;8.9;3.9;4.3;12.5
C007;Santa Clara;48;3.8;10.9;14.5;15.0;19.0;19.9;18.8;17.1;16.2;8.4;3.7;4.3;12.6
C029;Zizurkil;149;3.9;10.3;13.2;14.7;17.1;18.5;17.3;15.9;14.6;9.1;3.9;4.3;11.9
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;IRRADIACIÓN MEDIA DIARIA (MJ/m2);;;;;;;;;;;
