COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MEDIO
;;;;;NIVEL MEDIO (m);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;0.156;0.129;0.070;0.059;0.050;0.057;0.057;0.054;0.052;0.044;0.043;0.129;0.075
C0A4;Albaina;594;;;0.317;0.269;0.189;0.145;0.114;0.100;0.101;0.090;0.138;0.318;
C056;Alegria;545;0.400;0.459;0.306;0.252;0.525;0.414;0.388;0.316;0.478;0.083;0.120;0.381;0.343
C0A3;Antoñana;556;0.623;0.656;0.547;0.503;0.438;0.419;0.416;0.410;0.408;0.428;0.464;0.670;0.498
C0A2;Egino;573;0.360;0.385;0.284;0.208;;0.107;0.092;0.039;0.095;0.052;0.200;0.413;
C0AA;Etura;549;0.469;0.512;0.359;0.271;0.156;0.141;0.109;0.054;0.086;0.073;0.135;0.539;0.242
C067;Gardea;141;0.360;0.281;0.278;0.213;0.167;0.177;0.142;0.086;0.089;0.078;0.196;0.497;0.214
C055;Ozaeta;548;0.490;0.395;0.411;0.365;0.313;0.206;0.017;;0.015;0.025;0.072;0.300;
C0A1;Pagoeta;705;0.177;0.188;0.191;0.209;0.208;0.199;0.171;0.167;0.164;0.157;0.148;0.164;0.179
C051;Saratxo;230;0.295;0.218;0.198;0.178;0.144;0.140;0.100;0.078;0.060;0.070;0.161;0.356;0.167
C0A0;Sarria;655;0.350;0.281;0.243;0.193;0.172;0.135;0.103;0.065;0.092;0.041;0.176;0.327;0.181
C0B1;Abusu (La Peña);23;0.778;0.514;0.434;0.338;0.221;0.179;0.156;0.090;0.178;0.085;0.422;1.050;0.370
C079;Amorebieta;65;0.617;0.496;0.484;0.396;0.333;0.298;0.299;0.265;0.334;0.251;0.465;0.812;0.421
C0C1;Aranguren;92;0.811;0.688;0.593;0.555;0.488;0.462;0.414;0.362;0.395;0.405;0.578;1.222;0.581
C032;Areta;122;0.368;0.304;0.303;0.279;0.260;0.254;0.239;0.226;0.235;0.227;0.284;0.413;0.283
C0C2;Balmaseda;178;0.401;0.328;0.307;0.292;0.273;0.269;0.262;0.252;0.254;0.247;0.289;0.492;0.306
C0BE;Berriatua;25;0.368;0.299;0.323;0.226;0.193;0.172;0.146;0.139;0.205;0.144;0.320;0.556;0.257
C074;Elorrio;167;0.245;0.214;0.214;0.164;0.132;0.120;0.116;0.090;0.105;0.089;0.166;0.321;0.165
C009;Galdakao;30;;;;;;;;;;;0.870;1.690;
C0BD;Iruzubieta;110;0.277;0.248;0.250;0.187;0.164;0.147;0.130;0.111;0.161;0.114;0.239;0.395;0.202
C0B7;Mañaria;168;0.338;0.257;0.251;0.202;0.172;0.146;0.157;0.137;0.190;0.111;0.261;0.424;0.220
C057;Mungia;22;0.976;0.677;0.774;0.509;0.419;0.372;0.350;0.319;0.585;0.384;0.799;1.493;0.638
C063;Muxika;16;0.318;0.263;0.263;0.206;0.169;0.151;0.135;0.119;0.157;0.121;0.227;0.470;0.216
C0BA;Oleta;14;0.355;0.257;0.300;0.205;0.177;0.151;0.137;0.130;0.218;0.147;0.305;0.512;0.241
C0B4;Orozko;200;0.273;0.130;0.121;0.082;0.048;0.043;0.034;0.012;0.020;0.014;0.074;0.305;0.096
C054;Otxandio;556;0.485;0.315;0.296;0.219;0.150;0.093;0.080;0.043;0.086;0.044;0.261;0.556;0.219
C0B9;Sangroniz;10;0.653;0.530;0.552;0.486;0.411;0.392;0.384;0.372;0.459;0.381;0.588;0.870;0.506
C0C4;Sodupe-Cadagua;56;0.495;0.413;0.372;0.349;0.342;0.327;0.290;0.268;0.270;0.252;0.329;0.610;0.360
C0B3;Urkizu;75;0.631;0.493;0.315;0.307;0.216;0.201;0.221;0.173;0.203;0.176;0.342;0.777;0.338
C0E5;Agauntza;180;0.388;0.348;0.327;0.232;0.168;0.185;0.158;0.147;0.172;0.159;0.312;0.488;0.257
C0DB;Aitzu;312;0.326;0.282;0.262;0.198;0.129;0.126;0.125;0.100;0.130;0.111;0.234;0.448;0.206
C0D3;Aixola;320;0.113;0.108;0.111;0.102;0.099;0.099;0.094;0.080;0.070;0.055;0.084;0.166;0.098
C0DD;Aizarnazabal;25;0.674;0.542;0.568;0.444;0.362;0.347;0.316;0.313;0.380;0.298;0.539;0.808;0.466
C0E9;Alegia;90;0.617;0.573;0.514;0.379;0.282;0.297;0.261;0.237;0.291;0.274;0.480;0.788;0.416
C078;Altzola;17;0.763;0.634;0.618;0.492;0.381;0.350;0.337;0.293;0.350;0.302;0.544;0.937;0.500
C052;Ameraun;285;;0.306;0.317;0.155;0.194;;;;0.192;0.203;0.414;0.592;
C0E1;Amundarain;111;0.376;0.346;0.331;0.218;0.152;0.189;0.169;0.163;0.235;0.224;0.363;0.475;0.270
C077;Andoain;52;0.617;0.547;0.618;0.503;0.334;0.294;0.276;0.272;0.366;0.299;0.562;0.687;0.448
C080;Añarbe;184;0.488;0.358;0.449;0.334;0.211;0.230;0.231;0.279;0.377;0.318;0.468;0.579;0.360
C0E8;Araxes;141;0.552;0.457;0.460;0.343;0.235;0.239;0.225;0.205;0.303;0.253;0.501;0.653;0.369
C0EA;Belauntza;105;0.353;0.288;0.304;0.254;0.206;0.189;0.171;0.161;0.200;0.181;0.317;0.386;0.251
C0F0;Ereñozu;25;0.721;0.636;0.667;0.541;0.389;0.388;0.362;0.356;0.523;0.415;0.684;0.882;0.547
C0E7;Estanda;195;0.269;0.240;0.224;0.171;0.117;0.106;0.098;0.086;0.089;0.086;0.156;0.340;0.165
C0DC;Ibai Eder;90;0.316;0.269;0.283;0.208;0.170;0.156;0.146;0.137;0.154;0.133;0.235;0.375;0.215
C0EC;Lasarte;18;0.919;0.700;0.712;0.539;0.409;0.424;0.397;0.385;0.495;0.422;0.761;1.022;0.599
C0DE;Matxinbenta;250;0.219;0.170;0.189;0.135;0.093;0.089;0.085;0.067;0.082;0.065;0.161;0.288;0.137
C0F4;Oiartzun;53;0.379;0.314;0.374;0.285;0.213;0.226;0.201;0.212;0.343;0.244;0.399;0.486;0.307
C0D1;Oñati;195;0.468;0.409;0.377;0.277;0.190;0.176;0.183;0.148;0.180;0.172;0.366;0.596;0.295
C0D2;San Prudentzio;175;0.548;0.485;0.452;0.388;0.291;0.267;0.243;0.209;0.242;0.219;0.357;0.665;0.364
C0D0;Urkulu;340;0.159;0.144;0.167;0.092;0.070;0.075;0.085;0.058;0.079;0.053;0.140;0.232;0.113
COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MEDIO
;;;;;NIVEL MEDIO (m);;;;;;;;;;
