COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MEDIO
;;;;;NIVEL MEDIO (m);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;0.498;0.412;0.052;0.059;0.040;0.051;0.056;0.051;0.056;0.049;0.165;0.309;0.150
C0A4;Albaina;594;0.429;0.463;0.243;0.263;0.245;0.187;0.100;0.074;0.066;0.090;0.373;0.431;0.247
C056;Alegria;545;0.500;0.653;0.246;0.242;0.311;0.317;0.316;0.519;0.516;0.394;0.533;0.540;0.424
C0A3;Antoñana;556;0.609;0.592;0.494;0.522;0.492;0.451;0.451;0.439;0.437;0.430;0.683;0.654;0.521
C0A2;Egino;573;0.363;0.436;0.223;0.208;0.246;0.130;0.067;0.048;0.050;0.066;0.504;0.431;0.231
C0AA;Etura;549;0.533;0.524;0.233;0.231;0.243;0.167;0.103;0.110;0.113;0.108;0.660;0.595;0.302
C067;Gardea;141;0.384;0.351;0.194;0.209;0.159;0.104;0.087;0.080;0.101;0.120;0.444;0.376;0.217
C055;Ozaeta;548;0.298;0.219;0.090;0.104;0.143;0.072;;;;;0.322;0.245;
C0A1;Pagoeta;705;0.223;0.262;0.231;0.243;0.239;0.241;0.233;0.224;0.205;0.180;0.221;0.219;0.227
C051;Saratxo;230;0.413;0.489;0.164;0.178;0.155;0.097;0.085;0.079;0.088;0.104;0.334;0.260;0.204
C0A0;Sarria;655;0.493;0.465;0.265;0.232;0.246;0.158;0.068;0.075;0.126;0.138;0.468;0.316;0.254
C0B1;Abusu (La Peña);23;0.778;0.729;0.266;0.300;0.255;0.134;0.092;0.086;0.121;0.176;1.083;0.824;0.404
C079;Amorebieta;65;0.614;0.530;0.376;0.395;0.421;0.316;0.278;0.270;0.291;0.336;0.834;0.634;0.441
C0C1;Aranguren;92;1.022;0.948;0.509;0.572;0.506;0.465;0.415;0.405;0.455;0.461;1.066;0.966;0.649
C032;Areta;122;0.376;0.359;0.240;0.271;0.263;0.231;0.226;0.218;0.222;0.183;0.357;0.309;0.271
C0C2;Balmaseda;178;0.511;0.445;0.297;0.303;0.283;0.266;0.257;0.255;0.259;0.257;0.437;0.445;0.335
C0BE;Berriatua;25;0.384;0.327;0.231;0.234;0.240;0.192;0.162;0.152;0.150;0.189;0.553;0.415;0.269
C074;Elorrio;167;0.254;0.221;0.146;0.157;0.176;0.132;0.105;0.108;0.108;0.125;0.354;0.283;0.181
C009;Galdakao;30;1.288;1.217;0.605;0.658;0.652;0.501;0.453;0.436;0.470;0.556;1.821;1.391;0.837
C0BD;Iruzubieta;110;0.290;0.249;0.186;0.190;0.206;0.163;0.131;0.128;0.138;0.180;0.445;0.324;0.219
C0B7;Mañaria;168;0.324;0.303;0.190;0.202;0.213;0.153;0.114;0.122;0.130;0.169;0.483;0.323;0.227
C057;Mungia;22;1.081;0.729;0.524;0.567;3.624;;0.309;0.279;0.314;0.482;1.679;0.920;
C063;Muxika;16;0.355;0.283;0.207;0.235;0.227;0.148;0.145;0.127;0.144;0.164;0.516;0.362;0.243
C0BA;Oleta;14;0.370;0.288;0.205;0.219;0.226;0.165;0.128;0.120;0.129;0.185;0.572;0.393;0.250
C0B4;Orozko;200;0.301;0.207;0.069;0.103;0.081;0.034;0.031;0.029;0.042;0.041;0.260;0.216;0.118
C054;Otxandio;556;0.436;0.298;0.143;0.176;0.199;0.070;0.030;0.030;0.042;0.092;0.600;0.320;0.203
C0B9;Sangroniz;10;0.620;0.554;0.489;0.492;0.456;0.411;0.388;0.373;0.400;0.426;0.843;0.622;0.506
C0C4;Sodupe-Cadagua;56;0.552;0.511;0.347;0.342;0.281;0.261;0.195;0.146;0.209;0.209;0.539;0.520;0.343
C0B3;Urkizu;75;0.609;0.672;0.241;0.239;0.225;0.165;0.132;0.166;0.180;0.215;0.803;0.766;0.368
C0E5;Agauntza;180;0.403;0.370;0.257;0.263;0.260;0.173;0.137;0.144;0.125;0.147;0.455;0.355;0.257
C0DB;Aitzu;312;0.349;0.314;0.210;0.235;0.230;0.150;0.108;0.121;0.113;0.130;0.482;0.342;0.232
C0D3;Aixola;320;0.154;0.154;0.106;0.109;0.113;0.098;0.082;0.073;0.071;0.073;0.196;0.164;0.116
C0DD;Aizarnazabal;25;0.622;0.597;0.409;0.455;0.433;0.355;0.299;0.287;0.264;0.303;0.796;0.634;0.454
C0E9;Alegia;90;0.640;0.636;0.412;0.436;0.430;0.313;0.257;0.262;0.228;0.269;0.781;0.633;0.441
C078;Altzola;17;0.763;0.719;0.462;0.513;0.501;0.374;0.307;0.309;0.307;0.354;0.978;0.790;0.531
C052;Ameraun;285;0.506;0.521;0.337;0.345;0.443;0.349;0.294;0.276;0.165;0.183;0.644;0.428;0.374
C0E1;Amundarain;111;0.365;0.387;0.269;0.275;0.281;0.201;0.145;0.158;0.141;0.208;0.478;0.346;0.271
C077;Andoain;52;0.583;0.567;0.386;0.406;0.460;0.372;0.289;0.272;0.247;0.276;0.740;0.575;0.431
C080;Añarbe;184;0.459;0.493;0.312;0.313;0.462;0.331;0.250;0.279;0.270;0.319;0.672;0.514;0.390
C0E8;Araxes;141;0.538;0.505;0.348;0.362;0.401;0.295;0.215;0.196;0.195;0.227;0.659;0.522;0.372
C0EA;Belauntza;105;0.335;0.332;0.252;0.262;0.259;0.229;0.195;0.185;0.165;0.174;0.374;0.313;0.256
C0F0;Ereñozu;25;0.748;0.792;0.516;0.504;0.611;0.542;0.410;0.334;0.306;0.358;0.962;0.762;0.570
C0E7;Estanda;195;0.296;0.282;0.170;0.185;0.171;0.122;0.099;0.100;0.090;0.105;0.362;0.298;0.190
C0DC;Ibai Eder;90;0.321;0.313;0.202;0.226;0.203;0.176;0.154;0.149;0.138;0.139;0.368;0.322;0.226
C0EC;Lasarte;18;0.889;0.816;0.544;0.585;0.588;0.469;0.388;0.382;0.346;0.390;1.032;0.798;0.602
C0DE;Matxinbenta;250;0.218;0.210;0.132;0.162;0.144;0.109;0.079;0.079;0.067;0.082;0.292;0.227;0.150
C0F4;Oiartzun;53;0.376;0.401;0.283;0.294;0.367;0.300;0.231;0.215;0.191;0.260;0.564;0.414;0.325
C0D1;Oñati;195;0.480;0.434;0.265;0.309;0.333;0.215;0.152;0.171;0.169;0.190;0.612;0.432;0.313
C0D2;San Prudentzio;175;0.580;0.588;0.377;0.388;0.386;0.291;0.245;0.235;0.238;0.258;0.707;0.591;0.407
C0D0;Urkulu;340;0.184;0.148;0.085;0.125;0.115;0.068;0.052;0.060;0.069;0.076;0.242;0.163;0.116
COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MEDIO
;;;;;NIVEL MEDIO (m);;;;;;;;;;
