COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MEDIO
;;;;;NIVEL MEDIO (m);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;0.082;0.349;0.890;0.159;0.066;0.058;0.054;0.054;0.052;0.049;0.059;0.046;0.160
C056;Alegria;545;0.287;0.657;0.947;0.543;0.339;0.431;0.435;0.374;0.505;0.276;0.160;0.151;0.425
C0AA;Etura;549;0.397;0.691;0.741;0.418;0.250;0.164;0.096;0.049;0.067;0.069;0.182;0.193;0.276
C067;Gardea;141;0.270;0.503;0.573;0.392;0.209;0.140;0.111;0.093;0.111;0.093;0.215;0.150;0.238
C055;Ozaeta;548;0.133;0.329;0.413;0.218;0.095;0.096;0.111;0.115;0.084;0.109;0.304;0.314;0.193
C051;Saratxo;230;0.203;0.393;0.408;0.278;0.151;0.115;0.094;0.084;0.093;0.081;0.170;0.118;0.183
C0A0;Sarria;655;0.235;0.396;0.468;0.295;0.176;0.122;0.081;0.046;0.086;0.069;0.228;0.165;0.197
C0B1;Abusu (La Peña);23;0.430;1.021;1.177;0.576;0.244;0.165;0.101;0.060;0.142;0.076;0.421;0.179;0.383
C079;Amorebieta;65;0.470;0.806;0.799;0.493;0.341;0.307;0.274;0.240;0.275;0.251;0.473;0.303;0.419
C0C1;Aranguren;92;0.768;1.067;1.337;0.948;0.574;0.482;0.432;0.397;0.411;0.389;0.539;0.461;0.650
C032;Areta;122;0.281;0.413;0.455;0.341;0.257;0.241;0.233;0.220;0.242;0.225;0.289;0.247;0.287
C0C2;Balmaseda;178;0.318;0.487;0.638;0.404;0.307;0.279;0.261;0.255;0.258;0.253;0.288;0.270;0.335
C0BE;Berriatua;25;0.274;0.518;0.463;0.288;0.185;0.166;0.141;0.122;0.131;0.111;0.270;0.145;0.234
C074;Elorrio;167;0.189;0.340;0.342;0.229;0.143;0.119;0.108;0.095;0.097;0.090;0.168;0.115;0.170
C0BD;Iruzubieta;110;0.240;0.386;0.364;0.234;0.158;0.144;0.125;0.111;0.119;0.110;0.238;0.136;0.197
C0B7;Mañaria;168;0.243;0.411;0.446;0.255;0.168;0.155;0.137;0.111;0.127;0.111;0.276;0.151;0.216
C057;Mungia;22;0.662;1.520;1.238;0.568;0.439;0.404;0.342;0.286;0.357;0.313;0.903;0.436;0.622
C063;Muxika;16;0.255;0.472;0.440;0.241;0.183;0.163;0.144;0.126;0.146;0.120;0.254;0.147;0.224
C0BA;Oleta;14;0.263;0.544;0.446;0.261;0.157;0.142;0.116;0.097;0.116;0.104;0.319;0.144;0.226
C0B4;Orozko;200;0.133;0.341;0.400;0.187;0.080;0.055;0.063;0.066;0.055;0.025;0.109;0.078;0.133
C054;Otxandio;556;0.323;0.594;0.603;0.321;0.172;0.115;0.071;0.044;0.059;0.058;0.263;0.146;0.231
C0B9;Sangroniz;10;0.511;0.838;0.756;0.492;0.422;0.391;0.379;0.337;0.387;0.357;0.551;0.410;0.486
C0C4;Sodupe-Cadagua;56;0.390;0.584;0.729;0.520;0.354;0.308;0.284;0.269;0.275;0.262;0.351;0.326;0.388
C0B3;Urkizu;75;0.324;0.749;1.019;0.444;0.226;0.203;0.162;0.136;0.185;0.180;0.317;0.203;0.346
C0E5;Agauntza;180;0.278;0.432;0.472;0.340;0.199;0.200;0.169;0.143;0.152;0.148;0.288;0.168;0.249
C0DB;Aitzu;312;0.250;0.453;0.436;0.300;0.170;0.142;0.105;0.088;0.114;0.101;0.224;0.134;0.210
C0D3;Aixola;320;0.099;0.178;0.201;0.138;0.109;0.099;0.093;0.067;0.062;0.057;0.086;0.062;0.104
C0DD;Aizarnazabal;25;0.451;0.780;0.799;0.604;0.375;0.326;0.300;0.289;0.323;0.281;0.502;0.335;0.447
C0E9;Alegia;90;0.496;0.769;0.834;0.610;0.353;0.326;0.256;0.223;0.270;0.242;0.456;0.287;0.427
C078;Altzola;17;0.577;0.975;1.025;0.694;0.438;0.369;0.325;0.281;0.326;0.292;0.524;0.359;0.516
C052;Ameraun;285;0.566;0.803;0.967;0.656;0.479;0.482;0.453;0.333;0.120;0.194;0.302;0.025;0.448
C0E1;Amundarain;111;0.314;0.439;0.497;0.352;0.225;0.217;0.158;0.125;0.167;0.165;0.343;0.201;0.267
C077;Andoain;52;0.413;0.583;0.656;0.486;0.370;0.342;0.274;0.234;0.253;0.240;0.479;0.318;0.387
C080;Añarbe;184;0.317;0.542;0.585;0.412;0.296;0.261;0.226;0.256;;0.266;0.432;0.200;
C0E8;Araxes;141;0.420;0.607;0.647;0.467;0.310;0.264;0.198;0.179;0.200;0.200;0.408;0.273;0.348
C0EA;Belauntza;105;0.242;0.337;0.393;0.317;0.239;0.212;0.184;0.166;0.163;0.153;0.254;0.196;0.238
C0F0;Ereñozu;25;0.553;0.803;0.892;0.633;0.459;0.472;0.402;0.336;0.337;0.287;0.636;0.468;0.523
C0E7;Estanda;195;0.176;0.348;0.365;0.261;0.144;0.118;0.092;0.077;0.083;0.081;0.158;0.111;0.168
C0DC;Ibai Eder;90;0.190;0.382;0.445;0.335;0.197;0.174;0.154;0.141;0.155;0.132;0.226;0.157;0.224
C0EC;Lasarte;18;0.609;0.959;1.047;0.746;0.492;0.453;0.389;0.341;0.373;0.346;0.658;0.423;0.570
C0DE;Matxinbenta;250;0.139;0.273;0.273;0.213;0.123;0.090;0.077;0.067;0.077;0.064;0.154;0.087;0.137
C0F4;Oiartzun;53;0.295;0.465;0.451;0.323;0.241;0.250;0.181;0.131;0.193;0.168;0.411;0.225;0.278
C0D1;Oñati;195;0.377;0.587;0.666;0.433;0.232;0.192;0.164;0.118;0.180;0.152;0.343;0.205;0.304
C0D2;San Prudentzio;175;0.410;0.667;0.766;0.524;0.342;0.282;0.241;0.209;0.227;0.214;0.356;0.261;0.375
C0D0;Urkulu;340;0.149;0.219;0.253;0.156;0.073;0.071;0.060;0.043;0.058;0.036;0.147;0.071;0.111
COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MEDIO
;;;;;NIVEL MEDIO (m);;;;;;;;;;
