northing,easting,zone
"4795916,802","492268,3549",30
"4796647,592","493174,1626",30
"4795848,252","494088,0621",30
"4796120,393","492574,2193",30
"4797116,838","494080,5879",30
"4796109,664","492513,5852",30
"4796285,484","493913,7859",30
"4795576,96","494365,94",30
"4795873,1","493811,33",30
"4797128,183","493966,7027",30
"4793461,233","527185,1819",30
"4795118,721","527836,3818",30
"4795652,681","527073,7193",30
"4795917,736","527184,0284",30
"4794127,249","526601,1428",30
"4795520,254","527002,8989",30
"4795920,105","527164,5749",30
"4794502,437","527043,5064",30
"4795891,736","527184,1327",30
"4795681,298","527479,0702",30
"4794339,597","526968,9531",30
"4790494,092","481033,4298",30
"4794353,528","526159,9097",30
"4793077,49","527145,1717",30
"4794560,353","526550,7191",30
"4795728,972","527416,6653",30
"4794433,632","527060,0983",30
"4795758,614","527497,7897",30
"4795768,694","527424,2839",30
"4795175,604","527501,7193",30
"4794358,059","526473,623",30
"4796135,76","526872,0655",30
"4795971,819","526969,7766",30
"4794680,059","527857,3291",30
"4795922,155","526907,3297",30
"4794550,816","527137,7346",30
"4795055,032","527702,636",30
"4795260,288","527426,6257",30
"4793445,712","526170,4896",30
"4794096,819","526088,8723",30
"4794152,789","525974,1725",30
"4794167,13","525969,278",30
"4794055,657","526485,7598",30
"4794682,749","527863,9573",30
"4795182,34","527203,95",30
"4787328,927","500494,107",30
"4787145,186","499553,6813",30
"4787821,556","501005,0752",30
"4787723,132","501075,8477",30
"4787700,504","501029,633",30
"4788187,13","500975,2636",30
"4788112,944","500861,074",30
"4788143,578","500818,803",30
"4787142,457","499510,3111",30
,,30
"4786966,367","500599,043",30
"4787183,898","499594,269",30
"4787909,654","500700,5187",30
,,30
,,30
,,30
"4787402,568","500618,4094",30
"4787681,305","500939,1185",30
"4787303,73","500429,4129",30
"4787302,944","500408,24",30
"4788391,798","501007,5919",30
"4788248,27","499655,5172",30
"4788391,218","500725,7818",30
"4787599,884","501130,5631",30
"4788135,344","500857,9942",30
"4788116,667","500799,7063",30
"4788553,035","500563,3471",30
,,30
"4787801,562","500272,8907",30
"4788135,344","500857,9942",30
"4788135,344","500857,9942",30
"4788136,415","500805,3198",30
"4787700,504","501029,633",30
"4788135,344","500857,9942",30
"4788136,415","500805,3198",30
"4787365,319","501411,0049",30
"4788807,66","500411,8347",30
"4786471,431","500582,5128",30
"4786475,381","500570,6431",30
"4787099,604","500369,3305",30
"4787412,148","500573,1694",30
"4788248,013","500497,9712",30
"4787729,871","500447,5304",30
"4787741,633","500249,9086",30
"4787741,633","500249,9086",30
"4788485,17","500503,3345",30
"4788485,17","500503,3345",30
"4787589,14","501017,23",30
"4787596,99","500988,81",30
"4788272,89","500684,92",30
4786903,499373,30
4786903,499373,30
"4786624,086","521291,2703",30
"4783194,25","523524,35",30
"4786512,217","521328,6664",30
"4781419,317","526041,6528",30
"4784976,783","522190,745",30
"4786173,419","521562,3611",30
"4785713,017","522320,9774",30
"4784857,058","521750,2116",30
"4785319,896","522046,669",30
"4785365,467","522120,8345",30
"4783762,906","523927,6777",30
"4785673,759","522265,6812",30
"4784827,766","521701,4479",30
"4785751,009","522346,9935",30
"4785365,006","522108,2944",30
"4785263,356","521872,4882",30
"4783078,381","525134,4629",30
"4787480,143","521683,6084",30
"4785188,436","522248,9028",30
"4785035,795","521807,1794",30
"4785243,042","521800,7993",30
"4786010,094","523608,3741",30
"4786259,832","521675,8431",30
"4781399,44","526039,18",30
"4783427,827","524164,3215",30
"4786786,639","519724,6698",30
"4786527,032","521525,4963",30
"4784104,835","524250,219",30
"4785478,817","521791,9229",30
"4783514,643","524153,8704",30
"4782745,081","525837,0657",30
"4787214,5","523860,6158",30
"4782958,166","526190,0623",30
"4784559,042","520876,8275",30
"4785829,756","521302,6247",30
"4786376,529","522029,9313",30
"4781129,679","524995,6868",30
"4781464,142","524389,8404",30
"4782287,507","524123,6056",30
"4785826,309","524019,2768",30
"4785920,1","521917,71",30
"4783733,094","523237,0812",30
"4783600,881","524294,2253",30
"4785537,092","522488,3473",30
"4788678,532","521710,2944",30
"4786847,96","522479,52",30
"4786953,375","521629,144",30
"4782970,22","524681,4833",30
"4785024,519","522158,9915",30
"4785858,258","522490,4303",30
"4785003,034","521251,9362",30
"4785456,039","521346,2843",30
"4785494,031","521365,9735",30
"4786106,487","521505,6886",30
"4785069,681","521150,3521",30
"4786946,067","522404,2741",30
,,30
"4785394,35","521238,0772",30
"4785478,917","523606,7432",30
"4787078,956","522520,4782",30
"4785694,044","521630,0154",30
"4785981,614","522770,3034",30
"4783623,106","523328,837",30
"4783094,661","525148,5237",30
"4785874,88","521254,7528",30
"4784229,221","524537,4499",30
"4787655,73","520075,9322",30
"4787975,26","522830,9657",30
"4781470,534","526049,5424",30
"4781144,985","525026,271",30
"4781739,912","525871,5688",30
"4785283,907","521795,3884",30
"4785182,041","522255,594",30
"4786293,607","519432,8918",30
"4788458,459","520305,5375",30
"4784950,015","522136,6226",30
"4784980,725","523866,1774",30
,,30
