COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;PRECIPITACIÓN ACUMULADA (l/m2);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;106.3;54.1;45.2;20.8;52.6;76;12.1;16.3;16;29;77.9;149.7;656.0
C056;Alegria;545;87.5;45.6;39.8;20.3;42.6;129.5;19.8;24.8;26.3;22.8;59.4;107.5;625.9
C035;Altube;618;212.1;71.5;78.1;53.4;82.2;85.5;21;26.4;40.8;36.4;138.2;229;1074.6
C016;Arkauti;517;113.9;54.5;41.5;25.3;57.1;92.2;18.7;15.7;23.2;28.3;74.5;121.2;666.1
C034;Espejo;504;64.1;59.8;32.4;21;75.7;67.6;3.9;27.8;8.3;16.7;50.1;106.6;534.0
C0AA;Etura;549;133.3;66.4;64.2;28.5;44.4;89.1;17.4;18.3;13.8;20;92;119.9;707.3
C067;Gardea;141;185;67;85.4;49.8;76.6;89.7;52.5;41.5;67.5;15.1;161;222.5;1113.6
C044;Gorbea;662;334.7;81.2;58.4;50.9;78.2;73.4;22.1;25.5;40.1;32;204.8;228;1229.3
C048;Herrera;1188;85;54.9;36.6;25.7;62.8;89;36.6;44;12.8;34.1;58.7;107;647.2
C068;Ilarduia;596;189.4;114.3;107.3;44.7;47.7;109.8;26.6;50.8;33.9;45.1;133.2;257.7;1160.5
C024;Iturrieta;987;150.9;117.7;76.3;42.2;64.3;120.4;19.4;46.1;53.9;46.6;118.7;236.8;1093.3
C0A0;Kanpezu;550;72.2;86.8;53.5;19.5;69.6;91.2;24.9;20.7;9.6;35.1;39.8;112.3;635.2
C047;Kapildui;1173;128.2;64.7;40.5;33.9;53.7;91.5;45.4;55.7;37.3;32.7;100.7;125.9;810.2
C031;Moreda;490;25.1;40.8;25.2;4.6;47.1;53.3;75.2;18.5;5.1;17.8;30.6;47.3;390.6
C041;Navarrete;689;83.4;68.8;43.1;26;49.9;86.5;19.4;31.1;13.5;29.5;64.1;112.3;627.6
C055;Ozaeta;548;160.8;66.8;73.3;32.7;54.4;98.7;13.7;18.9;28.1;22.6;104.6;172.8;847.4
C060;Páganos;577;68.3;33.5;35.7;11.6;32.4;72.9;34.3;26;2.8;20.1;27.8;48.4;413.8
C030;Salvatierra;589;116;94.4;70.1;24.8;40.6;119.3;17.9;52.6;24.9;27.5;72.7;156.7;817.5
C051;Saratxo;230;134.9;53.4;54.5;43.9;63.4;94.8;22.9;26.8;32.7;17.6;102.7;187.7;835.3
C0A0;Sarria;655;266;82.8;95;48.4;101.8;85.5;20.1;26.6;52.1;35.8;169.7;265.3;1249.1
C049;Subijana;537;102.9;38.7;41.5;21.6;60.2;79.3;5.2;19.6;8.1;26.9;84.8;75.1;563.9
C00B;Tobillas;700;;;;28.7;72.9;68.3;7.4;21.4;18.2;23.7;89.1;138.4;
C020;Trebiño;578;50.8;47.1;50.4;19;50.4;62.1;9.1;22.4;10;26;36.4;90.7;474.4
C070;Zaldiaran;980;70.2;31.6;27.7;21.6;45.8;70;12.1;21.4;20.7;35.4;45.7;106.5;508.7
C050;Zambrana;470;27.4;34;23.4;11.9;51.5;50;17.1;20.6;6;23.2;32.4;72.2;369.7
C0B1;Abusu (La Peña);23;216.9;76.9;111.5;76.6;71;68.7;60.9;65.1;85.8;29.3;250.8;273.5;1387.0
C079;Amorebieta;65;188.2;112;101.6;78.3;66.2;73.9;70.4;55.2;115.1;18;193.4;327.2;1399.5
C0C1;Aranguren;92;157.5;71;75.3;48.6;84.4;74.1;21.2;47.5;67.3;17.7;159.8;249.1;1073.5
C061;Arboleda;329;191.6;80.4;107.1;86.3;84.2;78.7;48.7;73.2;109.6;30.7;233.5;254.6;1378.6
C032;Areta;122;190.4;67.1;82.5;59.9;74.4;79.9;50.3;45.9;61.7;23.1;178.7;245;1158.9
C002;Arteaga;19;135.6;91.5;122.9;72.2;49.5;57.1;44.9;101.2;125;32.1;158.5;275.9;1266.4
C0C2;Balmaseda;178;169.3;88.4;68.9;60.1;71.7;80.3;37;34.6;70.6;15.7;161.1;293.3;1151.0
C069;Bermeo;106;138.2;92.2;133.3;72.3;72.2;71.6;55.3;101.4;219;32.7;173;291.3;1452.5
C0B6;Berna;95;227.6;121.8;126.3;81.5;89;79;55.3;46;96.3;23.1;193.5;306.1;1445.5
C0BE;Berriatua;25;227.8;85.4;120.6;68.9;91.3;64.1;46.9;95.3;122.1;56.5;192.3;273.2;1444.4
C065;Cerroja;677;284.5;82.6;74.1;64.5;75.6;60.5;39;46.6;120.1;19.6;204.5;271.2;1342.8
C003;Derio;30;222.4;99.7;136.7;75.5;68.8;73.2;73.9;70.1;151.2;28;197.5;286.7;1483.7
C039;Deusto;3;176;78.8;99.5;60;53;66.7;34.2;56.8;73.6;16.6;197.6;241.8;1154.6
C075;Eitzaga;270;224;121.8;141.9;67.7;90.1;75.1;53.4;46.3;84.2;49.4;189;312.7;1455.6
C074;Elorrio;167;206.1;109.1;93;72.5;79.9;86.5;60.9;48.3;85.9;30.8;154.8;268.5;1296.3
C009;Galdakao;30;;;;;;;;61.7;95.9;28.4;214.2;312.2;
C038;Galindo;5;147.2;94.6;110.6;36.8;58;87.4;41.9;64.1;94.3;23;216.1;254.7;1228.7
C033;Igorre;150;259.6;78.5;111.4;91.5;80.9;69.7;69.6;45.1;91.4;32.8;207.6;265.2;1403.3
C0BD;Iruzubieta;110;244.4;131.8;142.4;75.1;93.8;71;55.3;72.1;121.6;41.7;220;384.4;1653.6
C036;Iurreta;180;244.2;105.5;110.2;55.9;85.4;59.4;67.1;56.6;94.5;19.3;163.4;290.9;1352.4
C045;La Garbea;717;174.4;63.4;69.5;59.4;64.6;96;46.3;38.4;102.2;24.3;141.8;291.8;1172.1
C0B7;Mañaria;168;228.6;119.6;101;75.5;88.4;76.9;59.5;62.4;102.2;21.8;186.4;290.6;1412.9
C019;Matxitxako;433;83.8;71.5;132.5;60.4;79.5;82.4;69.3;112.8;233.5;39.9;153.8;215.2;1334.6
C057;Mungia;22;155.5;86.1;135.9;59.4;59.7;62.2;40.5;57.3;180.3;32;200.5;290.6;1360.0
C063;Muxika;16;198.8;99.5;121.8;73.2;77.9;56.3;51.3;61.2;120.4;24;178.8;314.2;1377.4
C046;Oiz;980;162.3;50.9;74.1;47;94.9;77.4;65.6;95.6;108.2;56.4;157.4;185.5;1175.3
C0BA;Oleta;14;161.2;99;114.5;63;84.9;62.9;46.1;104.2;130;53.2;175.8;263.9;1358.7
C059;Ordunte;300;193.6;79.3;66.2;52.9;65.8;88.9;38;44.6;69.6;14.9;212;310.4;1236.2
C072;Orduña;934;206;57.7;48.5;56.5;90.2;106.5;52.5;49.7;55;38.9;138.8;177.7;1078.0
C0B4;Orozko;200;180.5;74.7;78.4;56.2;86.6;92.2;45.7;38.8;54.9;22.9;164.2;237.8;1132.9
C054;Otxandio;556;292.5;103.7;88.7;75.4;72.6;71.4;39.9;41.7;81.4;34.5;222;251.4;1375.2
C042;Punta Galea;61;94.4;69.5;62;41.7;71.4;63.9;28.8;64.6;115.6;22.8;201.7;220.9;1057.3
C0B9;Sangroniz;10;184.2;79.9;117.3;68.4;64.7;80.2;49.5;68.9;98.9;30.1;241;277.4;1360.5
C0C3;Sodupe;55;233.6;73;97;56.4;59.4;68.5;51.9;52;79;18.6;197.3;280.6;1267.3
C022;Urkiola;709;254.6;113.2;97.5;82.7;87.3;120.4;68.9;74.5;120.1;32.1;206.4;293.4;1551.1
C0B3;Urkizu;75;227.1;85.1;111.5;89.3;72.4;80.4;58.4;56.2;100.9;26.9;198.2;274.9;1381.3
C037;Venta Alta;162;259.2;79.6;120.5;83.7;94.7;78.7;62.8;68;99.5;31.3;232.1;251;1461.1
C0E5;Agauntza;180;186;86.1;80;47.8;56.5;133.8;36.9;86.6;59.3;39.8;122.8;177.6;1113.2
C0DB;Aitzu;312;275.2;125.8;130.4;74.9;70.6;69;59.3;74.8;75.7;46.8;196.8;278.6;1477.9
C0D3;Aixola;320;193.5;115.7;129.1;69.3;85.7;75.6;58.9;63.4;104.9;52.5;177.1;283.4;1409.1
C0DD;Aizarnazabal;25;207.5;99.6;139.4;81.9;85.6;74.2;53.7;126.6;127.8;46.4;206;274.9;1523.6
C0E9;Alegia;90;295.8;94.6;116.4;55.4;48.8;73.6;44.2;81.8;81.2;61.9;214.3;256.5;1424.5
C078;Altzola;17;300.4;108.3;169.5;71.1;83.5;63;55.1;100.5;120.5;59;211.2;285.9;1628.0
C052;Ameraun;285;398.1;137.1;219.5;93.8;81.5;116.1;83.5;122.6;155.9;58.5;364.7;373.5;2204.8
C0E1;Amundarain;111;200;87.4;87.7;46.4;52.5;114.7;31.4;90;52.5;44.1;143.5;205.9;1156.1
C077;Andoain;52;294.1;93.3;184.4;76.7;63.5;85.9;52.9;111.6;118.2;72.7;332.4;291.8;1777.5
C080;Añarbe;184;365.4;147.1;262.8;114.5;91.7;131.3;104.3;150.2;215.1;81.1;336.4;323.9;2323.8
C0E8;Araxes;141;330.9;116.9;153.2;63.3;50.3;89.4;41;107.2;108;72;273.6;248.5;1654.3
C023;Arrasate;318;297.2;145.2;131.5;79.7;57;78.1;36.2;36.7;62.6;38.7;170;275.3;1408.2
C084;Behobia;5;139.4;107.6;130.7;75.7;76.8;105.1;52.2;115.5;236.1;51;278.1;227.8;1596.0
C0EA;Belauntza;105;306.1;112.6;164.8;83.5;53;100.7;54.5;101.7;107.4;90.5;291.4;271.7;1737.9
C026;Berastegi;379;455.5;131.6;205.5;84.5;69.5;113.4;82.8;119.4;142.4;86;386.6;340.3;2217.5
C058;Bidania;592;418.8;105.8;199.3;71.4;64.5;98.9;62.4;119.7;131.1;107.4;336.3;299.7;2015.3
C0F0;Ereñozu;25;246.9;96.3;176.6;90.1;95.1;126.3;73.3;185;146.6;70.5;293.7;271.2;1871.6
C0F1;Eskas;650;;;;;;;;;;64.5;403;419.9;
C0E7;Estanda;195;239.7;91.3;104.8;41.7;58.5;80.5;37;84.9;46.9;31.8;150;238.5;1205.6
C0DC;Ibai Eder;90;356.4;95.2;146;74.2;62.1;72.3;41.8;96.3;91.6;44.3;235.6;291.8;1607.6
C0EC;Lasarte;18;230.6;92.6;156.8;79.4;70.5;71.8;64.6;150.8;121.6;63.8;267.9;258.5;1628.9
C0DE;Matxinbenta;250;270.7;97.2;149.1;61.7;63.6;92;65.7;84.5;81.1;37.5;188.3;271.5;1462.9
C017;Miramon;113;164.1;104.8;150;63;74.3;137.4;64.9;115.9;154.1;74.4;270.6;248.1;1621.6
C0F4;Oiartzun;53;185.7;99;153.1;79.3;87.6;94.7;66.4;141.5;177.2;58.6;237.4;255.8;1636.3
C0D1;Oñati;195;204.3;101.3;107.8;58.7;58.3;76.4;38.4;34.7;52.5;40;154.1;242.6;1169.1
C043;Ordizia;243;244.3;94.3;88.2;45.8;51.6;88.5;48.9;92.5;51;42.4;154.6;229.3;1231.4
C0D2;San Prudentzio;175;205.9;111.9;105.6;68.2;57.5;65.9;40.8;39.8;61.8;39.8;173.1;263.3;1233.6
C0D0;Urkulu;340;189.5;98.7;118.5;54.7;62.7;104.5;73.4;45.5;54.5;35.4;130.8;218.8;1187.0
C064;Zarautz;80;93.9;62.6;105.9;51.9;64.3;64.8;39.9;105.1;102.5;63.6;198.9;233.5;1186.9
C028;Zegama;520;229.5;153.6;113.2;73;66.7;130.2;42.1;61.8;36.6;40.7;150.2;233.8;1331.4
C029;Zizurkil;149;305.7;106;146.4;75.5;66.9;76.9;48.3;122.1;110.7;73.4;281.7;244.8;1658.4
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;PRECIPITACIÓN ACUMULADA (l/m2);;;;;;;;;;
