COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;PRECIPITACIÓN ACUMULADA (l/m2);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;140.3;96.5;96.3;123.6;53.2;40.6;66.7;2.5;10.7;93;69.9;21;814.3
C056;Alegria;545;122.5;71.8;86.3;104.4;76.2;44.1;48.4;0.8;12.1;77.6;67;34.7;745.9
C035;Altube;618;194.2;257.4;122.6;181.5;92.9;41.8;80.2;10.6;6.1;171.7;80.3;37.7;1277.0
C016;Arkauti;517;125.2;78.9;100.7;113.3;65.7;55.9;82.1;5;26.9;78.5;62.6;21.2;816.0
C034;Espejo;504;92.4;64.5;68.7;89.2;88.1;36.5;113.7;0.2;3.3;57.9;75.9;24.4;714.8
C0AA;Etura;549;123.7;71.4;68.7;105.6;79.5;47.6;65.7;0.4;25;81.3;88.8;37.1;794.8
C067;Gardea;141;215.4;228.6;137;147;88;75;74.6;12.1;9.6;160.3;69.4;31.7;1248.7
C044;Gorbea;662;199.5;234.2;133.4;160.8;79.8;42.6;47.7;4.1;12.8;155.5;103.3;41.2;1214.9
C048;Herrera;1188;81.6;88.9;77.6;95.6;66.4;40.3;72.3;4.5;33;83.4;77.6;27.6;748.8
C068;Ilarduia;596;251.3;175.1;116;157.6;89.5;46;104.3;8.8;13.7;106.4;112.9;67.7;1249.3
C024;Iturrieta;987;218.7;138.9;141;154.3;114.4;54.2;88.3;13.1;17.3;89.5;89.4;35.9;1155.0
C0A0;Kanpezu;550;143.3;46.7;85.5;166.7;70.9;33.8;63.7;0.1;15.4;67.1;90.4;37.1;820.7
C047;Kapildui;1173;187.1;114;104.3;139.6;110.2;47.3;70;7.7;53.6;119.5;98.6;26.6;1078.5
C031;Moreda;490;67.4;31.4;42.3;89.7;57.1;29.1;106.4;0;44.7;33.9;54.3;21;577.3
C041;Navarrete;689;137.8;79.1;101;137.8;99.2;56.8;43.1;0.9;21.6;72.6;85;28.5;863.4
C055;Ozaeta;548;185.8;145;102.8;143.2;67.6;55.6;76.2;0.2;13.9;90.8;112.9;44.9;1038.9
C060;Páganos;577;58;22.6;44.5;95.9;47.5;37.4;59.4;0;35.5;41.8;67.2;28.2;538.0
C030;Salvatierra;589;172.8;103.8;96.1;145.4;79.3;85.7;84;0.8;16.8;85.6;97.7;53.4;1021.4
C051;Saratxo;230;159.1;159.4;130;120.3;75.7;67.8;51.3;11.7;2.9;119.6;56.9;28.1;982.8
C0A0;Sarria;655;232.4;263.3;161.1;210.5;99.6;60;66.1;5.5;8.5;192.4;97.3;43.9;1440.6
C049;Subijana;537;107;85.8;76;103.8;69.2;27.1;65.3;2.9;13.8;98;73.7;28.5;751.1
C00B;Tobillas;700;115.7;100.4;98.2;87.2;71.9;69.2;74.9;1.2;6.4;75.9;82.2;23.6;806.8
C020;Trebiño;578;119.5;41.5;65.6;83.1;54.2;46.5;59;0.2;47.4;54.6;42.4;17.7;631.7
C070;Zaldiaran;980;91.4;80.6;77.9;103.9;69.6;41.2;54.6;7.1;36.3;103.7;67.3;15.8;749.4
C050;Zambrana;470;93;34.2;55;89.9;90.8;43.8;67.5;0.2;18;86.6;62.4;20.7;662.1
C0B1;Abusu (La Peña);23;251;263.4;125.9;155.5;85.5;62.5;53.9;43.6;14.6;223.7;81.3;31;1391.9
C079;Amorebieta;65;321.6;292.3;157.7;187.1;64.4;58.9;88.6;49.9;10.2;195;80.5;42.2;1548.4
C0C1;Aranguren;92;205.6;241.6;132.9;106.8;57.5;54.5;38.1;15.5;8;137.7;75.8;32.1;1106.1
C061;Arboleda;329;240.7;254.7;106.5;121.7;109.6;72.9;58.7;48;31.7;198.8;74.3;23.2;1340.8
C032;Areta;122;247.4;268.7;123.4;156.2;86;83.5;62.7;26.2;5.2;162.7;66.6;26;1314.6
C002;Arteaga;19;239.3;241;142.4;116.6;67;64.8;71;76.7;20.6;178.1;66.8;36.5;1320.8
C0C2;Balmaseda;178;206.4;226.2;128.8;108.2;79.1;55.9;29.9;11.6;26.3;150.2;69.4;37.9;1129.9
C069;Bermeo;106;304;256.2;177.6;100.4;69.5;94.3;79.6;104.9;32.1;185.3;111.9;54.7;1570.5
C0B6;Berna;95;309.6;321.7;173.3;168.8;79.1;81.4;100.6;32.2;22.5;176.5;80;48.7;1594.4
C0BE;Berriatua;25;232;277.2;123;153.4;64.8;68.1;73.5;125.2;40.1;177.1;89.3;34.1;1457.8
C065;Cerroja;677;176.4;312.5;128.2;135.3;121.7;76.2;46.2;29.7;29.4;187;78.4;29.8;1350.8
C003;Derio;30;298.6;319.3;132.8;153.8;77.2;43.4;64.3;44.3;9.4;180.8;74;35.4;1433.3
C039;Deusto;3;232.8;238.8;96.8;107.7;66.5;38.3;25.6;28.4;9.3;155.9;70.1;18.3;1088.5
C075;Eitzaga;270;307.1;289.9;152.4;188.1;83.7;112.5;82.2;41.2;28;153.1;91.8;62.7;1592.7
C074;Elorrio;167;279.6;320.7;159.9;156.2;101.9;62.7;84.4;30.8;28.5;169.3;97.9;47.3;1539.2
C009;Galdakao;30;267.4;326.9;142.4;168.7;88;54.7;44.3;50.1;12.4;194.3;71.2;31.8;1452.2
C038;Galindo;5;241.5;236.7;113.5;119.9;97.7;64.1;33;32.4;11.3;166.7;80.6;26.7;1224.1
C033;Igorre;150;204.5;303.4;172.5;195.5;74.3;77.3;82;59.2;22.3;199.6;69.3;42.9;1502.8
C0BD;Iruzubieta;110;349.3;331.5;195.3;184.6;87.1;68.5;119.8;68.9;29.6;208.6;100;76.6;1819.8
C036;Iurreta;180;279.9;319.4;159.6;207.2;81.7;63.1;71.6;20.8;12.2;174;81.7;48.7;1519.9
C045;La Garbea;717;184;205.2;109;111.9;87.1;58.7;42.1;32.5;23.6;183.1;72.1;32.7;1142.0
C0B7;Mañaria;168;300.6;303.6;171.3;187.1;84.7;57;91.2;24.5;25;160.6;95.7;39.1;1540.4
C019;Matxitxako;433;227.1;191.4;123.5;88.2;80.2;117.2;112.1;94.7;31.4;160.5;105.6;53.3;1385.2
C057;Mungia;22;264.8;301.3;135.1;134.3;76.4;84;83.9;51;14.1;167.9;107.9;37.3;1458.0
C063;Muxika;16;356.9;302.3;163.5;126.3;61.5;66.8;55.5;89.7;23;180.5;87.6;59.3;1572.9
C046;Oiz;980;183.5;284.1;72.8;153.3;94.7;79.5;111.7;78.1;53;158.6;72.4;39.2;1380.9
C0BA;Oleta;14;260;248;136.6;119.9;62.7;74.2;138.4;100;38.2;188.4;96;53.6;1516.0
C059;Ordunte;300;218;312.1;164.7;139.8;97;55.3;26.9;8.4;20.1;151.1;57.8;22.6;1273.8
C072;Orduña;934;136.3;163.8;98.5;105.9;120.6;48.9;93.3;29.8;25.5;123.3;58.1;32.7;1036.7
C0B4;Orozko;200;212.6;245;124.8;165.5;77.2;65.3;44.7;21.7;6.5;174.1;76.7;36.4;1250.5
C054;Otxandio;556;244.8;256;170.8;263.1;109.6;80.8;59.9;9.2;53.3;207.7;107.5;46.2;1608.9
C042;Punta Galea;61;190.1;165.6;86.8;80.6;87.2;56.9;44.1;37.6;20.1;143;63.6;23.6;999.2
C0B9;Sangroniz;10;258;250.1;115;150.8;89.3;42.9;45.5;34.9;10.7;185.3;86.8;27.1;1296.4
C0C3;Sodupe;55;255;260.9;149.6;144.5;81.6;42.2;27.7;24.7;8.3;196.1;88;30.2;1308.8
C022;Urkiola;709;310.7;302.5;160;194.9;116.6;82.2;73.7;33;38.1;153.5;102.8;69.6;1637.6
C0B3;Urkizu;75;266.4;305.1;160.5;194;72.5;55.1;68.9;59.9;16.7;197.5;72;40;1508.6
C037;Venta Alta;162;264;303.4;147.7;182.8;95.7;54.2;52.3;40.1;15.6;193.9;66;31.6;1447.3
C0E5;Agauntza;180;194.9;185.2;103;153.2;83.7;59.2;153.6;22.2;40.5;126.9;86.9;54.9;1264.2
C0DB;Aitzu;312;224.1;285.5;186;190.9;73;84.7;56.1;29;26.3;176.1;103.4;79.9;1515.0
C0D3;Aixola;320;301.4;294;168.3;176.1;96.4;110;96.8;41.1;26.8;172;96.2;62.4;1641.5
C0DD;Aizarnazabal;25;229.3;284.8;107;175;79.3;81.5;149.4;79.3;34.9;188.9;104.8;49.5;1563.7
C0E9;Alegia;90;278.3;293.3;117.4;182;102.3;82.5;93.3;14.3;23.1;171.6;100.2;66.8;1525.1
C078;Altzola;17;272.2;279.9;156.8;188.9;87.1;79.1;76.7;86.6;31.5;189.3;103.6;58;1609.7
C052;Ameraun;285;428.3;455.1;183.8;340.8;141.7;135.9;104.3;34.9;28.4;191.6;157.9;131.3;2334.0
C0E1;Amundarain;111;239.8;225;129.8;169.8;92.4;45.3;114.6;20;17;127.3;77.4;57;1315.4
C077;Andoain;52;296.4;296;144;237.5;124.2;98.8;72.3;39.7;45.4;165.5;120.2;85.7;1725.7
C080;Añarbe;184;444.6;475.6;232.6;287.2;192.2;155.9;156.4;66.7;31.5;235.5;135.2;143.6;2557.0
C0E8;Araxes;141;295.4;333.9;111.4;223.3;113.2;94.3;104.9;22.7;22.6;173.5;112.2;72.4;1679.8
C023;Arrasate;318;281.7;317.9;157.2;188.8;81.3;68.2;57;16.9;33.6;162.4;84.6;53.4;1503.0
C084;Behobia;5;260.5;218.8;174.9;142.3;119.7;170.8;162.9;44.9;42.2;123.8;134.5;87.6;1682.9
C0EA;Belauntza;105;277.4;340.9;111.4;212.3;111.1;109.1;107.9;45.9;42.8;193.5;115;87.2;1754.5
C026;Berastegi;379;366.7;471.9;164.8;347.8;125.3;169.2;105.8;32.9;25.4;190.8;146.3;135.7;2282.6
C058;Bidania;592;328.3;441.3;158.7;327.9;118.1;104.1;102.5;39.9;23.2;272.2;130.1;87;2133.3
C0F0;Ereñozu;25;304.9;324.8;142.1;233.2;128.6;110.3;81.3;64.5;55.6;157.3;114.3;88.8;1805.7
C0F1;Eskas;650;512.6;565.9;245.6;371.7;213.2;320.5;153.1;101.4;58;181;158;145.9;3026.9
C0E7;Estanda;195;227.5;263.2;148.8;185.8;68.7;71.5;70.2;14.3;20.9;132.7;77.1;55.3;1336.0
C0DC;Ibai Eder;90;289.4;372.1;143.8;207.3;79;72.3;67.1;59.6;32.4;208.7;100.6;67.7;1700.0
C0EC;Lasarte;18;280.8;308.2;117.1;226;114.3;94.2;80.2;45;55.3;167.6;118.7;88;1695.4
C0DE;Matxinbenta;250;264.3;340.8;160.3;221;88.8;74.1;66.8;39.5;25.9;175.2;91.9;60.7;1609.3
C017;Miramon;113;276.8;279.7;122.1;198.6;128.1;94.1;78.6;61;62.9;152.8;134.2;81.8;1670.7
C0F4;Oiartzun;53;280.8;276.9;99.5;178.9;133.2;131.4;166.1;64.4;61.4;141.1;82.1;68.1;1683.9
C0D1;Oñati;195;234.5;250.1;143.7;144.5;67.8;83.8;57.8;23.8;35.3;147.3;78.4;58.6;1325.6
C043;Ordizia;243;249.2;245.8;146.8;191.9;77.3;52.6;119.4;19.2;23.3;126;88.9;61;1401.4
C0D2;San Prudentzio;175;260.3;273;154.5;162.3;74.5;67.2;55.2;25.1;27.7;151.8;80.7;66.6;1398.9
C0D0;Urkulu;340;211.6;218;155.9;167.7;85.2;67.7;95.5;26.4;34.8;138.4;118.7;41.5;1361.4
C064;Zarautz;80;235.3;251;65;143.9;103.6;73.1;85;51.5;22.8;140.4;122.5;65.2;1359.3
C028;Zegama;520;198.2;147.9;163.8;176;150.1;82.8;151;25.6;37.5;132.5;133.2;96.2;1494.8
C029;Zizurkil;149;216.9;257.4;95.2;193;101.7;93.7;72;29.3;38.8;181.6;117.3;83.7;1480.6
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;PRECIPITACIÓN ACUMULADA (l/m2);;;;;;;;;;
