COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;PRECIPITACIÓN ACUMULADA (l/m2);;;;;;;;;;
C0BD;Iruzubieta;110;298;45.8;73.7;104;129.1;59.6;59.8;46.9;80.9;136.3;476.7;185.2;1696.0
C036;Iurreta;180;285.4;52.3;51.7;92.5;108.9;46.5;73.6;34.4;86.8;116.4;411.7;137;1497.2
C045;La Garbea;717;314;49.2;43.8;75.3;70.5;36.5;29.5;22.6;68.5;96.6;348.8;112.2;1267.5
C0B7;Mañaria;168;273.9;64.3;52.6;87.5;101.5;38.4;89;44.1;79.1;131.1;478;150.5;1590.0
C019;Matxitxako;433;165;29.6;61.7;82.2;116.4;52.1;84.2;45.1;78.2;224.1;322.5;119.8;1380.9
C057;Mungia;22;241.1;40.7;59.3;87.7;108.2;35.6;67.1;41.3;116.5;150.2;410.9;124.9;1483.5
C063;Muxika;16;286.3;37.6;65.4;104.6;134.2;33;74.3;37.7;103.6;144.7;496;163;1680.4
C046;Oiz;980;177;25;54.1;82.2;122.7;62;90.2;81.4;105.6;128.5;315.6;102.1;1346.4
C0BA;Oleta;14;195.4;30.5;59.6;97.9;104.9;45.4;76.2;60.1;59.9;115.8;410.8;152.3;1408.8
C059;Ordunte;300;266.6;52.1;42.3;79.6;52.2;33.7;18.7;12.2;79.9;77.9;303.2;81.8;1100.2
C072;Orduña;934;241.6;50.2;37.4;73.3;81.8;33.6;48.8;46.6;63.8;82.1;221.6;46.7;1027.5
C0B4;Orozko;200;272.7;65;54.2;69.8;52.9;35.4;54.7;32;55.7;75.5;275.1;86.3;1129.3
C054;Otxandio;556;333.3;78.4;61.2;92.4;137.2;30.1;80.1;51;93.6;118.2;408.3;112.3;1596.1
C042;Punta Galea;61;142.3;26.7;31.8;61.3;53.3;22.2;35.9;22.3;52.1;106;323.9;89.3;967.1
C0B9;Sangroniz;10;207.1;45.5;56.3;67.2;67.1;23;53.4;32.7;68;106.2;295;97.7;1119.2
C0C3;Sodupe;55;308.1;59.2;49.3;65.5;67.9;28.6;42.5;16.7;69.2;104.1;385.1;92.3;1288.5
C022;Urkiola;709;291;62.8;50.7;97.2;142.7;46.7;94;75.9;108.2;147.2;492.7;152;1761.1
C0B3;Urkizu;75;272.9;54.1;61.8;93.5;87;30.9;67.4;33.2;73;122.5;404.8;116.3;1417.4
C037;Venta Alta;162;295.8;61.3;59.5;88.6;75.6;31.8;54.4;51.3;74.9;104.6;384;94.4;1376.2
C0E5;Agauntza;180;183.3;45.8;37.3;71.8;66.4;50.5;71;76.3;37.9;95.4;314.8;101.5;1152.0
C0DB;Aitzu;312;326;82.7;64.4;120.8;109.7;44.2;55;81.7;64.2;125.6;454.4;157.6;1686.3
C0D3;Aixola;320;302.3;61.6;58.7;110.3;120.3;40;75.6;74;81.3;144.6;449.7;180.8;1699.2
C0DD;Aizarnazabal;25;158.1;24.2;76.2;108.9;102.3;46.3;75;96.1;76.1;110.2;346.4;99;1318.8
C0E9;Alegia;90;299.6;60.6;54.2;102.7;104.1;46;58.6;75.8;49.5;93.9;384.9;120.8;1450.7
C078;Altzola;17;276.6;68.2;59.5;98.5;111.2;40.5;43.9;66.9;64.6;106.7;309.5;135.7;1381.8
C052;Ameraun;285;458.8;96.5;108.2;141.4;273.8;90.6;90.2;90.4;71.3;155.4;603.8;192.3;2372.7
C0E1;Amundarain;111;239.6;45.7;44.8;95.8;88.1;46.8;52.2;63.4;39.1;89.5;305.2;96.2;1206.4
C077;Andoain;52;296.4;58.3;88.3;110.4;129;70.6;96.9;88.9;60.7;125.5;413.4;139;1677.4
C080;Añarbe;184;413.1;101.3;120.9;143.1;347.9;98.5;121.1;103.4;80;177.7;562.8;225.9;2495.7
C0E8;Araxes;141;344.7;45.3;59.2;111.4;119.5;61.1;78.2;77.9;62;103.2;382.5;120.8;1565.8
C023;Arrasate;318;334.5;65.5;59.9;89.1;131.7;38.3;43.4;60.4;78;103.9;374;133.9;1512.6
C084;Behobia;5;215.1;44.6;56.6;96.3;200.4;98.1;113.4;90.9;67.3;158.2;505.7;147.4;1794.0
C0EA;Belauntza;105;323.2;58.2;71.1;134.4;117.5;73.7;96.7;83.2;77.2;108.9;380.5;126.2;1650.8
C026;Berastegi;379;495.5;98.2;101.4;157.7;235.8;74;99.1;79.3;66.5;145.3;450.6;164.7;2168.1
