COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;TEMPERATURA MÁXIMA MEDIA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;8.0;14.1;15.9;16.5;19.2;26.8;28.1;28.3;24.1;20.3;11.4;10.6;18.6
C0A4;Albaina;594;7.9;13.6;15.2;15.5;18.2;26.6;27.9;28.1;23.5;20.5;11.1;11.1;18.3
C056;Alegria;545;7.2;13.3;14.3;14.8;17.1;25.4;26.1;26.4;22.4;19.3;10.9;10.1;17.3
C035;Altube;618;6.5;13.5;14.4;14.7;16.5;23.0;24.6;24.3;21.4;18.9;10.9;11.6;16.7
C0A3;Antoñana;556;7.9;13.4;15.4;15.6;18.3;26.8;28.6;28.9;23.8;19.7;10.8;11.1;18.4
C016;Arkauti;517;7.7;13.8;15.0;15.5;17.6;25.6;27.2;27.5;23.5;19.9;11.5;10.7;18.0
C025;Beluntza;687;5.9;12.4;13.5;13.6;15.5;22.6;24.5;24.8;20.4;17.6;9.7;10.4;15.9
C0A2;Egino;573;6.8;12.9;14.1;14.5;16.3;24.1;25.0;25.8;22.1;18.9;10.3;10.0;16.7
C034;Espejo;504;8.9;14.0;16.4;16.3;19.6;27.0;28.5;29.4;24.7;21.0;12.2;11.3;19.1
C0AA;Etura;549;;;14.3;14.9;17.3;25.4;26.9;27.0;23.1;19.6;11.2;10.7;
C067;Gardea;141;10.1;17.2;17.7;18.3;19.8;25.6;27.6;27.6;25.0;22.3;14.1;15.1;20.0
C040;Gasteiz;546;9.1;15.2;15.5;15.7;17.8;25.4;25.5;26.0;22.2;19.4;11.3;11.0;17.8
C044;Gorbea;662;6.9;12.5;13.0;13.2;15.2;22.3;23.1;23.1;19.9;17.2;9.5;9.7;15.5
C048;Herrera;1188;4.2;10.1;11.3;11.6;14.3;22.3;23.8;24.1;18.8;16.1;6.6;9.6;14.4
C068;Ilarduia;596;7.3;13.4;14.7;15.2;17.2;25.4;26.1;26.6;22.4;19.4;10.6;10.4;17.4
C024;Iturrieta;987;4.3;10.0;11.1;11.5;13.9;22.3;24.4;24.6;19.7;16.1;7.4;9.6;14.6
C00A;Kanpezu;550;8.4;13.1;15.2;15.9;18.8;27.5;29.5;29.7;23.9;19.7;10.7;11.2;18.7
C047;Kapildui;1173;4.0;9.6;10.8;10.6;13.0;21.1;22.5;22.8;17.9;14.6;5.9;8.8;13.5
C031;Moreda;490;9.5;14.2;17.1;17.3;20.7;28.9;31.1;31.1;25.4;20.5;12.5;11.9;20.0
C041;Navarrete;689;7.1;12.8;14.8;15.0;17.8;26.1;27.8;28.2;23.0;19.7;10.4;11.4;17.8
C055;Ozaeta;548;6.8;13.2;14.5;14.9;17.0;25.1;26.7;26.7;22.7;19.3;10.5;10.1;17.3
C060;Páganos;577;8.0;12.4;15.9;16.3;19.4;27.4;29.7;29.6;24.2;21.0;10.5;10.5;18.7
C0A1;Pagoeta;705;6.3;11.7;13.5;13.5;16.2;24.0;25.9;26.2;21.3;18.0;9.7;10.2;16.4
C021;Roitegi;980;4.8;10.6;11.7;12.1;14.5;23.2;25.5;25.8;20.6;16.9;7.7;10.0;15.3
C030;Salvatierra;589;7.9;14.0;15.3;15.7;18.1;25.9;27.9;29.4;23.3;19.8;10.7;10.8;18.2
C051;Saratxo;230;10.0;16.8;17.3;17.7;20.4;26.8;28.5;28.4;25.4;22.7;14.6;15.0;20.3
C0A0;Sarria;655;6.5;12.9;14.8;15.2;17.3;24.6;26.6;26.7;21.9;18.5;9.9;10.5;17.1
C049;Subijana;537;7.7;13.4;15.2;15.4;18.2;26.0;27.1;27.6;23.2;19.7;11.0;10.4;17.9
C00B;Tobillas;700;7.5;13.0;14.9;14.6;17.7;24.9;26.6;27.0;22.6;19.7;10.8;11.2;17.6
C020;Trebiño;578;7.5;13.2;15.3;15.2;18.4;26.4;28.4;28.4;23.4;20.2;11.0;10.6;18.2
C070;Zaldiaran;980;4.6;10.6;12.1;12.2;14.3;22.8;23.5;24.1;19.7;17.1;8.2;10.0;14.9
C050;Zambrana;470;9.0;14.5;16.9;17.1;20.2;28.1;29.7;;25.0;22.3;13.3;12.2;
C0B1;Abusu (La Peña);23;9.9;16.6;16.7;17.3;18.5;23.4;25.4;25.6;23.5;20.6;14.0;14.7;18.9
C079;Amorebieta;65;9.7;17.0;16.8;17.2;18.1;24.0;25.8;25.9;24.0;21.4;13.9;15.2;19.1
C0C1;Aranguren;92;11.5;18.7;18.6;19.2;20.5;25.7;28.2;28.2;;;;;
C061;Arboleda;329;9.7;16.3;15.9;16.5;17.6;22.5;24.9;24.7;23.0;20.8;;;
C032;Areta;122;10.0;17.8;17.7;18.4;19.8;25.3;27.3;27.5;25.1;22.5;14.5;15.5;20.1
C002;Arteaga;19;11.0;17.8;17.2;17.6;18.1;22.9;25.3;26.1;24.6;22.7;15.3;16.3;19.6
C0C2;Balmaseda;178;9.7;16.4;17.2;17.7;19.4;24.7;27.0;27.0;24.3;21.5;13.6;13.9;19.4
C069;Bermeo;106;10.5;16.3;15.7;15.9;16.7;21.5;24.0;24.9;23.3;21.0;14.5;15.4;18.3
C0B6;Berna;95;9.6;17.6;18.1;18.2;19.6;25.9;27.2;27.3;25.0;21.3;13.5;14.7;19.8
C0BE;Berriatua;25;11.3;17.9;17.4;17.6;18.8;23.1;25.6;25.4;24.5;22.7;15.7;16.4;19.7
C065;Cerroja;677;7.2;12.9;12.9;13.6;15.1;20.3;22.8;22.6;20.2;17.9;10.5;12.8;15.7
C003;Derio;30;10.9;17.9;17.4;18.0;18.9;24.3;26.3;25.7;24.3;21.9;15.0;15.9;19.7
C039;Deusto;3;11.1;17.1;17.0;18.0;18.3;23.0;24.7;25.3;23.6;21.6;15.3;15.9;19.2
C075;Eitzaga;270;9.7;18.4;18.6;18.7;19.9;26.8;28.5;28.3;26.3;22.9;14.0;15.1;20.6
C074;Elorrio;167;9.5;17.2;18.2;18.8;19.8;26.1;28.2;27.4;24.3;21.0;14.0;14.0;19.9
C009;Galdakao;30;11.0;18.0;18.0;18.5;19.8;25.0;27.2;27.1;25.0;22.0;15.2;16.1;20.2
C038;Galindo;5;12.0;18.3;18.0;19.2;20.3;25.0;27.0;26.6;24.9;22.3;15.8;16.4;20.5
C033;Igorre;150;10.2;17.4;17.9;18.5;20.0;25.4;27.5;27.6;25.4;22.2;14.3;15.4;20.2
