COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;TEMPERATURA MÁXIMA MEDIA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C0E5;Agauntza;180;13.7;12.6;12.8;16.3;20.4;23.3;24.4;27.4;25.2;19.9;13.7;13.4;18.6
C0DB;Aitzu;312;11.9;10.5;10.7;15.0;20.4;23.7;24.7;27.6;25.2;20.0;13.2;13.0;18.0
C0D3;Aixola;320;13.0;11.5;11.6;14.8;19.6;22.1;23.1;26.2;24.2;18.8;12.9;12.4;17.5
C0DD;Aizarnazabal;25;14.4;12.6;13.1;16.7;20.7;22.6;24.0;26.5;24.4;18.5;13.2;13.3;18.3
C0E9;Alegia;90;15.0;14.2;14.5;18.0;21.7;23.8;24.8;27.9;25.8;20.8;14.2;13.5;19.5
C078;Altzola;17;14.6;13.0;13.2;16.2;20.1;22.2;23.6;26.3;24.6;19.6;14.0;14.1;18.5
C052;Ameraun;285;12.6;11.4;11.5;14.4;18.6;21.1;22.2;25.2;23.4;18.8;12.8;12.9;17.1
C0E1;Amundarain;111;14.1;12.4;12.6;16.1;20.2;23.1;24.2;27.5;25.6;20.2;13.8;13.6;18.6
C077;Andoain;52;14.5;13.3;13.3;17.1;20.3;21.9;23.2;26.0;24.0;19.6;13.9;14.4;18.4
C080;Añarbe;184;14.3;12.9;13.0;16.4;20.6;22.6;23.8;26.8;24.7;19.6;13.6;14.3;18.6
C0E8;Araxes;141;13.5;12.7;13.0;16.4;20.2;22.7;24.0;27.0;25.0;21.2;15.9;14.0;18.8
C023;Arrasate;318;12.9;11.6;11.8;15.3;20.3;23.1;24.5;28.1;25.9;20.4;13.5;13.1;18.4
C084;Behobia;5;15.0;12.9;13.4;16.5;19.9;21.8;23.8;26.0;24.7;19.5;14.3;14.7;18.5
C0EA;Belauntza;105;13.7;12.8;12.9;16.7;21.9;24.5;25.8;28.5;26.6;21.5;14.8;13.3;19.4
C026;Berastegi;379;12.5;10.9;10.9;14.3;18.5;21.4;22.5;25.7;24.4;20.6;13.4;13.5;17.4
C058;Bidania;592;11.7;10.0;9.7;13.4;17.7;21.2;22.3;25.7;23.5;19.2;12.1;12.7;16.6
C0F0;Ereñozu;25;14.5;13.3;14.0;17.1;20.7;22.4;23.5;26.1;23.9;18.6;13.2;12.9;18.4
C0E7;Estanda;195;14.4;13.0;13.5;17.1;21.2;24.4;25.4;28.7;26.4;21.0;14.6;14.4;19.5
C018;Higer;43;16.7;13.6;13.8;16.6;19.7;21.4;23.8;25.2;24.3;19.2;14.8;15.3;18.7
C0DC;Ibai Eder;90;16.2;14.5;14.8;18.2;22.4;25.1;25.9;28.7;26.8;22.1;15.8;16.1;20.6
C071;Jaizkibel;545;12.0;9.7;10.0;12.6;16.4;18.5;20.5;22.6;21.9;17.9;12.3;13.1;15.6
C0EC;Lasarte;18;15.1;13.4;13.4;16.4;19.9;22.1;23.6;26.3;24.6;19.9;14.3;15.0;18.7
C0DE;Matxinbenta;250;14.9;13.5;14.0;17.3;21.3;23.8;24.8;27.2;24.9;19.7;14.5;14.0;19.2
C017;Miramon;113;14.3;12.7;13.2;17.4;20.9;22.6;24.0;26.8;25.1;20.2;14.6;15.5;18.9
C0F4;Oiartzun;53;15.9;13.8;14.0;17.0;20.7;22.8;24.6;26.9;25.4;20.4;15.0;15.8;19.4
C0D1;Oñati;195;13.6;12.4;12.6;16.1;21.0;23.9;25.2;28.1;25.9;20.5;13.8;12.9;18.8
C043;Ordizia;243;14.5;13.2;13.6;17.2;21.4;24.1;25.4;28.2;26.2;21.1;14.6;15.0;19.5
C0D2;San Prudentzio;175;14.0;12.8;13.0;16.5;21.2;24.2;25.6;28.6;26.4;21.1;14.4;13.6;19.3
C007;Santa Clara;48;15.2;13.1;13.4;16.1;18.5;20.3;22.3;23.8;23.4;18.6;14.5;17.6;18.1
C0D0;Urkulu;340;12.7;11.3;11.6;15.2;20.4;23.4;24.3;27.8;25.1;19.8;13.3;12.6;18.1
C064;Zarautz;80;15.0;12.8;13.1;16.1;18.9;20.7;22.9;24.9;23.8;19.1;14.4;14.3;18.0
C028;Zegama;520;12.7;10.9;11.0;14.8;19.7;23.0;23.7;27.4;25.3;19.3;12.8;12.5;17.7
C029;Zizurkil;149;14.9;13.5;13.5;16.9;21.2;23.3;24.6;27.7;25.4;20.8;14.7;15.1;19.3
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;TEMPERATURA MÁXIMA MEDIA (ºC);;;;;;;;;;;
