COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;TEMPERATURA MÁXIMA MEDIA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;8.3;13.2;16.4;18.8;23.7;26.2;27.3;28.0;23.2;21.8;12.9;8.7;19.0
C0A4;Albaina;594;;;17.5;19.3;24.4;27.5;27.0;27.0;22.2;21.5;12.8;9.0;
C056;Alegria;545;7.7;12.3;15.3;16.9;22.2;25.1;25.7;25.9;20.8;20.7;11.9;8.1;17.7
C035;Altube;618;8.7;13.6;16.3;17.9;22.9;22.6;23.1;24.2;19.8;19.8;11.7;8.0;17.4
C0A3;Antoñana;556;6.7;10.9;14.8;16.5;22.0;26.2;26.5;26.5;21.9;21.1;12.3;8.4;17.8
C016;Arkauti;517;8.8;12.8;15.3;17.3;22.4;25.0;25.8;26.5;21.9;21.5;12.6;8.6;18.2
C025;Beluntza;687;9.1;13.5;15.5;17.0;22.9;23.9;24.1;25.9;19.8;20.0;11.5;7.6;17.6
C0A2;Egino;573;7.8;12.3;14.4;15.9;;23.4;23.8;24.7;20.2;19.8;11.4;7.3;
C034;Espejo;504;9.0;13.2;16.9;18.9;23.4;27.1;28.2;28.4;23.8;22.6;13.8;9.7;19.6
C0AA;Etura;549;7.8;12.4;15.3;17.0;22.2;25.2;25.8;26.0;21.1;20.9;12.2;7.9;17.8
C067;Gardea;141;10.9;15.8;17.8;19.2;24.2;25.4;26.1;26.7;23.1;23.3;15.4;11.8;20.0
C040;Gasteiz;546;9.0;13.7;16.5;18.0;23.1;25.6;25.6;26.2;22.3;22.0;13.8;10.0;18.8
C044;Gorbea;662;7.6;12.1;14.7;15.7;20.8;23.1;21.8;22.7;18.7;19.0;11.2;7.7;16.3
C048;Herrera;1188;4.3;8.7;11.8;14.1;18.9;22.4;22.3;22.7;17.9;17.3;9.0;5.4;14.6
C068;Ilarduia;596;7.9;12.6;15.4;17.0;22.3;24.7;25.1;25.6;21.1;20.4;12.1;8.0;17.7
C024;Iturrieta;987;5.1;9.4;12.4;14.3;19.3;22.8;23.0;23.3;18.1;17.3;9.5;5.6;15.0
C00A;Kanpezu;550;8.3;12.4;16.3;18.5;23.0;27.5;28.3;28.2;22.7;21.6;13.0;8.7;19.0
C047;Kapildui;1173;4.1;8.8;12.1;13.6;18.2;21.8;21.5;22.0;17.5;16.2;8.4;4.9;14.1
C031;Moreda;490;9.6;13.7;17.9;20.2;24.8;29.4;29.8;29.6;24.4;22.8;14.1;9.8;20.5
C041;Navarrete;689;7.3;11.8;15.5;17.4;22.1;25.9;26.4;26.5;21.4;20.4;12.1;7.8;17.9
C055;Ozaeta;548;8.6;13.7;17.3;19.0;24.4;25.8;24.9;25.3;20.6;20.8;12.0;8.0;18.4
C060;Páganos;577;8.4;12.2;16.4;18.9;23.3;27.4;28.1;28.0;22.9;21.4;12.8;8.7;19.0
C0A1;Pagoeta;705;5.7;10.0;13.7;16.4;20.8;24.1;25.6;25.2;20.4;19.6;11.3;7.5;16.7
C021;Roitegi;980;5.0;9.4;12.4;14.3;19.3;23.1;23.6;24.1;18.6;17.7;9.7;5.9;15.2
C030;Salvatierra;589;8.3;12.8;15.8;18.2;22.9;26.0;26.7;27.1;21.9;21.4;12.7;8.1;18.5
C051;Saratxo;230;10.8;15.8;17.9;19.3;24.5;25.5;26.2;26.9;22.8;23.4;15.2;11.8;20.0
C0A0;Sarria;655;8.6;13.8;16.7;18.7;23.5;25.2;24.6;25.3;20.3;19.7;11.6;7.2;17.9
C049;Subijana;537;7.5;12.4;15.9;17.8;22.8;25.6;26.3;26.9;22.2;21.4;12.6;8.4;18.3
C00B;Tobillas;700;;;;;21.6;24.8;25.7;26.3;21.7;21.5;12.6;8.4;
C020;Trebiño;578;7.8;12.4;15.8;18.1;23.1;26.7;27.4;27.3;22.4;21.2;12.6;8.5;18.6
C070;Zaldiaran;980;4.3;8.8;12.0;13.6;18.6;21.4;21.4;22.3;18.1;17.4;9.1;5.2;14.4
C050;Zambrana;470;8.6;13.6;17.5;19.6;24.4;28.0;29.2;29.0;23.9;22.6;13.8;9.6;20.0
C0B1;Abusu (La Peña);23;10.7;15.5;17.1;17.7;23.0;24.0;24.3;25.0;21.8;21.2;14.6;11.8;18.9
C079;Amorebieta;65;10.5;15.6;17.0;18.2;23.3;24.6;25.0;25.4;22.0;22.3;15.2;12.0;19.3
C0C1;Aranguren;92;13.3;17.8;19.5;20.5;25.9;25.6;25.8;26.4;22.9;23.7;15.9;12.7;20.8
C061;Arboleda;329;10.0;14.5;15.4;15.8;21.3;22.1;22.8;23.6;20.7;20.7;14.3;11.4;17.7
C032;Areta;122;11.8;15.5;17.2;18.3;23.6;24.6;25.1;25.8;22.5;22.5;14.9;11.6;19.4
C002;Arteaga;19;12.3;17.1;17.5;18.0;22.7;24.6;25.3;25.8;22.3;21.6;16.2;13.1;19.7
C0C2;Balmaseda;178;9.2;14.1;16.4;17.4;22.8;24.3;25.4;25.9;22.3;22.3;14.0;11.0;18.8
C069;Bermeo;106;11.5;15.5;16.0;17.0;21.5;23.2;24.0;24.1;21.3;21.1;15.6;12.8;18.6
C0B6;Berna;95;10.4;15.7;17.4;19.2;24.3;25.4;26.0;26.8;22.5;22.2;14.2;11.3;19.6
C0BE;Berriatua;25;11.9;16.4;17.2;17.7;22.5;24.0;23.9;24.0;21.8;21.0;15.3;12.6;19.0
C065;Cerroja;677;8.1;12.4;14.1;15.2;20.2;21.5;22.4;22.4;18.1;19.0;11.7;8.6;16.2
C003;Derio;30;11.7;16.3;17.5;18.4;23.7;24.6;25.3;26.4;22.9;22.9;15.8;13.2;19.9
C039;Deusto;3;12.3;16.1;16.8;17.0;22.3;23.3;23.7;24.7;21.6;21.7;15.9;12.8;19.0
C075;Eitzaga;270;11.7;16.6;18.3;19.4;25.2;26.8;26.1;26.4;23.4;22.4;14.8;11.6;20.2
C074;Elorrio;167;9.7;16.0;18.4;19.8;24.7;25.7;26.4;26.9;22.5;21.7;13.9;11.4;19.7
C009;Galdakao;30;;;;;;;;26.4;22.8;22.6;15.7;12.9;
C038;Galindo;5;12.2;16.4;17.7;18.4;23.6;24.3;24.8;25.7;22.6;22.3;16.3;13.3;19.8
C033;Igorre;150;11.6;16.4;18.7;20.2;25.2;25.2;25.5;26.3;22.6;22.7;15.4;12.1;20.1
