_id,URTEA/ANIO,JARDUERA_ZENBAKIA/NUM_ACTUACION,ALTA_DATA/FECHA ALTA,ERABILTZAILEA_EU/USUARIO_EU,ERABILTZAILEA_CAS/USUARIO_CAS,UDALERRIA/MUNICIPIO,HELBIDEA/DIRECCION,ESPEZIE/ESPECIE,KOKALEKUA/UBICACION,ALTUERA/ALTURA,DIAMETROA/DIAMETRO,longitude,latitude,EGOERA_EU/ESTADO_EU,EGOERA_CAS/ESTADO_CAS,ITXIERA_DATA/FECHA CIERRE,ITXIERAKO AGENTEA_EU/AGENTE CIERRE_EU,ITXIERAKO AGENTEA_CAS/AGENTE CIERRE_CAS
17,2018,1577,2018-10-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,BARRIO ARTA SN,AVISPA ASIÁTICA,CONSTRUCCIÓN,5,15,"531149,7891","4778093,041",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-13 00:00:00,SUHILTZAILEAK,BOMBEROS
18,2018,1507,2018-08-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,KAMIÑOPEA 6-5º IZD ABADIÑO,ABEJA,CONSTRUCCIÓN,8,10,"532227,8313","4777162,254",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-08-08 00:00:00,SUHILTZAILEAK,BOMBEROS
19,2018,1463,2018-07-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,MUNTSARATZ 45 ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,12,30,"532794,4767","4776451,706",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-07-08 00:00:00,SUHILTZAILEAK,BOMBEROS
20,2018,1294,2018-02-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ABADIÑO LEBARIO 6 ABADIÑO BIZKAIA,AVISPA ASIÁTICA,ARBOLADO,10,10,"532468,038","4779169,747",ITXITA - EZIN DA EZABATU,CERRADA - NO ELIMINABLE,2018-02-08 00:00:00,SUHILTZAILEAK,BOMBEROS
21,2018,917,2018-07-20 00:00:00,BASALAN,BASALAN,ABADIÑO,MUNTSARATS 60,AVISPA ASIÁTICA,CONSTRUCCIÓN,12,40,"532234,0342","4776818,139",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-07-20 00:00:00,SUHILTZAILEAK,BOMBEROS
22,2018,891,2018-07-20 00:00:00,BASALAN,BASALAN,ABADIÑO,MUNTSARATZ 8,AVISPA ASIÁTICA,CONSTRUCCIÓN,6,60,"531778,9511","4778367,681",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-07-20 00:00:00,SUHILTZAILEAK,BOMBEROS
23,2018,914,2018-07-20 00:00:00,BASALAN,BASALAN,ABADIÑO,"TRAÑABARREN HIRIBIDEA, 33",ABEJA,CONSTRUCCIÓN,7,10,"531614,7071","4779305,375",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-07-20 00:00:00,SUHILTZAILEAK,BOMBEROS
24,2019,168,2019-05-30 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,AL LADO DE TORREBURU Nº10,AVISPA ASIÁTICA,CONSTRUCCIÓN,6,30,"531423,8703","4777433,263",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-05-30 00:00:00,BASALAN,BASALAN
25,2019,213,2019-07-06 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ARLOZABAL,AVISPA ASIÁTICA,CONSTRUCCIÓN,2,10,"532092,4451","4777209,48",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-10-06 00:00:00,BASALAN,BASALAN
39,2018,4026,2018-11-23 00:00:00,BASALAN,BASALAN,ABADIÑO,GEREDIAGA1 BAJO,AVISPA ASIÁTICA,ARBOLADO,0,10,"504851,6711","4790413,449",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-11-23 00:00:00,BASALAN,BASALAN
26,2019,433,2019-08-07 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,BI-3341 11  ,AVISPA COMÚN,CONSTRUCCIÓN,1,2,"532159,8765","4779313,026",ITXITA - EZIN DA EZABATU,CERRADA - NO ELIMINABLE,2019-09-07 00:00:00,UDALA ,AYUNTAMIENTO 
27,2019,530,2019-07-17 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,GEREDIAGA 17,AVISPA ASIÁTICA,ARBOLADO,10,30,"531935,3457","4780148,634",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-07-22 00:00:00,BASALAN,BASALAN
