COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;;TEMPERATURA MEDIA (ºC);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;5.4;3.5;7.3;11.4;12.3;17.2;20.0;19.6;18.3;11.8;8.8;6.4;11.8
C0A4;Albaina;594;5.0;3.1;6.6;10.7;11.7;16.3;19.3;19.0;17.4;11.4;8.6;5.8;11.2
C056;Alegria;545;5.4;3.1;6.8;11.6;11.9;16.7;19.5;19.2;18.2;11.9;9.1;6.5;11.6
C035;Altube;618;5.1;2.3;6.4;10.5;11.2;15.5;18.1;17.7;17.0;10.9;8.3;6.1;10.8
C0A3;Antoñana;556;4.8;2.6;5.9;10.0;11.6;16.1;19.6;19.5;17.6;11.2;7.7;6.1;11.1
C016;Arkauti;517;5.6;3.4;7.0;11.3;12.0;16.5;19.3;18.9;17.9;11.9;9.0;6.7;11.6
C025;Beluntza;687;5.2;2.0;5.8;10.0;10.6;15.0;17.5;17.6;16.9;10.8;8.1;7.0;10.6
C0A2;Egino;573;4.6;2.4;6.2;10.5;11.0;15.8;18.7;18.5;17.9;11.7;9.0;6.3;11.1
C034;Espejo;504;6.0;4.1;7.5;10.8;12.4;17.0;20.1;19.8;18.4;11.9;8.9;6.1;11.9
C0AA;Etura;549;5.0;3.1;6.7;10.8;11.6;16.4;19.3;18.9;17.9;11.7;8.9;6.4;11.4
C067;Gardea;141;8.1;5.7;10.2;14.0;14.2;18.2;21.1;20.6;19.8;14.0;11.6;8.7;13.9
C040;Gasteiz;546;7.6;5.1;8.5;12.6;13.3;17.5;20.6;21.0;19.4;13.4;10.5;9.1;13.2
C044;Gorbea;662;4.5;2.1;5.6;9.5;10.5;14.7;17.6;17.2;16.1;10.4;7.5;5.8;10.1
C048;Herrera;1188;3.7;0.2;3.4;8.4;9.9;14.7;17.5;17.6;16.7;9.8;6.4;6.7;9.6
C068;Ilarduia;596;5.3;3.0;6.9;11.2;11.8;16.5;19.5;19.2;18.4;12.1;9.4;6.9;11.7
C024;Iturrieta;987;2.9;-0.1;3.3;8.0;9.3;14.1;17.0;17.0;15.7;9.2;6.1;4.6;8.9
C00A;Kanpezu;550;5.8;3.8;6.8;10.8;12.9;17.6;20.9;21.0;19.2;12.6;8.6;7.2;12.3
C047;Kapildui;1173;3.4;0.0;2.8;7.7;9.2;14.4;17.1;17.2;16.1;9.6;6.0;6.5;9.2
C031;Moreda;490;7.6;5.3;8.6;12.7;14.9;19.6;22.7;23.0;21.0;14.2;10.1;8.9;14.1
C041;Navarrete;689;4.7;2.6;5.9;10.0;11.7;16.3;19.3;19.1;17.5;11.1;7.8;6.1;11.0
C055;Ozaeta;548;4.5;2.7;6.4;10.5;11.6;16.1;18.7;17.7;17.0;11.2;8.2;5.3;10.8
C060;Páganos;577;6.0;3.8;7.1;11.3;13.5;18.1;20.9;21.1;19.1;12.3;8.4;6.3;12.3
C0A1;Pagoeta;705;4.6;2.5;6.1;9.9;10.8;15.2;18.4;17.7;16.4;10.2;7.9;5.9;10.5
C021;Roitegi;980;3.7;0.6;3.9;8.4;9.9;14.6;17.5;17.7;16.4;9.9;6.7;5.7;9.6
C030;Salvatierra;589;4.8;2.8;6.6;11.0;11.6;16.5;19.4;19.2;18.2;11.9;9.0;6.2;11.4
C051;Saratxo;230;8.4;5.7;10.1;13.7;14.1;18.4;21.1;20.6;19.8;14.2;11.9;9.5;14.0
