COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;;TEMPERATURA MEDIA (ºC);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C074;Elorrio;167;10.0;8.9;9.3;12.2;15.9;18.4;20.3;21.1;19.4;14.3;10.3;8.9;14.1
C038;Galindo;5;12.2;10.6;10.8;13.3;16.5;18.7;20.8;21.5;20.0;16.3;12.1;11.6;15.4
C033;Igorre;150;10.5;9.2;9.2;12.0;15.6;18.3;20.3;21.4;19.7;15.4;11.0;10.0;14.4
C0BD;Iruzubieta;110;9.3;8.3;8.5;10.9;14.6;17.1;19.0;19.6;18.0;13.4;9.6;8.6;13.1
C036;Iurreta;180;10.8;9.5;9.5;12.4;16.1;18.6;20.6;21.7;20.2;15.7;11.3;10.5;14.7
C045;La Garbea;717;8.1;6.7;6.4;8.7;12.8;15.7;17.6;19.4;17.7;14.3;9.2;9.1;12.1
C0B7;Mañaria;168;10.5;9.3;9.5;12.1;15.8;18.5;20.3;21.3;19.8;14.9;10.4;8.0;14.2
C019;Matxitxako;433;10.0;8.4;8.3;10.6;13.7;15.9;18.3;19.4;17.9;15.2;10.4;10.8;13.2
C057;Mungia;22;12.1;10.8;10.9;13.4;16.7;19.0;21.1;21.8;20.3;16.0;12.0;11.3;15.4
C063;Muxika;16;10.1;8.9;8.9;11.4;15.3;17.7;20.2;20.8;19.2;15.1;11.4;10.6;14.1
C046;Oiz;980;5.7;3.9;3.6;5.9;10.0;13.0;15.0;16.9;15.6;11.9;6.8;7.9;9.7
C0BA;Oleta;14;11.3;10.1;10.2;12.4;15.8;18.1;20.6;20.7;19.4;15.0;11.2;10.4;14.6
C059;Ordunte;300;8.8;7.5;7.5;9.6;13.7;16.3;18.1;19.3;17.8;13.5;9.1;7.7;12.4
C072;Orduña;934;5.7;4.7;4.5;6.9;11.3;14.5;16.1;18.0;16.5;12.3;7.1;5.7;10.3
C0B4;Orozko;200;9.2;8.0;8.1;10.8;14.6;17.3;19.2;20.2;18.7;14.1;9.6;8.5;13.2
C054;Otxandio;556;6.9;5.9;6.2;8.7;12.6;15.7;17.7;18.2;16.5;11.5;7.1;5.5;11.0
C042;Punta Galea;61;12.6;11.0;11.0;12.9;15.7;17.8;20.3;20.8;19.6;16.1;12.6;12.0;15.2
C0B9;Sangroniz;10;10.6;9.2;9.4;11.8;15.1;17.6;19.6;20.0;18.4;14.2;10.3;9.4;13.8
