COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;;TEMPERATURA MEDIA (ºC);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;3.8;6.3;8.4;9.8;11.9;17.6;19.8;19.5;16.5;13.5;7.7;6.1;11.7
C0A4;Albaina;594;3.5;5.8;7.5;9.1;11.0;17.1;19.5;18.9;15.7;13.3;7.7;5.8;11.2
C056;Alegria;545;3.5;6.9;8.1;9.4;11.2;17.3;19.5;18.9;16.1;13.7;7.6;6.0;11.5
C035;Altube;618;3.2;6.4;7.7;8.8;10.5;15.4;17.9;17.3;15.0;12.9;7.1;6.1;10.7
C0A3;Antoñana;556;3.5;5.7;7.6;9.1;11.2;18.0;20.4;19.7;16.1;12.8;7.0;5.9;11.4
C016;Arkauti;517;3.8;6.6;8.2;9.5;11.4;17.0;19.6;19.2;16.5;13.9;8.2;6.6;11.7
C025;Beluntza;687;3.4;7.0;7.7;8.4;10.2;15.0;17.7;17.6;14.7;12.5;6.6;6.3;10.6
C0A2;Egino;573;3.1;7.1;7.6;9.1;10.7;17.1;19.1;18.9;16.1;13.3;7.1;5.9;11.3
C034;Espejo;504;4.2;5.9;8.4;9.9;12.3;17.7;20.1;19.9;16.8;13.7;8.3;6.2;11.9
C0AA;Etura;549;;;7.6;9.1;10.9;17.0;19.6;19.0;16.2;13.5;7.6;5.9;
C067;Gardea;141;6.1;9.5;10.6;11.9;13.5;18.1;21.0;20.8;18.3;15.9;10.1;9.3;13.8
C040;Gasteiz;546;5.9;9.4;10.1;11.1;12.9;18.1;19.8;19.4;16.9;14.6;8.6;7.5;12.9
C044;Gorbea;662;3.4;5.3;7.0;8.1;10.0;14.9;17.1;16.7;14.3;11.5;6.2;5.2;10.0
C048;Herrera;1188;1.8;6.5;6.6;6.9;9.5;16.1;17.8;17.9;14.2;11.9;4.6;6.6;10.0
C068;Ilarduia;596;3.7;7.8;8.3;9.6;11.3;17.7;19.8;19.4;16.7;13.9;7.5;6.3;11.8
C024;Iturrieta;987;1.2;4.7;5.5;6.5;8.6;15.5;17.7;17.3;13.8;11.0;4.8;4.6;9.3
C00A;Kanpezu;550;4.6;6.3;8.3;10.0;12.4;19.2;21.7;21.1;17.2;13.4;7.3;6.1;12.3
C047;Kapildui;1173;1.9;6.0;6.2;6.1;8.5;14.9;16.9;16.8;13.4;10.8;3.9;5.9;9.3
C031;Moreda;490;6.1;8.9;10.8;11.8;14.6;21.3;23.4;23.0;19.1;15.0;9.3;8.4;14.3
C041;Navarrete;689;3.2;5.5;7.5;8.8;11.0;17.7;19.8;19.3;15.8;12.9;7.0;5.8;11.2
C055;Ozaeta;548;2.9;5.7;7.6;9.2;10.8;16.8;19.3;18.7;16.0;12.9;6.9;5.3;11.0
C060;Páganos;577;3.9;7.2;9.1;10.4;13.0;19.6;21.9;21.3;17.3;14.7;7.6;6.7;12.7
C0A1;Pagoeta;705;2.9;4.7;7.1;8.2;10.0;15.8;18.1;17.9;14.8;12.3;7.1;5.8;10.4
C021;Roitegi;980;2.1;5.7;6.4;7.1;9.3;16.1;18.3;18.0;14.5;11.7;5.2;5.4;10.0
C030;Salvatierra;589;3.2;6.9;7.9;9.1;10.9;17.2;19.9;20.2;16.1;13.4;7.1;5.5;11.4
C051;Saratxo;230;6.2;9.6;10.6;11.8;13.7;18.4;21.3;21.0;18.4;16.3;10.5;9.2;13.9
