COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;VELOCIDAD MEDIA (km/h);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C056;Alegria;545;8.4;8.2;9.1;8.6;8.2;7.4;6.7;6.4;6.7;6.8;11.7;8.7;8.1
C035;Altube;618;6.4;6.9;7.3;7.4;6.7;7.0;6.5;6.1;5.5;5.4;7.0;7.5;6.6
C016;Arkauti;517;9.0;7.2;9.6;9.0;9.8;9.8;9.3;8.8;8.0;7.6;10.8;9.3;9.0
C025;Beluntza;687;19.0;19.4;18.0;17.6;17.1;17.2;16.2;14.9;15.1;16.3;19.6;20.7;17.6
C034;Espejo;504;5.2;5.8;6.6;6.5;6.5;6.5;5.5;5.4;5.5;5.1;6.8;5.7;5.9
C0AA;Etura;549;10.2;9.2;10.1;10.2;9.9;9.7;9.0;8.0;8.4;8.7;11.8;10.1;9.6
C067;Gardea;141;5.4;8.3;8.0;7.5;6.2;6.8;6.2;6.4;6.3;6.3;7.2;8.4;6.9
C040;Gasteiz;546;9.0;6.8;9.3;9.6;9.6;10.4;9.4;9.4;8.6;8.3;12.2;9.5;9.4
C048;Herrera;1188;22.6;18.4;19.0;16.4;16.5;14.3;13.3;13.1;14.8;17.3;25.3;21.9;17.7
C068;Ilarduia;596;12.1;13.9;12.6;14.6;12.5;15.9;15.0;14.4;12.3;12.4;15.5;13.6;13.7
C024;Iturrieta;987;14.4;13.9;13.2;14.1;12.8;13.7;10.8;10.1;10.9;12.0;19.9;15.1;13.4
C00A;Kanpezu;550;14.3;12.0;10.7;11.3;10.7;11.4;10.9;9.4;9.1;9.3;14.3;11.7;11.3
C047;Kapildui;1173;23.9;22.3;21.1;19.3;18.8;19.0;16.1;14.9;18.7;20.4;29.2;24.0;20.6
C031;Moreda;490;17.3;12.9;13.6;14.0;14.3;14.6;13.4;12.0;12.1;12.0;17.3;15.3;14.1
C041;Navarrete;689;9.9;10.0;9.5;10.9;8.3;9.6;7.0;6.3;7.2;7.9;13.4;10.8;9.2
C060;Páganos;577;13.0;13.7;11.9;12.8;9.7;11.2;7.7;7.2;8.2;9.9;16.2;14.5;11.3
C021;Roitegi;980;19.7;16.2;17.1;16.2;16.9;15.2;12.9;12.0;13.7;14.4;22.4;17.2;16.2
C030;Salvatierra;589;8.8;7.3;8.6;8.3;8.3;7.9;7.7;7.1;7.6;7.3;10.6;8.2;8.1
