COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;VELOCIDAD MEDIA (km/h);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C056;Alegria;545;7.7;9.1;14.4;10.0;6.7;6.1;5.9;6.2;5.5;7.1;9.1;6.3;7.8
C035;Altube;618;6.3;7.0;9.6;8.4;6.6;6.4;6.7;6.0;6.2;6.8;7.0;5.6;6.9
C016;Arkauti;517;7.8;9.8;13.7;10.5;8.5;8.1;8.3;8.4;6.8;8.7;8.6;7.2;8.9
C025;Beluntza;687;17.1;18.9;22.9;19.5;15.0;14.0;14.0;13.8;14.9;18.8;19.3;16.3;17.0
C034;Espejo;504;5.5;7.0;10.1;7.2;6.0;5.5;5.3;5.8;5.3;5.6;6.9;4.3;6.2
C0AA;Etura;549;7.5;10.3;14.8;11.9;7.9;7.7;7.9;8.1;7.5;10.1;10.5;6.5;9.2
C067;Gardea;141;7.2;6.2;10.8;7.5;5.4;4.7;4.4;5.6;6.3;6.4;8.8;6.7;6.7
C040;Gasteiz;546;8.7;9.2;13.8;9.8;8.4;8.3;8.6;8.4;7.4;8.7;9.4;7.9;9.1
C048;Herrera;1188;22.8;21.6;24.6;18.0;14.0;13.3;11.9;12.8;13.2;16.8;20.2;22.4;17.6
C068;Ilarduia;596;11.6;12.8;18.5;16.6;11.0;11.6;13.6;11.9;12.7;12.4;15.7;11.4;13.3
C024;Iturrieta;987;13.8;13.9;19.9;15.5;9.8;10.5;9.0;9.4;10.1;13.0;16.1;11.5;12.7
C00A;Kanpezu;550;12.0;12.3;14.3;11.4;8.9;9.2;8.9;10.1;9.8;11.1;10.9;10.6;10.8
C047;Kapildui;1173;24.7;24.3;26.4;21.2;15.9;15.9;13.8;15.6;15.5;19.8;23.9;24.7;20.1
C031;Moreda;490;15.8;15.0;17.8;14.9;12.2;11.7;11.1;12.9;11.1;13.8;12.4;13.0;13.5
C041;Navarrete;689;8.9;9.7;14.7;13.0;6.8;7.0;5.7;6.1;6.8;9.1;11.6;7.5;8.9
C060;Páganos;577;14.6;13.9;17.2;14.7;8.5;7.9;6.4;6.6;7.4;9.8;12.5;12.2;11.0
C021;Roitegi;980;17.3;21.4;23.1;17.4;13.3;12.2;10.8;12.1;12.2;16.3;18.5;13.6;15.7
C030;Salvatierra;589;6.7;9.2;13.8;9.9;6.8;6.6;6.9;7.3;6.6;8.1;8.4;5.5;8.0
