COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MÁXIMO
C063;Muxika;16;1.594;1.131;0.510;0.668;1.102;0.224;0.320;0.226;0.843;0.662;1.622;1.622;1.622
C0BA;Oleta;14;1.872;1.464;0.492;0.412;1.040;0.292;0.250;0.154;0.612;0.542;1.809;2.226;2.226
C0B4;Orozko;200;2.080;1.539;0.349;0.310;0.269;0.088;0.121;0.136;0.159;0.223;0.921;1.454;2.080
C054;Otxandio;556;2.735;2.238;0.560;0.663;1.249;0.204;0.303;0.258;0.602;0.931;2.783;2.966;2.966
C0B9;Sangroniz;10;2.383;2.192;1.113;1.051;0.894;0.613;0.874;0.863;1.154;1.227;2.436;1.975;2.436
C0C4;Sodupe-Cadagua;56;1.863;1.760;0.418;0.442;0.357;0.315;0.292;0.292;0.306;0.421;1.058;1.300;1.863
C0B3;Urkizu;75;2.821;2.102;0.819;0.848;0.604;0.470;0.324;0.332;0.496;0.847;1.605;1.936;2.821
C0E5;Agauntza;180;1.557;1.539;0.508;0.514;0.786;0.330;0.282;0.465;0.182;0.418;1.084;1.223;1.557
C0DB;Aitzu;312;1.308;1.223;0.404;0.700;0.742;0.426;0.267;0.763;0.327;0.472;1.366;1.366;1.366
C0D3;Aixola;320;0.494;0.364;0.162;0.261;0.366;0.195;0.263;0.211;0.341;0.255;0.750;0.614;0.750
C0DD;Aizarnazabal;25;1.802;1.698;0.703;0.979;1.070;0.563;0.411;0.677;0.423;0.744;1.744;1.802;1.802
C0E9;Alegia;90;3.004;3.092;0.716;0.904;1.140;0.574;0.470;0.758;0.394;0.722;1.856;2.369;3.092
C078;Altzola;17;3.130;3.179;0.758;1.056;1.156;0.604;0.476;0.740;0.692;0.894;3.184;4.120;4.120
C052;Ameraun;285;1.845;1.559;0.631;0.574;1.663;0.738;0.410;0.505;0.323;0.351;1.629;1.996;1.996
C0E1;Amundarain;111;1.317;1.316;0.455;0.656;0.799;0.385;0.338;0.631;0.403;0.783;1.073;1.137;1.317
C077;Andoain;52;1.624;1.390;0.640;0.630;1.440;0.627;0.447;0.498;0.386;0.542;1.375;1.616;1.624
C080;Añarbe;184;1.094;0.995;0.482;0.510;1.665;0.657;0.380;0.541;0.448;0.521;1.178;1.435;1.665
C0E8;Araxes;141;1.697;1.460;0.630;0.639;1.267;0.507;0.400;0.502;0.289;0.419;1.460;1.512;1.697
C0EA;Belauntza;105;0.841;0.747;0.436;0.506;0.969;0.368;0.310;0.374;0.274;0.344;0.731;0.836;0.969
C0F0;Ereñozu;25;1.733;1.583;0.734;0.642;2.028;0.790;0.592;0.573;0.482;0.744;1.567;1.915;2.028
C0E7;Estanda;195;1.254;1.160;0.328;0.567;0.576;0.302;0.250;0.502;0.225;0.330;0.964;1.355;1.355
C0DC;Ibai Eder;90;0.985;0.900;0.338;0.558;0.494;0.254;0.178;0.333;0.228;0.318;0.771;0.911;0.985
C0EC;Lasarte;18;3.286;3.448;0.895;0.984;2.031;0.746;0.564;0.762;0.504;0.796;2.757;3.310;3.448
C0DE;Matxinbenta;250;0.748;0.689;0.338;0.418;0.445;0.226;0.138;0.271;0.149;0.277;0.647;0.794;0.794
C0F4;Oiartzun;53;1.137;0.938;0.490;0.566;2.353;0.782;0.541;0.566;0.711;0.718;1.130;1.061;2.353
C0D1;Oñati;195;2.100;2.018;0.470;0.927;1.099;0.344;0.336;0.593;0.392;0.572;1.555;1.838;2.100
C0D2;San Prudentzio;175;1.923;1.765;0.550;0.834;0.995;0.510;0.440;0.791;0.669;0.692;1.593;1.949;1.949
C0D0;Urkulu;340;0.748;0.748;0.218;0.580;0.400;0.118;0.134;0.352;0.266;0.336;0.654;0.842;0.842
COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MÁXIMO
;;;;;;NIVEL MÁXIMO (m);;;;;;;;;
