COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MÁXIMO
;;;;;;NIVEL MÁXIMO (m);;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAXIMOA
C076;Abetxuko;510;2.428;2.616;0.083;0.111;0.075;0.067;0.077;0.086;0.083;0.085;0.811;1.957;2.616
C0A4;Albaina;594;1.688;1.017;0.270;0.360;0.311;0.242;0.179;0.285;0.116;0.131;0.789;0.880;1.688
C056;Alegria;545;1.762;1.691;0.330;0.452;0.520;0.569;0.618;1.109;0.629;0.594;1.613;1.566;1.762
C0A3;Antoñana;556;1.654;1.250;0.521;0.744;0.694;0.516;0.479;0.522;0.476;0.487;1.108;1.215;1.654
C0A2;Egino;573;1.603;1.266;0.310;0.323;0.714;0.251;0.180;0.459;0.302;0.262;0.987;2.216;2.216
C0AA;Etura;549;2.798;2.284;0.312;0.372;0.463;0.331;0.223;0.415;0.280;0.223;1.975;2.786;2.798
C067;Gardea;141;1.602;1.018;0.456;0.562;0.296;0.178;0.232;0.321;0.302;0.554;1.008;1.108;1.602
C055;Ozaeta;548;1.983;1.530;0.202;0.249;0.569;0.190;;;;;0.925;1.670;
C0A1;Pagoeta;705;0.533;0.378;0.250;0.411;0.263;0.254;0.256;0.345;0.252;0.192;0.414;0.314;0.533
C051;Saratxo;230;2.343;1.621;0.428;0.576;0.220;0.146;0.148;0.157;0.292;0.554;0.909;1.060;2.343
C0A0;Sarria;655;1.661;1.183;0.732;0.518;0.532;0.274;0.223;0.277;0.664;0.603;1.058;1.203;1.661
C0B1;Abusu (La Peña);23;3.865;3.445;0.922;0.963;1.016;0.346;0.396;0.286;0.828;1.111;2.850;3.544;3.865
C079;Amorebieta;65;2.604;2.114;0.691;0.737;1.176;0.456;0.514;0.448;1.009;0.902;3.202;3.845;3.845
C0C1;Aranguren;92;3.796;3.465;0.734;0.850;0.730;0.605;0.571;0.591;0.657;0.933;2.109;2.524;3.796
C032;Areta;122;1.265;0.965;0.500;0.460;0.339;0.279;0.326;0.304;0.501;0.355;0.772;0.896;1.265
C0C2;Balmaseda;178;2.256;2.124;0.350;0.372;0.328;0.293;0.293;0.260;0.321;0.364;0.959;1.215;2.256
C0BE;Berriatua;25;1.363;1.147;0.497;0.554;0.964;0.383;0.303;0.261;0.544;0.545;1.582;1.655;1.655
C074;Elorrio;167;1.190;0.718;0.268;0.372;0.584;0.231;0.233;0.279;0.444;0.416;1.380;1.693;1.693
C009;Galdakao;30;5.110;4.900;1.481;1.484;1.962;0.802;0.772;0.692;1.415;1.751;4.953;5.474;5.474
C0BD;Iruzubieta;110;1.033;0.744;0.384;0.325;0.806;0.300;0.243;0.222;0.593;0.490;1.485;1.299;1.485
C0B7;Mañaria;168;1.091;0.838;0.430;0.414;0.630;0.212;0.306;0.192;0.469;0.584;1.073;1.294;1.294
C057;Mungia;22;4.939;4.732;2.064;2.061;10.354;;0.708;0.591;1.083;3.079;5.254;5.246;
