COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MÁXIMO
;;;;;;NIVEL MÁXIMO (m);;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAXIMOA
C076;Abetxuko;510;0.166;2.837;2.572;0.519;0.089;0.095;0.065;0.074;0.068;0.058;0.178;0.063;2.837
C056;Alegria;545;0.652;1.897;1.891;0.871;0.641;0.924;0.564;0.692;0.624;0.560;0.655;0.172;1.897
C0AA;Etura;549;0.613;2.833;2.767;0.656;0.553;0.340;0.134;0.093;0.209;0.216;0.515;0.278;2.833
C067;Gardea;141;0.626;1.660;1.428;0.991;0.442;0.334;0.226;0.138;0.550;0.216;0.968;0.476;1.660
C055;Ozaeta;548;0.404;1.645;1.446;0.571;0.145;0.148;0.166;0.178;0.131;0.304;0.680;0.385;1.645
C051;Saratxo;230;0.471;1.654;1.253;0.805;0.300;0.294;0.139;0.122;0.318;0.112;1.107;0.447;1.654
C0A0;Sarria;655;0.453;1.376;0.932;0.683;0.334;0.231;0.204;0.094;0.555;0.291;1.073;0.463;1.376
C0B1;Abusu (La Peña);23;1.378;4.313;3.046;1.484;0.434;0.466;0.362;0.156;0.808;0.386;2.434;0.502;4.313
C079;Amorebieta;65;1.059;4.014;2.115;1.042;0.462;0.492;0.414;0.326;0.650;0.442;1.730;0.371;4.014
C0C1;Aranguren;92;1.472;3.578;3.742;1.784;0.722;0.603;0.620;0.548;0.666;0.524;1.556;0.683;3.742
C032;Areta;122;0.567;1.381;1.047;0.599;0.336;0.290;0.293;0.259;0.454;0.309;0.747;0.386;1.381
C0C2;Balmaseda;178;0.456;2.543;2.690;0.826;0.358;0.313;0.295;0.260;0.278;0.268;0.646;0.304;2.690
C0BE;Berriatua;25;0.763;2.373;1.232;0.642;0.263;0.310;0.262;0.191;0.481;0.241;1.196;0.230;2.373
C074;Elorrio;167;0.485;1.644;0.837;0.449;0.278;0.269;0.222;0.155;0.283;0.181;0.653;0.143;1.644
C0BD;Iruzubieta;110;0.584;1.676;0.964;0.543;0.246;0.289;0.251;0.166;0.455;0.243;0.916;0.175;1.676
C0B7;Mañaria;168;0.492;1.343;0.988;0.516;0.264;0.248;0.176;0.160;0.330;0.270;0.890;0.198;1.343
C057;Mungia;22;2.068;6.174;4.774;1.213;0.881;1.328;0.627;0.351;1.675;0.726;5.622;0.702;6.174
C063;Muxika;16;0.666;2.592;1.382;0.636;0.302;0.272;0.216;0.154;0.583;0.280;1.120;0.198;2.592
C0BA;Oleta;14;0.702;2.775;1.377;0.654;0.222;0.314;0.210;0.140;0.558;0.246;1.926;0.192;2.775
C0B4;Orozko;200;0.630;2.083;1.553;0.667;0.104;0.110;0.068;0.068;0.231;0.064;0.879;0.266;2.083
C054;Otxandio;556;0.821;3.373;2.335;0.902;0.368;0.302;0.221;0.114;0.318;0.203;1.894;0.262;3.373
