COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MÁXIMO
;;;;;;NIVEL MÁXIMO (m);;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAXIMOA
C076;Abetxuko;510;1.472;1.293;0.586;3.169;0.292;0.398;0.157;0.093;0.077;0.108;0.121;0.098;3.169
C0A4;Albaina;594;0.856;0.844;0.885;1.574;0.498;0.433;0.275;0.180;0.274;0.255;0.449;0.417;1.574
C056;Alegria;545;1.707;1.492;1.422;1.945;1.289;0.948;1.385;0.666;0.636;0.740;0.516;0.491;1.945
C0A3;Antoñana;556;1.017;0.961;1.030;1.669;0.835;0.785;0.577;0.453;0.524;0.535;0.789;0.699;1.669
C0A2;Egino;573;0.907;0.941;0.725;1.692;0.471;0.512;0.560;0.127;;;0.545;0.707;1.692
C0AA;Etura;549;1.787;1.133;0.842;2.941;0.609;1.634;0.400;0.137;0.147;0.218;0.502;0.710;2.941
C067;Gardea;141;1.406;1.218;1.072;1.181;0.822;1.114;0.676;0.152;0.108;0.578;0.548;0.470;1.406
C055;Ozaeta;548;0.843;1.266;0.754;1.959;0.273;0.644;0.401;0.042;;0.128;0.377;0.441;1.959
C0A1;Pagoeta;705;0.319;0.299;0.491;0.873;0.664;0.563;0.372;0.224;0.253;0.226;0.219;0.229;0.873
C051;Saratxo;230;1.129;1.219;1.038;1.079;0.978;0.758;0.833;0.126;0.100;0.486;0.512;0.422;1.219
C0A0;Sarria;655;0.745;1.550;0.869;1.409;0.654;0.506;0.686;0.283;0.322;0.981;1.023;0.459;1.550
C0B1;Abusu (La Peña);23;3.137;3.136;2.026;3.546;1.112;2.302;1.516;0.363;0.136;1.913;1.226;0.811;3.546
C079;Amorebieta;65;3.564;2.049;1.212;3.087;0.850;2.077;1.282;0.509;0.391;1.159;0.925;0.847;3.564
C0C1;Aranguren;92;3.139;2.936;2.466;2.257;1.148;1.252;0.738;0.609;0.594;1.122;1.253;0.767;3.139
C032;Areta;122;0.886;1.057;0.667;0.986;0.510;0.997;0.900;0.370;0.244;0.674;0.521;0.352;1.057
C0C2;Balmaseda;178;1.712;1.629;1.430;1.228;0.470;0.482;0.317;0.270;0.302;0.380;0.532;0.313;1.712
C0BE;Berriatua;25;1.484;1.254;0.756;1.328;0.516;0.838;0.433;0.442;0.460;1.008;0.692;1.058;1.484
C074;Elorrio;167;0.939;0.782;0.509;0.770;0.408;0.925;0.462;0.300;0.207;0.457;0.403;0.364;0.939
C009;Galdakao;30;5.090;4.209;2.866;5.234;1.663;2.856;2.439;0.747;0.529;2.621;1.807;1.432;5.234
C0BD;Iruzubieta;110;1.055;0.904;0.637;1.052;0.482;0.658;0.542;0.297;0.209;0.718;0.514;0.877;1.055
C0B7;Mañaria;168;0.975;0.924;0.666;1.212;0.512;0.477;0.377;0.190;0.166;0.728;0.625;0.478;1.212
C057;Mungia;22;6.436;4.774;2.442;5.031;1.393;3.121;1.336;0.800;0.384;3.539;2.561;2.439;6.436
