COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MÁXIMO
;;;;;;NIVEL MÁXIMO (m);;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAXIMOA
C0F0;Ereñozu;25;2.163;0.968;1.563;0.860;0.504;0.714;0.542;0.802;1.040;0.626;1.121;1.371;2.163
C0E7;Estanda;195;1.164;0.643;0.790;0.440;0.268;0.324;0.473;0.446;0.190;0.152;0.378;0.804;1.164
C0DC;Ibai Eder;90;1.152;0.556;0.869;0.306;0.270;0.222;0.226;0.338;0.258;0.186;0.514;0.816;1.152
C0EC;Lasarte;18;3.840;1.446;2.637;1.115;0.546;0.774;0.600;0.993;1.118;0.596;1.529;2.199;3.840
C0DE;Matxinbenta;250;0.808;0.385;0.644;0.257;0.218;0.206;0.276;0.263;0.180;0.138;0.375;0.585;0.808
C0F4;Oiartzun;53;1.123;0.572;1.235;0.597;0.390;0.712;0.559;1.265;0.862;0.415;0.916;0.901;1.265
C0D1;Oñati;195;2.235;0.923;1.118;0.729;0.396;0.408;0.540;0.319;0.378;0.379;0.791;1.045;2.235
C0D2;San Prudentzio;175;1.756;1.030;1.040;0.776;0.650;0.466;0.667;0.486;0.506;0.488;0.908;1.366;1.756
C0D0;Urkulu;340;0.742;0.430;0.539;0.242;0.294;0.242;0.374;0.118;0.232;0.190;0.438;0.462;0.742
COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MÁXIMO
;;;;;;NIVEL MÁXIMO (m);;;;;;;;;
