COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN UN DÍA (l/m2);;;;;;;;;;;
C076;Abetxuko;510;35.2;33.4;8.2;20.6;15.3;8.4;10.1;14.2;19.6;15.6;34.7;21.1;35.2
C056;Alegria;545;31.3;27.9;5;12.2;13.2;5;9.6;42;10.6;24;44.8;27.8;44.8
C035;Altube;618;67.4;38.2;12.2;18.5;25.2;10.4;14.3;14.1;22.6;28.5;41.2;31.5;67.4
C016;Arkauti;517;28.6;24.9;6.7;18.4;16;10.3;7.5;16;20;20.5;34.2;17.1;34.2
C034;Espejo;504;18.8;24.5;5.6;34.3;8.3;6.3;25.1;8.5;26.9;8.7;29.7;23.7;34.3
C0AA;Etura;549;37.5;24.2;4.2;16.9;17.8;12.9;10;48.7;14;11.5;47.2;27.7;48.7
C067;Gardea;141;47.2;45.2;13.7;26.5;17.9;6.6;17.8;9.9;22.2;18.3;46.4;38.1;47.2
C044;Gorbea;662;105.4;46.2;18.5;19.9;20;6.9;8.9;20.1;23.7;13.7;56.2;62.9;105.4
C048;Herrera;1188;19.3;25.4;11.2;21.5;24;19.7;6.2;24.7;25;16.8;38.4;20.3;38.4
C068;Ilarduia;596;65.5;30.1;7.8;17;30.2;15;13.5;26.4;25.8;24.6;57.3;53.1;65.5
C024;Iturrieta;987;34.4;23.5;7.3;16.9;16.4;25.7;11.9;17.2;28.1;12.8;41.6;23.7;41.6
C0A0;Kanpezu;550;34.2;32;8.5;15.1;18.1;15.7;10.7;19;27.7;9.6;47.4;16;47.4
C047;Kapildui;1173;29;15.1;7.1;15.9;19.5;15.4;17.6;33;16;18.1;51;22.7;51.0
C031;Moreda;490;21.8;13.7;2.4;16;9.1;17.7;11.2;12.9;27.7;40.1;16.6;15.9;40.1
C041;Navarrete;689;28;31.5;6.6;19.6;16.3;16.6;10.4;10.1;20.3;9;33.3;23.5;33.3
C055;Ozaeta;548;49.9;27.2;3.8;18.2;22.9;7.7;10.1;40.8;16.4;17.6;47.5;32.4;49.9
C060;Páganos;577;21.7;24.2;2.8;17.9;9.6;10.7;7.6;12;21.7;8.3;22.6;18.1;24.2
C030;Salvatierra;589;35.3;19;6.1;13;19.4;15.5;14.9;31.1;24.2;10.8;45.1;38.5;45.1
C051;Saratxo;230;46.4;37.4;9;21.6;14.4;5.6;10.7;15.1;15.4;23.5;32.8;30.4;46.4
C0A0;Sarria;655;71.8;46.4;14.7;19.9;29.2;11.8;12.3;31.4;46.3;37.8;50.8;40.3;71.8
C049;Subijana;537;33.7;25.9;11.3;19.8;16.3;9.2;10.1;31.9;22.5;10.8;29.6;20.5;33.7
C00B;Tobillas;700;26.6;31.5;8;27.3;8.9;6.2;9.8;6;20.8;18.2;29.3;26.5;31.5
C020;Trebiño;578;16.9;22.7;5;12.4;11.9;13.8;7.3;48.2;19.7;11.4;33.7;17.2;48.2
C070;Zaldiaran;980;24.5;23;4.1;12.9;16.3;11.8;11.2;10.2;20.3;27.6;33;13.3;33.0
C050;Zambrana;470;12.8;26.5;4;22.4;21.6;7.5;9.4;14.2;14;10;26.9;11.5;26.9
C0B1;Abusu (La Peña);23;38.9;30.2;14.5;19.6;13.2;5.8;23.8;9.2;24;29.4;41.6;20.9;41.6
C079;Amorebieta;65;49.9;28.8;12.3;20.8;22.5;10.7;20.4;12.2;30.3;32.9;84.4;57.8;84.4
C0C1;Aranguren;92;48.1;37;9.8;14;22.8;10.9;11.7;7.7;18.5;17.5;45.7;47.6;48.1
C061;Arboleda;329;46.4;15.9;22.3;14;12.5;10.7;24.5;9.2;18.5;26.5;51.6;17.1;51.6
C032;Areta;122;50;44.6;12.9;27.8;13.1;9.1;17.9;13.2;18.4;21.6;47.4;50.5;50.5
C002;Arteaga;19;40.9;12.1;13.8;15.7;23.3;13;17.8;12.6;41.1;52.5;62.4;66.6;66.6
C0C2;Balmaseda;178;64.7;35.2;14;13.3;20.4;14.8;12.6;7.9;26.4;14.5;46.3;40.9;64.7
C069;Bermeo;106;28.2;9;12.7;24.9;43.7;17.3;21;12.7;24.7;88;52.2;37.4;88.0
C0B6;Berna;95;50.3;41.8;15.1;18.9;34.8;9.3;21.8;12.8;42;24.8;82;64.6;82.0
C0BE;Berriatua;25;37;23.8;22.5;33;28.5;16.5;18.9;14.2;19.7;22.1;54.5;40.4;54.5
C065;Cerroja;677;101.7;31.3;11.2;31.5;27.4;23.1;14;20.9;60.1;22;40.8;48.5;101.7
C003;Derio;30;37.9;21.1;16.8;20;15.4;10.5;18.8;14.3;42.9;47.9;55.6;27;55.6
C039;Deusto;3;32.2;22.3;14.1;13.5;9.7;11.1;20.5;7.7;15.2;29.4;38;22.4;38.0
C075;Eitzaga;270;57.4;25.3;14.2;20.2;23.3;13.5;17.6;16;31.8;26.5;75.6;81.3;81.3
C074;Elorrio;167;53.6;24.2;13.8;19;40.4;9.6;14.4;17.9;40.7;35.4;59.9;67.2;67.2
C009;Galdakao;30;42.1;23.7;12.4;24.3;14.1;5.7;15.8;19.3;38.2;34.6;51.1;26.2;51.1
C038;Galindo;5;29.3;26.8;17;20.2;11;9.2;20.9;8.2;13.5;29.8;36.9;21;36.9
C033;Igorre;150;46.6;36;16.7;23.2;19.7;9.3;18.3;11.1;22.6;28.9;55.2;42.1;55.2
C0BD;Iruzubieta;110;50.9;22.1;18.2;20.7;31.5;19.8;16.2;12.8;32;25.7;58.2;63.1;63.1
C036;Iurreta;180;57.1;25.6;11.3;17;35.3;12.8;19.2;10;51;28.8;65.1;62;65.1
C045;La Garbea;717;62.8;28.8;8.1;16;18.8;17;12.1;8.7;32.8;21.3;47.7;40.5;62.8
C0B7;Mañaria;168;50.9;33.6;12.9;24.2;28.5;13;23.9;11.7;42.4;31.2;90.9;67.3;90.9
C019;Matxitxako;433;25.2;6.5;18.5;17.2;33.7;20.4;27.8;14.3;22.3;88.7;31;25.2;88.7
C057;Mungia;22;36.3;12.5;15.1;14.4;32.7;12.7;21.2;12.3;26.4;46.7;36.5;30.9;46.7
C063;Muxika;16;44.7;19;15.4;17.7;37;10.1;19.6;12.4;57.7;46.2;72.3;55.1;72.3
C046;Oiz;980;36.7;12.1;10;17;25.9;14.4;20.5;20.4;42.7;27.7;45.8;29.5;45.8
C0BA;Oleta;14;40.7;14.7;17.5;24.6;31.1;17.9;36.1;15.4;15.8;36.8;46.5;39.8;46.5
C059;Ordunte;300;57.7;36.3;9.8;17;14.3;14.8;10.8;7.5;43.9;19.2;32.4;24.2;57.7
C072;Orduña;934;69.3;34;12.4;17.7;21.7;7.6;11;8.5;15.6;22.3;30.6;17.5;69.3
C0B4;Orozko;200;46.3;47.5;17;27.2;11.1;8.2;11.1;7.5;15.9;16.8;36.1;38.8;47.5
C054;Otxandio;556;66.2;47.9;16;24.9;39.5;10.7;35.9;18.4;52.3;22.3;59;36.5;66.2
C042;Punta Galea;61;18.2;15.1;7.1;14.4;9.8;9;12.7;7.7;13.7;32.2;34;19;34.0
C0B9;Sangroniz;10;30;25.2;14.4;13.3;11.3;5.8;25.6;8.8;19.3;38.5;30.1;21.5;38.5
C0C3;Sodupe;55;53.7;43;18.6;14.5;21.8;13.5;13.5;6.3;22.5;19.8;58.5;40;58.5
C022;Urkiola;709;63.3;31;12.7;25.2;46.3;11.8;25.5;15.8;52;30.8;78.8;57.2;78.8
C0B3;Urkizu;75;43.9;30.3;15.7;23.6;20;8.1;14;8.8;25.7;32;62.3;44.6;62.3
C037;Venta Alta;162;61.3;41.4;16.7;22.2;13.2;6.2;21.4;15.2;21.1;22.6;44.1;34.2;61.3
C0E5;Agauntza;180;35.8;33.5;7.1;20.1;13.6;19.5;16.3;29.4;10.6;27.2;47.3;37.7;47.3
C0DB;Aitzu;312;79.8;44.8;13.9;41.1;33.4;24.6;14.2;38.7;21.7;25.7;73;51.8;79.8
C0D3;Aixola;320;60;31.1;16.5;20.2;29.6;13.5;16.8;20.2;37.8;33.9;64.6;68.3;68.3
