COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN UN DÍA (l/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C076;Abetxuko;510;19.1;55.2;24.7;7.3;10.5;18.1;6.1;4;11.8;5.9;42.5;4.8;55.2
C056;Alegria;545;25;52.3;22.8;9.1;5.7;24.6;3.1;10.5;8;5.1;38.1;3;52.3
C035;Altube;618;21.6;51.9;44.2;23.4;11.2;15.7;8.7;2.5;34;9.4;48.6;12.1;51.9
C001;Arkaute;517;20.5;54.7;21.5;7.4;6.8;24.3;4;8.4;9.4;5.7;42.7;5.5;54.7
C034;Espejo;504;19;25.1;32.9;12.1;18.4;14.8;6.7;2;8.8;4.5;24.6;4.8;32.9
C0AA;Etura;549;15.1;63.4;34.3;11.9;5.9;19.1;2.6;3.4;12.3;4.7;46.2;4;63.4
C067;Gardea;141;22.2;81.5;41.4;12.8;20.3;12.1;4.7;2.6;34.5;10.9;47.8;15.1;81.5
C044;Gorbea;662;23.1;88.4;68.7;16.4;9.1;10;18.6;5.6;35.8;9.2;54.9;10.5;88.4
C048;Herrera;1188;22.2;33.2;28;7.6;12.3;12;6.1;1.3;11.1;7.7;38.6;3.8;38.6
C068;Ilarduia;596;28.9;81.4;36.1;16.2;14.7;20.1;3.8;3.3;21.1;17.2;49.3;4.5;81.4
C024;Iturrieta;987;40.6;55;43.6;11;31.6;10;4.6;2.6;16.1;7.8;51.3;4.8;55.0
C00A;Kanpezu;550;25.5;50.4;38.4;8.7;26;4;10;0.4;7.5;5.9;35.5;9.5;50.4
C047;Kapildui;1173;24.8;30.7;30.2;18.4;10.3;19.2;12.1;4.3;11.7;13.6;60.2;2.5;60.2
